image_location,class
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_000_000-10896690.jpg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_001_001-11713603.png,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_002_003-13484458.jpeg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_003_004-14798084.jpeg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_004_005-15119962.jpg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_005_006-15322299.jpg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_006_007-19181190.jpg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_007_008-15810324.jpg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_008_009-18451632.jpg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_009_010-20610227.jpeg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_010_011-22350807.jpeg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_011_012-22771509.jpeg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_012_013-27906377.jpeg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_013_014-28359063.jpg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_014_015-31347435.jpg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_015_016-31408881.jpeg,Caracal caracal caracal
NINCO_OOD_classes/Caracal caracal caracal/Caracal caracal caracal_016_017-31447020.jpeg,Caracal caracal caracal
