index,image_location,decision
0,data/iNaturalist_species_images/Caracal caracal caracal/000-10896690.jpg,o
1,data/iNaturalist_species_images/Caracal caracal caracal/001-11713603.png,o
2,data/iNaturalist_species_images/Caracal caracal caracal/002-13271996.jpeg,u
3,data/iNaturalist_species_images/Caracal caracal caracal/003-13484458.jpeg,o
4,data/iNaturalist_species_images/Caracal caracal caracal/004-14798084.jpeg,o
5,data/iNaturalist_species_images/Caracal caracal caracal/005-15119962.jpg,o
6,data/iNaturalist_species_images/Caracal caracal caracal/006-15322299.jpg,o
7,data/iNaturalist_species_images/Caracal caracal caracal/007-19181190.jpg,o
8,data/iNaturalist_species_images/Caracal caracal caracal/008-15810324.jpg,o
9,data/iNaturalist_species_images/Caracal caracal caracal/009-18451632.jpg,o
10,data/iNaturalist_species_images/Caracal caracal caracal/010-20610227.jpeg,o
11,data/iNaturalist_species_images/Caracal caracal caracal/011-22350807.jpeg,o
12,data/iNaturalist_species_images/Caracal caracal caracal/012-22771509.jpeg,o
13,data/iNaturalist_species_images/Caracal caracal caracal/013-27906377.jpeg,o
14,data/iNaturalist_species_images/Caracal caracal caracal/014-28359063.jpg,o
15,data/iNaturalist_species_images/Caracal caracal caracal/015-31347435.jpg,o
16,data/iNaturalist_species_images/Caracal caracal caracal/016-31408881.jpeg,o
17,data/iNaturalist_species_images/Caracal caracal caracal/017-31447020.jpeg,o
18,data/iNaturalist_species_images/Caracal caracal caracal/018-31491455.jpg,o
19,data/iNaturalist_species_images/Caracal caracal caracal/019-32772549.jpg,o
20,data/iNaturalist_species_images/Caracal caracal caracal/020-32772949.jpeg,u
21,data/iNaturalist_species_images/Caracal caracal caracal/021-32773899.jpeg,o
22,data/iNaturalist_species_images/Caracal caracal caracal/022-32773903.jpeg,q
23,data/iNaturalist_species_images/Caracal caracal caracal/023-32775416.jpeg,o
24,data/iNaturalist_species_images/Caracal caracal caracal/024-32775423.jpeg,q
25,data/iNaturalist_species_images/Caracal caracal caracal/025-35247962.jpg,q
26,data/iNaturalist_species_images/Caracal caracal caracal/026-35550580.jpeg,q
27,data/iNaturalist_species_images/Caracal caracal caracal/027-35551330.jpeg,q
28,data/iNaturalist_species_images/Caracal caracal caracal/028-35551374.jpeg,q
29,data/iNaturalist_species_images/Caracal caracal caracal/029-35816043.jpg,o
30,data/iNaturalist_species_images/Caracal caracal caracal/030-37107236.jpeg,q
31,data/iNaturalist_species_images/Caracal caracal caracal/031-37536478.jpeg,q
32,data/iNaturalist_species_images/Caracal caracal caracal/032-41056341.jpeg,o
33,data/iNaturalist_species_images/Caracal caracal caracal/033-41550643.jpeg,q
34,data/iNaturalist_species_images/Caracal caracal caracal/034-42536163.jpeg,q
35,data/iNaturalist_species_images/Caracal caracal caracal/035-42569777.jpeg,q
36,data/iNaturalist_species_images/Caracal caracal caracal/036-42570136.jpeg,q
37,data/iNaturalist_species_images/Caracal caracal caracal/037-43423878.jpg,q
38,data/iNaturalist_species_images/Caracal caracal caracal/038-43501856.jpeg,o
39,data/iNaturalist_species_images/Caracal caracal caracal/039-44698847.jpeg,o
40,data/iNaturalist_species_images/Caracal caracal caracal/040-48344742.jpeg,q
41,data/iNaturalist_species_images/Caracal caracal caracal/041-51508201.jpeg,o
42,data/iNaturalist_species_images/Caracal caracal caracal/042-51847410.jpeg,o
43,data/iNaturalist_species_images/Caracal caracal caracal/043-51849194.jpeg,q
44,data/iNaturalist_species_images/Caracal caracal caracal/044-51849454.jpeg,o
45,data/iNaturalist_species_images/Caracal caracal caracal/045-53180231.jpg,o
46,data/iNaturalist_species_images/Caracal caracal caracal/046-53362344.jpeg,q
47,data/iNaturalist_species_images/Caracal caracal caracal/047-54847036.jpg,o
48,data/iNaturalist_species_images/Caracal caracal caracal/048-55555499.jpg,q
49,data/iNaturalist_species_images/Caracal caracal caracal/049-56034253.jpeg,o
50,data/iNaturalist_species_images/Caracal caracal caracal/050-56314641.jpg,o
51,data/iNaturalist_species_images/Caracal caracal caracal/051-56446391.jpg,o
52,data/iNaturalist_species_images/Caracal caracal caracal/052-57385577.jpg,o
53,data/iNaturalist_species_images/Caracal caracal caracal/053-58060804.jpeg,u
54,data/iNaturalist_species_images/Caracal caracal caracal/054-58229522.jpeg,q
55,data/iNaturalist_species_images/Caracal caracal caracal/055-58229548.jpeg,q
56,data/iNaturalist_species_images/Caracal caracal caracal/056-58229591.jpeg,q
57,data/iNaturalist_species_images/Caracal caracal caracal/057-58319857.jpg,o
58,data/iNaturalist_species_images/Caracal caracal caracal/058-61413575.jpg,o
59,data/iNaturalist_species_images/Caracal caracal caracal/059-61427348.jpeg,o
60,data/iNaturalist_species_images/Caracal caracal caracal/060-64589464.jpg,u
