index,image_location,decision
0,species/amphibians/amphiuma_means/10020697.jpeg,i
1,species/amphibians/amphiuma_means/10045958.jpeg,o
2,species/amphibians/amphiuma_means/10239954.jpg,o
3,species/amphibians/amphiuma_means/10321699.jpg,o
4,species/amphibians/amphiuma_means/10585288.jpg,o
5,species/amphibians/amphiuma_means/10720687.jpg,o
6,species/amphibians/amphiuma_means/11434924.jpeg,o
7,species/amphibians/amphiuma_means/13041431.jpeg,o
8,species/amphibians/amphiuma_means/13556194.jpg,o
9,species/amphibians/amphiuma_means/13757253.jpeg,o
10,species/amphibians/amphiuma_means/13870776.jpg,o
11,species/amphibians/amphiuma_means/14207807.jpg,o
12,species/amphibians/amphiuma_means/15053120.jpg,o
13,species/amphibians/amphiuma_means/15079359.jpg,o
14,species/amphibians/amphiuma_means/15497921.jpeg,o
15,species/amphibians/amphiuma_means/16630742.jpg,o
16,species/amphibians/amphiuma_means/16849536.jpeg,o
17,species/amphibians/amphiuma_means/16921617.jpg,o
18,species/amphibians/amphiuma_means/16992195.jpeg,o
19,species/amphibians/amphiuma_means/17207368.jpg,o
20,species/amphibians/amphiuma_means/17743534.jpg,o
21,species/amphibians/amphiuma_means/17945571.jpg,o
22,species/amphibians/amphiuma_means/18666005.jpg,o
23,species/amphibians/amphiuma_means/19030674.jpeg,o
24,species/amphibians/amphiuma_means/19380382.jpg,o
25,species/amphibians/amphiuma_means/19501223.jpg,o
26,species/amphibians/amphiuma_means/19733.jpg,o
27,species/amphibians/amphiuma_means/19888340.jpg,o
28,species/amphibians/amphiuma_means/20281979.jpg,o
29,species/amphibians/amphiuma_means/20310553.jpeg,o
30,species/amphibians/amphiuma_means/20663499.jpg,o
31,species/amphibians/amphiuma_means/20813290.jpg,o
32,species/amphibians/amphiuma_means/20884261.jpg,o
33,species/amphibians/amphiuma_means/21095561.jpg,o
34,species/amphibians/amphiuma_means/21457864.jpg,o
35,species/amphibians/amphiuma_means/21697616.jpeg,o
36,species/amphibians/amphiuma_means/21871598.jpg,o
37,species/amphibians/amphiuma_means/21923877.jpg,o
38,species/amphibians/amphiuma_means/22459822.jpeg,i
39,species/amphibians/amphiuma_means/22578989.jpg,o
40,species/amphibians/amphiuma_means/22856447.jpeg,o
41,species/amphibians/amphiuma_means/23013905.jpeg,o
42,species/amphibians/amphiuma_means/24764858.jpg,o
43,species/amphibians/amphiuma_means/25162597.jpg,o
44,species/amphibians/amphiuma_means/25271272.jpg,o
45,species/amphibians/amphiuma_means/25299603.jpeg,o
46,species/amphibians/amphiuma_means/26051938.jpg,o
47,species/amphibians/amphiuma_means/26117784.jpg,o
48,species/amphibians/amphiuma_means/26875073.jpg,o
49,species/amphibians/amphiuma_means/27660881.jpg,o
50,species/amphibians/amphiuma_means/28525423.jpg,o
51,species/amphibians/amphiuma_means/28579910.jpg,o
52,species/amphibians/amphiuma_means/29855112.jpeg,o
53,species/amphibians/amphiuma_means/30009816.jpg,o
54,species/amphibians/amphiuma_means/30010687.jpg,o
55,species/amphibians/amphiuma_means/30127284.jpg,o
56,species/amphibians/amphiuma_means/30369928.jpeg,o
57,species/amphibians/amphiuma_means/30369929.jpeg,o
58,species/amphibians/amphiuma_means/30369930.jpeg,o
59,species/amphibians/amphiuma_means/31276718.jpeg,u
60,species/amphibians/amphiuma_means/33272029.jpeg,u
61,species/amphibians/amphiuma_means/33753843.jpg,o
62,species/amphibians/amphiuma_means/34502691.jpg,i
63,species/amphibians/amphiuma_means/35037016.jpg,o
64,species/amphibians/amphiuma_means/35206920.jpg,o
65,species/amphibians/amphiuma_means/3528997.jpg,o
66,species/amphibians/amphiuma_means/3529032.jpg,o
67,species/amphibians/amphiuma_means/35348216.jpg,o
68,species/amphibians/amphiuma_means/36008242.jpg,o
69,species/amphibians/amphiuma_means/36110188.jpeg,o
70,species/amphibians/amphiuma_means/36357001.jpeg,o
71,species/amphibians/amphiuma_means/36732537.jpeg,o
72,species/amphibians/amphiuma_means/37624008.jpeg,o
73,species/amphibians/amphiuma_means/38124783.jpg,o
74,species/amphibians/amphiuma_means/38305897.jpeg,o
75,species/amphibians/amphiuma_means/38472046.jpeg,o
76,species/amphibians/amphiuma_means/38518421.jpg,o
77,species/amphibians/amphiuma_means/38530560.jpg,o
78,species/amphibians/amphiuma_means/38558975.jpg,o
79,species/amphibians/amphiuma_means/38724154.jpg,o
80,species/amphibians/amphiuma_means/39885611.jpg,o
81,species/amphibians/amphiuma_means/39936072.jpeg,o
82,species/amphibians/amphiuma_means/41861063.jpg,o
83,species/amphibians/amphiuma_means/42101155.jpg,o
84,species/amphibians/amphiuma_means/42190430.jpeg,o
85,species/amphibians/amphiuma_means/42667557.jpg,o
86,species/amphibians/amphiuma_means/42678473.jpg,o
87,species/amphibians/amphiuma_means/4268249.jpeg,o
88,species/amphibians/amphiuma_means/43007655.jpg,o
89,species/amphibians/amphiuma_means/44507729.jpeg,o
90,species/amphibians/amphiuma_means/45001795.jpg,o
91,species/amphibians/amphiuma_means/45771799.jpg,o
92,species/amphibians/amphiuma_means/47542844.jpg,o
93,species/amphibians/amphiuma_means/47655306.jpg,o
94,species/amphibians/amphiuma_means/48156051.jpg,o
95,species/amphibians/amphiuma_means/48335080.jpeg,o
96,species/amphibians/amphiuma_means/49071280.jpg,o
97,species/amphibians/amphiuma_means/4989847.jpeg,o
98,species/amphibians/amphiuma_means/51701122.jpg,o
99,species/amphibians/amphiuma_means/51750224.jpg,o
100,species/amphibians/amphiuma_means/52634262.jpeg,o
101,species/amphibians/amphiuma_means/57019469.jpeg,o
102,species/amphibians/amphiuma_means/57378315.jpg,o
103,species/amphibians/amphiuma_means/58768599.jpeg,o
104,species/amphibians/amphiuma_means/59057925.jpg,o
105,species/amphibians/amphiuma_means/59112690.jpg,o
106,species/amphibians/amphiuma_means/60115253.jpg,o
107,species/amphibians/amphiuma_means/6034765.jpg,o
108,species/amphibians/amphiuma_means/6034795.jpg,o
109,species/amphibians/amphiuma_means/61352213.jpeg,i
110,species/amphibians/amphiuma_means/61516979.jpg,o
111,species/amphibians/amphiuma_means/61546581.jpg,o
112,species/amphibians/amphiuma_means/62329741.jpg,o
113,species/amphibians/amphiuma_means/6286643.jpg,o
114,species/amphibians/amphiuma_means/63291533.jpg,o
115,species/amphibians/amphiuma_means/6434424.jpeg,o
116,species/amphibians/amphiuma_means/64406636.jpg,o
117,species/amphibians/amphiuma_means/65315333.jpeg,o
118,species/amphibians/amphiuma_means/65550073.jpeg,o
119,species/amphibians/amphiuma_means/65864960.jpg,o
120,species/amphibians/amphiuma_means/67197153.jpg,o
121,species/amphibians/amphiuma_means/67650297.jpg,o
122,species/amphibians/amphiuma_means/68136594.jpeg,o
123,species/amphibians/amphiuma_means/6835257.jpg,u
124,species/amphibians/amphiuma_means/68982405.jpg,o
125,species/amphibians/amphiuma_means/69089133.jpeg,o
126,species/amphibians/amphiuma_means/69089165.jpg,o
127,species/amphibians/amphiuma_means/69099240.jpg,o
128,species/amphibians/amphiuma_means/69528691.jpeg,o
129,species/amphibians/amphiuma_means/69601912.jpg,o
130,species/amphibians/amphiuma_means/69736985.jpg,o
131,species/amphibians/amphiuma_means/70034299.jpeg,o
132,species/amphibians/amphiuma_means/70453164.jpg,o
133,species/amphibians/amphiuma_means/70463273.jpg,o
134,species/amphibians/amphiuma_means/70717722.jpeg,u
135,species/amphibians/amphiuma_means/71597683.jpg,o
136,species/amphibians/amphiuma_means/71977207.jpg,o
137,species/amphibians/amphiuma_means/72292544.jpeg,o
138,species/amphibians/amphiuma_means/73293245.jpg,o
139,species/amphibians/amphiuma_means/7351168.jpeg,o
140,species/amphibians/amphiuma_means/74426472.jpg,o
141,species/amphibians/amphiuma_means/74476284.jpg,o
142,species/amphibians/amphiuma_means/74476388.jpg,o
143,species/amphibians/amphiuma_means/74483719.jpg,o
144,species/amphibians/amphiuma_means/75001025.jpg,o
145,species/amphibians/amphiuma_means/75712887.jpeg,o
146,species/amphibians/amphiuma_means/7605515.jpg,o
147,species/amphibians/amphiuma_means/76350192.jpeg,o
148,species/amphibians/amphiuma_means/7726696.jpeg,o
149,species/amphibians/amphiuma_means/77544893.jpeg,o
150,species/amphibians/amphiuma_means/77763801.jpg,o
151,species/amphibians/amphiuma_means/77765838.jpg,o
152,species/amphibians/amphiuma_means/77770074.jpg,o
153,species/amphibians/amphiuma_means/77780815.jpg,o
154,species/amphibians/amphiuma_means/77781260.jpeg,o
155,species/amphibians/amphiuma_means/78719224.jpg,o
156,species/amphibians/amphiuma_means/78719934.jpeg,o
157,species/amphibians/amphiuma_means/78720634.jpg,o
158,species/amphibians/amphiuma_means/78720644.jpg,o
159,species/amphibians/amphiuma_means/78720708.jpg,o
160,species/amphibians/amphiuma_means/78720713.jpg,o
161,species/amphibians/amphiuma_means/78721321.jpg,o
162,species/amphibians/amphiuma_means/78721536.jpeg,o
163,species/amphibians/amphiuma_means/78738494.jpeg,o
164,species/amphibians/amphiuma_means/78753750.jpg,o
165,species/amphibians/amphiuma_means/78781608.jpg,o
166,species/amphibians/amphiuma_means/78838731.jpg,o
167,species/amphibians/amphiuma_means/79081600.jpeg,o
168,species/amphibians/amphiuma_means/79874972.jpeg,o
169,species/amphibians/amphiuma_means/81391729.jpg,o
170,species/amphibians/amphiuma_means/81703033.jpg,o
171,species/amphibians/amphiuma_means/83354020.jpeg,o
172,species/amphibians/amphiuma_means/8581857.jpg,o
173,species/amphibians/amphiuma_means/87304381.jpg,o
174,species/amphibians/amphiuma_means/88004963.jpg,o
175,species/amphibians/amphiuma_means/8940318.jpeg,o
176,species/amphibians/amphiuma_means/90392388.jpg,o
