index,image_location,decision
0,species/arachnids/araneus_gemma/1019132.jpg,i
1,species/arachnids/araneus_gemma/1045412.jpg,o
2,species/arachnids/araneus_gemma/1089349.jpg,u
3,species/arachnids/araneus_gemma/1147582.jpg,u
4,species/arachnids/araneus_gemma/1314641.jpg,u
5,species/arachnids/araneus_gemma/13783791.jpg,i
6,species/arachnids/araneus_gemma/14087392.jpg,i
7,species/arachnids/araneus_gemma/1413154.jpg,i
8,species/arachnids/araneus_gemma/14178815.jpg,o
9,species/arachnids/araneus_gemma/14372761.jpg,i
10,species/arachnids/araneus_gemma/14422041.jpg,o
11,species/arachnids/araneus_gemma/14485221.jpeg,i
12,species/arachnids/araneus_gemma/15127223.jpg,o
13,species/arachnids/araneus_gemma/15246572.jpg,o
14,species/arachnids/araneus_gemma/15649338.jpg,i
15,species/arachnids/araneus_gemma/15817549.jpg,i
16,species/arachnids/araneus_gemma/16085300.jpeg,i
17,species/arachnids/araneus_gemma/16089758.jpg,i
18,species/arachnids/araneus_gemma/16122472.jpg,i
19,species/arachnids/araneus_gemma/16402885.jpg,i
20,species/arachnids/araneus_gemma/16596036.jpeg,o
21,species/arachnids/araneus_gemma/16692585.jpeg,i
22,species/arachnids/araneus_gemma/16740370.jpg,i
23,species/arachnids/araneus_gemma/16908530.jpg,o
24,species/arachnids/araneus_gemma/17027239.jpg,i
25,species/arachnids/araneus_gemma/17116527.jpg,i
26,species/arachnids/araneus_gemma/17138617.jpg,i
27,species/arachnids/araneus_gemma/17160592.jpeg,o
28,species/arachnids/araneus_gemma/1733400.JPG,o
29,species/arachnids/araneus_gemma/17350656.jpg,i
30,species/arachnids/araneus_gemma/17480513.jpg,o
31,species/arachnids/araneus_gemma/17516851.jpg,i
32,species/arachnids/araneus_gemma/17578293.jpeg,i
33,species/arachnids/araneus_gemma/17686591.jpg,i
34,species/arachnids/araneus_gemma/17716799.jpg,i
35,species/arachnids/araneus_gemma/17954226.jpg,i
36,species/arachnids/araneus_gemma/17979309.jpg,i
37,species/arachnids/araneus_gemma/18062446.jpg,o
38,species/arachnids/araneus_gemma/18063934.jpg,i
39,species/arachnids/araneus_gemma/18083162.jpg,i
40,species/arachnids/araneus_gemma/18115322.jpg,i
41,species/arachnids/araneus_gemma/1817014.JPG,o
42,species/arachnids/araneus_gemma/18289695.jpeg,i
43,species/arachnids/araneus_gemma/18367633.jpg,i
44,species/arachnids/araneus_gemma/18467545.jpg,o
45,species/arachnids/araneus_gemma/18504102.jpeg,i
46,species/arachnids/araneus_gemma/18610436.jpg,i
47,species/arachnids/araneus_gemma/18612639.jpeg,i
48,species/arachnids/araneus_gemma/18656556.jpg,i
49,species/arachnids/araneus_gemma/19056085.jpg,o
50,species/arachnids/araneus_gemma/19061861.jpg,o
51,species/arachnids/araneus_gemma/19258624.jpeg,o
52,species/arachnids/araneus_gemma/2003176.jpg,u
53,species/arachnids/araneus_gemma/20182.JPG,i
54,species/arachnids/araneus_gemma/20408880.jpg,o
55,species/arachnids/araneus_gemma/20488745.jpeg,o
56,species/arachnids/araneus_gemma/20537352.jpg,o
57,species/arachnids/araneus_gemma/20699554.jpg,i
58,species/arachnids/araneus_gemma/21584854.jpeg,i
59,species/arachnids/araneus_gemma/2310278.jpg,i
60,species/arachnids/araneus_gemma/2403099.jpg,i
61,species/arachnids/araneus_gemma/2476385.jpg,i
62,species/arachnids/araneus_gemma/24959687.jpg,i
63,species/arachnids/araneus_gemma/25008470.jpeg,o
64,species/arachnids/araneus_gemma/26105194.jpg,i
65,species/arachnids/araneus_gemma/2649648.jpg,i
66,species/arachnids/araneus_gemma/26641097.jpeg,o
67,species/arachnids/araneus_gemma/27125935.jpg,i
68,species/arachnids/araneus_gemma/27142317.jpg,i
69,species/arachnids/araneus_gemma/28004317.jpg,u
70,species/arachnids/araneus_gemma/28101632.jpg,i
71,species/arachnids/araneus_gemma/28589369.jpeg,i
72,species/arachnids/araneus_gemma/28781072.jpg,i
73,species/arachnids/araneus_gemma/28982453.jpg,i
74,species/arachnids/araneus_gemma/29065483.jpg,i
75,species/arachnids/araneus_gemma/29155152.jpg,o
76,species/arachnids/araneus_gemma/29227737.jpeg,o
77,species/arachnids/araneus_gemma/29622141.jpg,i
78,species/arachnids/araneus_gemma/29892881.jpeg,o
79,species/arachnids/araneus_gemma/29905487.jpg,i
80,species/arachnids/araneus_gemma/30129049.jpg,i
81,species/arachnids/araneus_gemma/30316815.jpeg,i
82,species/arachnids/araneus_gemma/30324259.jpg,o
83,species/arachnids/araneus_gemma/30646009.jpeg,o
84,species/arachnids/araneus_gemma/30727333.jpg,i
85,species/arachnids/araneus_gemma/30785188.jpg,i
86,species/arachnids/araneus_gemma/30785209.jpg,i
87,species/arachnids/araneus_gemma/30785219.jpg,i
88,species/arachnids/araneus_gemma/30785226.jpg,i
89,species/arachnids/araneus_gemma/30785238.jpg,i
90,species/arachnids/araneus_gemma/30868184.jpg,o
91,species/arachnids/araneus_gemma/30879439.jpeg,o
92,species/arachnids/araneus_gemma/30916045.jpg,i
93,species/arachnids/araneus_gemma/31023522.jpeg,i
94,species/arachnids/araneus_gemma/31032709.jpeg,i
95,species/arachnids/araneus_gemma/31083807.jpg,i
96,species/arachnids/araneus_gemma/31222640.jpg,i
97,species/arachnids/araneus_gemma/31497265.jpg,i
98,species/arachnids/araneus_gemma/31503023.jpeg,i
99,species/arachnids/araneus_gemma/31586895.jpg,o
100,species/arachnids/araneus_gemma/31586991.jpg,o
101,species/arachnids/araneus_gemma/31804501.jpeg,o
102,species/arachnids/araneus_gemma/31827558.jpeg,i
103,species/arachnids/araneus_gemma/31866512.jpg,o
104,species/arachnids/araneus_gemma/31934844.jpeg,i
105,species/arachnids/araneus_gemma/31952183.jpg,u
106,species/arachnids/araneus_gemma/32035421.jpg,o
107,species/arachnids/araneus_gemma/32082630.jpg,u
108,species/arachnids/araneus_gemma/32130766.jpg,o
109,species/arachnids/araneus_gemma/32133125.jpg,o
110,species/arachnids/araneus_gemma/32180745.jpg,i
111,species/arachnids/araneus_gemma/32195863.jpg,u
112,species/arachnids/araneus_gemma/32257398.jpg,o
113,species/arachnids/araneus_gemma/32291601.jpg,o
114,species/arachnids/araneus_gemma/32375221.jpeg,i
