index,image_location,decision
0,species/mammals/arctocephalus_galapagoensis/10339215.jpeg,u
1,species/mammals/arctocephalus_galapagoensis/10364938.jpg,o
2,species/mammals/arctocephalus_galapagoensis/10458862.jpg,o
3,species/mammals/arctocephalus_galapagoensis/11044009.jpg,o
4,species/mammals/arctocephalus_galapagoensis/11044011.jpg,o
5,species/mammals/arctocephalus_galapagoensis/11044012.jpg,i
6,species/mammals/arctocephalus_galapagoensis/12789420.jpg,o
7,species/mammals/arctocephalus_galapagoensis/12906737.jpg,o
8,species/mammals/arctocephalus_galapagoensis/13690500.jpg,o
9,species/mammals/arctocephalus_galapagoensis/142082.jpg,o
10,species/mammals/arctocephalus_galapagoensis/16983665.jpg,o
11,species/mammals/arctocephalus_galapagoensis/18625044.jpeg,o
12,species/mammals/arctocephalus_galapagoensis/18746939.jpg,o
13,species/mammals/arctocephalus_galapagoensis/18794814.jpg,u
14,species/mammals/arctocephalus_galapagoensis/18794815.jpg,o
15,species/mammals/arctocephalus_galapagoensis/18848461.jpg,o
16,species/mammals/arctocephalus_galapagoensis/19223981.jpeg,u
17,species/mammals/arctocephalus_galapagoensis/19507940.jpeg,o
18,species/mammals/arctocephalus_galapagoensis/19559591.jpg,i
19,species/mammals/arctocephalus_galapagoensis/199582.jpg,o
20,species/mammals/arctocephalus_galapagoensis/19979063.jpg,o
21,species/mammals/arctocephalus_galapagoensis/20244015.jpg,o
22,species/mammals/arctocephalus_galapagoensis/204774.jpg,i
23,species/mammals/arctocephalus_galapagoensis/20863842.jpeg,o
24,species/mammals/arctocephalus_galapagoensis/21391172.jpeg,o
25,species/mammals/arctocephalus_galapagoensis/2335359.JPG,u
26,species/mammals/arctocephalus_galapagoensis/25357318.jpg,i
27,species/mammals/arctocephalus_galapagoensis/25812910.jpg,u
28,species/mammals/arctocephalus_galapagoensis/26516379.jpeg,o
29,species/mammals/arctocephalus_galapagoensis/26650482.jpg,o
30,species/mammals/arctocephalus_galapagoensis/2703696.jpg,o
31,species/mammals/arctocephalus_galapagoensis/27295016.jpg,i
32,species/mammals/arctocephalus_galapagoensis/27682771.jpeg,o
33,species/mammals/arctocephalus_galapagoensis/27993187.jpeg,u
34,species/mammals/arctocephalus_galapagoensis/28053721.jpg,o
35,species/mammals/arctocephalus_galapagoensis/28212699.jpg,o
36,species/mammals/arctocephalus_galapagoensis/28239390.jpg,u
37,species/mammals/arctocephalus_galapagoensis/28239430.jpg,o
38,species/mammals/arctocephalus_galapagoensis/28239539.jpg,o
39,species/mammals/arctocephalus_galapagoensis/28446451.jpg,o
40,species/mammals/arctocephalus_galapagoensis/28981316.jpg,o
41,species/mammals/arctocephalus_galapagoensis/29154545.jpg,o
42,species/mammals/arctocephalus_galapagoensis/29224083.jpeg,o
43,species/mammals/arctocephalus_galapagoensis/30332356.jpg,o
44,species/mammals/arctocephalus_galapagoensis/30338068.jpg,o
