index,image_location,decision
0,species/amphibians/batrachoseps_attenuatus/100266.jpg,q
1,species/amphibians/batrachoseps_attenuatus/1025296.jpg,o
2,species/amphibians/batrachoseps_attenuatus/1025344.JPG,o
3,species/amphibians/batrachoseps_attenuatus/1028750.jpg,o
4,species/amphibians/batrachoseps_attenuatus/1049849.jpg,o
5,species/amphibians/batrachoseps_attenuatus/1052916.jpg,o
6,species/amphibians/batrachoseps_attenuatus/10626.jpg,o
7,species/amphibians/batrachoseps_attenuatus/1065775.jpg,o
8,species/amphibians/batrachoseps_attenuatus/1067549.jpg,o
9,species/amphibians/batrachoseps_attenuatus/1076536.jpg,u
10,species/amphibians/batrachoseps_attenuatus/1079456.jpg,o
11,species/amphibians/batrachoseps_attenuatus/1079735.jpg,o
12,species/amphibians/batrachoseps_attenuatus/1081776.jpg,o
13,species/amphibians/batrachoseps_attenuatus/1082552.jpg,o
14,species/amphibians/batrachoseps_attenuatus/10857.JPG,o
15,species/amphibians/batrachoseps_attenuatus/1088314.jpg,o
16,species/amphibians/batrachoseps_attenuatus/1088347.jpg,o
17,species/amphibians/batrachoseps_attenuatus/1088354.jpg,o
18,species/amphibians/batrachoseps_attenuatus/1088382.jpg,o
19,species/amphibians/batrachoseps_attenuatus/1088967.jpg,o
20,species/amphibians/batrachoseps_attenuatus/1089375.jpg,o
21,species/amphibians/batrachoseps_attenuatus/1089776.jpg,o
22,species/amphibians/batrachoseps_attenuatus/1090276.jpg,o
23,species/amphibians/batrachoseps_attenuatus/1090363.jpg,o
24,species/amphibians/batrachoseps_attenuatus/1092968.jpg,o
25,species/amphibians/batrachoseps_attenuatus/1093594.JPG,o
26,species/amphibians/batrachoseps_attenuatus/1093941.jpg,o
27,species/amphibians/batrachoseps_attenuatus/1093959.jpg,o
28,species/amphibians/batrachoseps_attenuatus/1097665.jpg,o
29,species/amphibians/batrachoseps_attenuatus/1098979.jpg,o
30,species/amphibians/batrachoseps_attenuatus/1098980.jpg,i
31,species/amphibians/batrachoseps_attenuatus/1099946.jpg,o
32,species/amphibians/batrachoseps_attenuatus/1101424.jpg,o
33,species/amphibians/batrachoseps_attenuatus/1104227.JPG,o
34,species/amphibians/batrachoseps_attenuatus/1108794.jpg,o
35,species/amphibians/batrachoseps_attenuatus/1108887.jpg,o
36,species/amphibians/batrachoseps_attenuatus/11089.JPG,o
37,species/amphibians/batrachoseps_attenuatus/1109226.jpg,o
38,species/amphibians/batrachoseps_attenuatus/1110397.jpg,o
39,species/amphibians/batrachoseps_attenuatus/1116823.jpg,i
40,species/amphibians/batrachoseps_attenuatus/1117072.JPG,o
41,species/amphibians/batrachoseps_attenuatus/1117082.JPG,o
42,species/amphibians/batrachoseps_attenuatus/1117086.JPG,o
43,species/amphibians/batrachoseps_attenuatus/1117163.JPG,o
44,species/amphibians/batrachoseps_attenuatus/1117175.jpg,o
45,species/amphibians/batrachoseps_attenuatus/1117390.JPG,o
46,species/amphibians/batrachoseps_attenuatus/1117966.jpg,o
47,species/amphibians/batrachoseps_attenuatus/1119287.JPG,o
48,species/amphibians/batrachoseps_attenuatus/1120795.JPG,o
49,species/amphibians/batrachoseps_attenuatus/1122391.jpg,o
50,species/amphibians/batrachoseps_attenuatus/11229.JPG,o
51,species/amphibians/batrachoseps_attenuatus/1126404.jpg,o
52,species/amphibians/batrachoseps_attenuatus/1129071.jpg,o
53,species/amphibians/batrachoseps_attenuatus/1130015.jpg,o
54,species/amphibians/batrachoseps_attenuatus/1130846.jpg,o
55,species/amphibians/batrachoseps_attenuatus/1131970.jpg,o
56,species/amphibians/batrachoseps_attenuatus/1132269.jpg,o
57,species/amphibians/batrachoseps_attenuatus/1133804.jpg,o
58,species/amphibians/batrachoseps_attenuatus/11344.jpg,o
59,species/amphibians/batrachoseps_attenuatus/1134667.JPG,o
60,species/amphibians/batrachoseps_attenuatus/1135147.jpg,o
61,species/amphibians/batrachoseps_attenuatus/1135178.jpg,o
62,species/amphibians/batrachoseps_attenuatus/1137425.jpg,o
63,species/amphibians/batrachoseps_attenuatus/1137639.jpg,o
64,species/amphibians/batrachoseps_attenuatus/1137797.JPG,o
65,species/amphibians/batrachoseps_attenuatus/1139090.JPG,o
66,species/amphibians/batrachoseps_attenuatus/1140330.JPG,o
67,species/amphibians/batrachoseps_attenuatus/1141385.jpg,o
68,species/amphibians/batrachoseps_attenuatus/1141806.jpg,o
69,species/amphibians/batrachoseps_attenuatus/1142987.jpg,o
70,species/amphibians/batrachoseps_attenuatus/1143125.JPG,o
71,species/amphibians/batrachoseps_attenuatus/1143132.JPG,o
72,species/amphibians/batrachoseps_attenuatus/1143148.JPG,o
73,species/amphibians/batrachoseps_attenuatus/1143347.jpg,o
74,species/amphibians/batrachoseps_attenuatus/1143428.JPG,o
75,species/amphibians/batrachoseps_attenuatus/1143429.JPG,o
76,species/amphibians/batrachoseps_attenuatus/1143458.JPG,o
77,species/amphibians/batrachoseps_attenuatus/1143834.JPG,o
78,species/amphibians/batrachoseps_attenuatus/1143855.JPG,o
79,species/amphibians/batrachoseps_attenuatus/1143874.JPG,o
80,species/amphibians/batrachoseps_attenuatus/1144333.JPG,o
81,species/amphibians/batrachoseps_attenuatus/1145353.jpg,o
82,species/amphibians/batrachoseps_attenuatus/1146119.jpg,o
83,species/amphibians/batrachoseps_attenuatus/1146558.JPG,q
84,species/amphibians/batrachoseps_attenuatus/1148763.jpg,o
85,species/amphibians/batrachoseps_attenuatus/1148771.jpg,o
86,species/amphibians/batrachoseps_attenuatus/1149374.JPG,o
87,species/amphibians/batrachoseps_attenuatus/1149377.JPG,o
88,species/amphibians/batrachoseps_attenuatus/1149383.JPG,o
89,species/amphibians/batrachoseps_attenuatus/1149387.JPG,o
90,species/amphibians/batrachoseps_attenuatus/1149390.JPG,o
91,species/amphibians/batrachoseps_attenuatus/1149395.JPG,o
92,species/amphibians/batrachoseps_attenuatus/1149398.JPG,o
93,species/amphibians/batrachoseps_attenuatus/1149405.JPG,o
94,species/amphibians/batrachoseps_attenuatus/1149409.JPG,o
95,species/amphibians/batrachoseps_attenuatus/1149414.JPG,o
96,species/amphibians/batrachoseps_attenuatus/1149428.JPG,o
97,species/amphibians/batrachoseps_attenuatus/1149764.jpg,o
98,species/amphibians/batrachoseps_attenuatus/1150085.jpg,o
99,species/amphibians/batrachoseps_attenuatus/1150144.jpg,o
100,species/amphibians/batrachoseps_attenuatus/1150240.jpg,o
101,species/amphibians/batrachoseps_attenuatus/1152290.jpg,o
102,species/amphibians/batrachoseps_attenuatus/1152860.jpg,o
103,species/amphibians/batrachoseps_attenuatus/1152982.jpg,o
104,species/amphibians/batrachoseps_attenuatus/1153306.jpg,o
