index,image_location,decision
0,Food-101/images/chicken_quesadilla/1141404.jpg,i
1,Food-101/images/chicken_quesadilla/1360278.jpg,i
2,Food-101/images/chicken_quesadilla/2380604.jpg,o
3,Food-101/images/chicken_quesadilla/2067076.jpg,i
4,Food-101/images/chicken_quesadilla/944494.jpg,i
5,Food-101/images/chicken_quesadilla/535057.jpg,i
6,Food-101/images/chicken_quesadilla/2409347.jpg,u
7,Food-101/images/chicken_quesadilla/963669.jpg,o
8,Food-101/images/chicken_quesadilla/3839873.jpg,i
9,Food-101/images/chicken_quesadilla/2427271.jpg,u
10,Food-101/images/chicken_quesadilla/1994327.jpg,o
11,Food-101/images/chicken_quesadilla/2520522.jpg,i
12,Food-101/images/chicken_quesadilla/3319726.jpg,i
13,Food-101/images/chicken_quesadilla/3704955.jpg,i
14,Food-101/images/chicken_quesadilla/2495519.jpg,i
15,Food-101/images/chicken_quesadilla/3305265.jpg,i
16,Food-101/images/chicken_quesadilla/2707187.jpg,o
17,Food-101/images/chicken_quesadilla/1826455.jpg,o
18,Food-101/images/chicken_quesadilla/2567027.jpg,i
19,Food-101/images/chicken_quesadilla/957537.jpg,i
20,Food-101/images/chicken_quesadilla/3228330.jpg,u
21,Food-101/images/chicken_quesadilla/2785982.jpg,o
22,Food-101/images/chicken_quesadilla/3369787.jpg,i
23,Food-101/images/chicken_quesadilla/3682851.jpg,i
24,Food-101/images/chicken_quesadilla/2067095.jpg,i
25,Food-101/images/chicken_quesadilla/2100664.jpg,i
26,Food-101/images/chicken_quesadilla/1290864.jpg,o
27,Food-101/images/chicken_quesadilla/3453423.jpg,i
28,Food-101/images/chicken_quesadilla/1093994.jpg,i
29,Food-101/images/chicken_quesadilla/2557965.jpg,i
30,Food-101/images/chicken_quesadilla/3340265.jpg,i
31,Food-101/images/chicken_quesadilla/3773275.jpg,i
32,Food-101/images/chicken_quesadilla/870696.jpg,i
33,Food-101/images/chicken_quesadilla/1094271.jpg,i
34,Food-101/images/chicken_quesadilla/2845754.jpg,i
35,Food-101/images/chicken_quesadilla/3783230.jpg,i
36,Food-101/images/chicken_quesadilla/1087931.jpg,i
37,Food-101/images/chicken_quesadilla/1782894.jpg,i
38,Food-101/images/chicken_quesadilla/741780.jpg,i
39,Food-101/images/chicken_quesadilla/2038277.jpg,o
40,Food-101/images/chicken_quesadilla/835273.jpg,i
41,Food-101/images/chicken_quesadilla/735304.jpg,o
42,Food-101/images/chicken_quesadilla/2039026.jpg,o
43,Food-101/images/chicken_quesadilla/1974810.jpg,o
44,Food-101/images/chicken_quesadilla/3691209.jpg,i
45,Food-101/images/chicken_quesadilla/3292457.jpg,i
46,Food-101/images/chicken_quesadilla/921154.jpg,i
47,Food-101/images/chicken_quesadilla/1726312.jpg,o
48,Food-101/images/chicken_quesadilla/3492468.jpg,o
49,Food-101/images/chicken_quesadilla/2468129.jpg,o
50,Food-101/images/chicken_quesadilla/555939.jpg,u
51,Food-101/images/chicken_quesadilla/1490175.jpg,i
52,Food-101/images/chicken_quesadilla/285350.jpg,i
53,Food-101/images/chicken_quesadilla/1133811.jpg,o
54,Food-101/images/chicken_quesadilla/3281265.jpg,i
55,Food-101/images/chicken_quesadilla/256181.jpg,i
56,Food-101/images/chicken_quesadilla/1254041.jpg,i
57,Food-101/images/chicken_quesadilla/842351.jpg,i
58,Food-101/images/chicken_quesadilla/3496998.jpg,i
59,Food-101/images/chicken_quesadilla/836646.jpg,i
60,Food-101/images/chicken_quesadilla/541663.jpg,i
61,Food-101/images/chicken_quesadilla/2201808.jpg,u
62,Food-101/images/chicken_quesadilla/1974569.jpg,o
63,Food-101/images/chicken_quesadilla/1748857.jpg,i
64,Food-101/images/chicken_quesadilla/402666.jpg,i
65,Food-101/images/chicken_quesadilla/1398962.jpg,i
