index,image_location,decision
0,species/plants/cirsium_pitcheri/10109101.jpg,u
1,species/plants/cirsium_pitcheri/12378705.png,o
2,species/plants/cirsium_pitcheri/12740491.jpg,o
3,species/plants/cirsium_pitcheri/12816516.jpg,o
4,species/plants/cirsium_pitcheri/12908548.jpeg,o
5,species/plants/cirsium_pitcheri/13084977.jpg,u
6,species/plants/cirsium_pitcheri/13099322.jpeg,o
7,species/plants/cirsium_pitcheri/13101129.jpg,o
8,species/plants/cirsium_pitcheri/13208942.jpeg,o
9,species/plants/cirsium_pitcheri/13356864.jpg,o
10,species/plants/cirsium_pitcheri/13437418.jpg,o
11,species/plants/cirsium_pitcheri/13499316.jpeg,o
12,species/plants/cirsium_pitcheri/13674871.jpg,o
13,species/plants/cirsium_pitcheri/13696773.jpeg,o
14,species/plants/cirsium_pitcheri/13733235.jpg,o
15,species/plants/cirsium_pitcheri/13770464.jpg,u
16,species/plants/cirsium_pitcheri/13785115.jpg,o
17,species/plants/cirsium_pitcheri/13789185.jpg,o
18,species/plants/cirsium_pitcheri/13820560.jpg,u
19,species/plants/cirsium_pitcheri/14030403.jpeg,o
20,species/plants/cirsium_pitcheri/14063832.jpg,o
21,species/plants/cirsium_pitcheri/14098894.jpeg,o
22,species/plants/cirsium_pitcheri/14219660.jpg,o
23,species/plants/cirsium_pitcheri/14244595.jpeg,o
24,species/plants/cirsium_pitcheri/14411133.jpg,o
25,species/plants/cirsium_pitcheri/14411731.jpg,u
26,species/plants/cirsium_pitcheri/14421755.jpg,o
27,species/plants/cirsium_pitcheri/14582715.jpg,o
28,species/plants/cirsium_pitcheri/14627039.jpeg,o
29,species/plants/cirsium_pitcheri/14799409.jpeg,o
30,species/plants/cirsium_pitcheri/14831746.jpg,i
31,species/plants/cirsium_pitcheri/14842954.jpg,o
32,species/plants/cirsium_pitcheri/14842981.jpg,o
33,species/plants/cirsium_pitcheri/14976390.jpg,o
34,species/plants/cirsium_pitcheri/14976807.jpg,o
35,species/plants/cirsium_pitcheri/14981476.jpeg,o
36,species/plants/cirsium_pitcheri/15014394.jpeg,o
37,species/plants/cirsium_pitcheri/15122847.jpeg,o
38,species/plants/cirsium_pitcheri/15150710.jpeg,u
39,species/plants/cirsium_pitcheri/15202890.jpg,u
40,species/plants/cirsium_pitcheri/15214369.jpeg,o
41,species/plants/cirsium_pitcheri/15236678.jpg,o
42,species/plants/cirsium_pitcheri/15422773.jpeg,u
43,species/plants/cirsium_pitcheri/15467970.jpeg,o
44,species/plants/cirsium_pitcheri/15767540.jpg,o
45,species/plants/cirsium_pitcheri/15767596.jpg,u
46,species/plants/cirsium_pitcheri/15865177.jpg,o
47,species/plants/cirsium_pitcheri/16059990.jpg,o
48,species/plants/cirsium_pitcheri/16120149.jpg,i
49,species/plants/cirsium_pitcheri/16273771.jpg,i
50,species/plants/cirsium_pitcheri/16273776.jpeg,i
51,species/plants/cirsium_pitcheri/16303286.jpg,o
52,species/plants/cirsium_pitcheri/16399388.jpg,o
53,species/plants/cirsium_pitcheri/16409061.jpeg,u
54,species/plants/cirsium_pitcheri/16448009.jpeg,o
55,species/plants/cirsium_pitcheri/1686412.jpg,o
56,species/plants/cirsium_pitcheri/1714250.jpg,i
57,species/plants/cirsium_pitcheri/17175260.jpeg,i
58,species/plants/cirsium_pitcheri/17319407.jpeg,o
59,species/plants/cirsium_pitcheri/17455034.jpeg,o
60,species/plants/cirsium_pitcheri/17621565.jpeg,o
61,species/plants/cirsium_pitcheri/1780956.JPG,o
62,species/plants/cirsium_pitcheri/1781211.jpg,o
63,species/plants/cirsium_pitcheri/17854008.jpg,o
64,species/plants/cirsium_pitcheri/17942410.jpeg,o
65,species/plants/cirsium_pitcheri/18364582.jpg,o
66,species/plants/cirsium_pitcheri/18598616.jpeg,o
67,species/plants/cirsium_pitcheri/18614009.jpeg,o
68,species/plants/cirsium_pitcheri/1868644.JPG,o
69,species/plants/cirsium_pitcheri/18952273.jpeg,o
70,species/plants/cirsium_pitcheri/19002556.jpeg,o
71,species/plants/cirsium_pitcheri/19027834.jpeg,o
72,species/plants/cirsium_pitcheri/19201539.jpeg,o
73,species/plants/cirsium_pitcheri/19782976.jpeg,o
74,species/plants/cirsium_pitcheri/19993190.jpeg,o
75,species/plants/cirsium_pitcheri/20030031.jpeg,u
76,species/plants/cirsium_pitcheri/20313013.jpeg,i
77,species/plants/cirsium_pitcheri/20313051.jpeg,o
78,species/plants/cirsium_pitcheri/20349206.jpg,o
79,species/plants/cirsium_pitcheri/20519570.jpeg,o
80,species/plants/cirsium_pitcheri/20519594.jpeg,o
81,species/plants/cirsium_pitcheri/20559808.jpg,i
82,species/plants/cirsium_pitcheri/20559810.jpg,i
83,species/plants/cirsium_pitcheri/20780201.jpeg,o
84,species/plants/cirsium_pitcheri/20913397.jpeg,u
85,species/plants/cirsium_pitcheri/2116220.JPG,u
86,species/plants/cirsium_pitcheri/2338961.JPG,u
87,species/plants/cirsium_pitcheri/24679978.jpg,u
88,species/plants/cirsium_pitcheri/24701305.jpg,o
89,species/plants/cirsium_pitcheri/25009819.jpg,o
90,species/plants/cirsium_pitcheri/25185442.jpeg,u
91,species/plants/cirsium_pitcheri/25185475.jpeg,o
92,species/plants/cirsium_pitcheri/25185515.jpeg,o
93,species/plants/cirsium_pitcheri/25185546.jpeg,u
94,species/plants/cirsium_pitcheri/25185570.jpeg,u
95,species/plants/cirsium_pitcheri/25185609.jpeg,o
96,species/plants/cirsium_pitcheri/25388635.jpeg,o
97,species/plants/cirsium_pitcheri/25890760.jpg,o
98,species/plants/cirsium_pitcheri/25919473.jpg,o
99,species/plants/cirsium_pitcheri/25971271.jpg,o
100,species/plants/cirsium_pitcheri/26025386.jpg,u
101,species/plants/cirsium_pitcheri/26032283.jpg,o
102,species/plants/cirsium_pitcheri/26034888.jpeg,u
103,species/plants/cirsium_pitcheri/26035964.jpeg,o
104,species/plants/cirsium_pitcheri/26097552.jpeg,o
105,species/plants/cirsium_pitcheri/26097563.jpeg,u
106,species/plants/cirsium_pitcheri/2610397.jpg,o
107,species/plants/cirsium_pitcheri/26124388.jpeg,o
108,species/plants/cirsium_pitcheri/26126424.jpeg,o
109,species/plants/cirsium_pitcheri/26200287.jpg,o
110,species/plants/cirsium_pitcheri/26211880.jpg,o
111,species/plants/cirsium_pitcheri/26260816.jpg,o
112,species/plants/cirsium_pitcheri/26303098.jpeg,u
113,species/plants/cirsium_pitcheri/26342407.jpeg,u
114,species/plants/cirsium_pitcheri/26404812.jpg,o
115,species/plants/cirsium_pitcheri/26434779.jpg,o
116,species/plants/cirsium_pitcheri/26477087.jpeg,u
117,species/plants/cirsium_pitcheri/26477129.jpeg,u
118,species/plants/cirsium_pitcheri/26576625.jpeg,i
119,species/plants/cirsium_pitcheri/26679879.jpg,o
120,species/plants/cirsium_pitcheri/26784196.jpg,o
121,species/plants/cirsium_pitcheri/26801781.jpg,u
122,species/plants/cirsium_pitcheri/26831610.jpg,o
123,species/plants/cirsium_pitcheri/26959019.jpg,o
124,species/plants/cirsium_pitcheri/26993273.jpg,u
125,species/plants/cirsium_pitcheri/27037766.jpg,u
126,species/plants/cirsium_pitcheri/27059837.jpg,u
127,species/plants/cirsium_pitcheri/27111444.jpeg,o
128,species/plants/cirsium_pitcheri/27248092.jpg,o
129,species/plants/cirsium_pitcheri/27272464.jpg,o
130,species/plants/cirsium_pitcheri/27331245.jpeg,u
131,species/plants/cirsium_pitcheri/27396590.jpg,u
132,species/plants/cirsium_pitcheri/27436119.jpeg,o
133,species/plants/cirsium_pitcheri/27501069.jpg,o
134,species/plants/cirsium_pitcheri/27581667.jpg,o
135,species/plants/cirsium_pitcheri/27584143.jpeg,o
136,species/plants/cirsium_pitcheri/27585414.jpg,o
137,species/plants/cirsium_pitcheri/27606389.jpg,o
138,species/plants/cirsium_pitcheri/27670367.jpeg,u
139,species/plants/cirsium_pitcheri/27670455.jpeg,u
140,species/plants/cirsium_pitcheri/27670552.jpeg,u
141,species/plants/cirsium_pitcheri/27670611.jpeg,u
142,species/plants/cirsium_pitcheri/27670741.jpeg,u
143,species/plants/cirsium_pitcheri/27670795.jpeg,u
144,species/plants/cirsium_pitcheri/27670883.jpeg,u
145,species/plants/cirsium_pitcheri/27671038.jpeg,u
146,species/plants/cirsium_pitcheri/27702775.jpg,o
147,species/plants/cirsium_pitcheri/27725534.jpeg,i
148,species/plants/cirsium_pitcheri/27780132.jpeg,o
149,species/plants/cirsium_pitcheri/27817539.jpg,o
