index,image_location,decision
0,Food-101/images/creme_brulee/1253807.jpg,o
1,Food-101/images/creme_brulee/1000711.jpg,
2,Food-101/images/creme_brulee/548814.jpg,o
3,Food-101/images/creme_brulee/988854.jpg,i
4,Food-101/images/creme_brulee/1289532.jpg,i
5,Food-101/images/creme_brulee/815204.jpg,i
6,Food-101/images/creme_brulee/2319223.jpg,o
7,Food-101/images/creme_brulee/391295.jpg,i
8,Food-101/images/creme_brulee/1058934.jpg,i
9,Food-101/images/creme_brulee/1184409.jpg,i
10,Food-101/images/creme_brulee/1720048.jpg,i
11,Food-101/images/creme_brulee/709526.jpg,o
12,Food-101/images/creme_brulee/666374.jpg,i
13,Food-101/images/creme_brulee/2129037.jpg,i
14,Food-101/images/creme_brulee/2318273.jpg,o
15,Food-101/images/creme_brulee/1233261.jpg,o
16,Food-101/images/creme_brulee/916232.jpg,i
17,Food-101/images/creme_brulee/163889.jpg,o
18,Food-101/images/creme_brulee/773732.jpg,i
19,Food-101/images/creme_brulee/1447258.jpg,i
20,Food-101/images/creme_brulee/1303368.jpg,o
21,Food-101/images/creme_brulee/1720013.jpg,o
22,Food-101/images/creme_brulee/2178714.jpg,o
23,Food-101/images/creme_brulee/763564.jpg,i
24,Food-101/images/creme_brulee/2066923.jpg,o
25,Food-101/images/creme_brulee/1365780.jpg,i
26,Food-101/images/creme_brulee/3006331.jpg,o
27,Food-101/images/creme_brulee/2708585.jpg,o
28,Food-101/images/creme_brulee/2321735.jpg,i
29,Food-101/images/creme_brulee/1736025.jpg,i
30,Food-101/images/creme_brulee/1378646.jpg,o
31,Food-101/images/creme_brulee/67067.jpg,i
32,Food-101/images/creme_brulee/2727376.jpg,i
33,Food-101/images/creme_brulee/2405262.jpg,i
34,Food-101/images/creme_brulee/1874674.jpg,i
35,Food-101/images/creme_brulee/2449043.jpg,i
36,Food-101/images/creme_brulee/2602002.jpg,o
37,Food-101/images/creme_brulee/885093.jpg,i
38,Food-101/images/creme_brulee/1378396.jpg,i
39,Food-101/images/creme_brulee/99109.jpg,i
40,Food-101/images/creme_brulee/131171.jpg,o
41,Food-101/images/creme_brulee/2339568.jpg,i
42,Food-101/images/creme_brulee/1017737.jpg,i
43,Food-101/images/creme_brulee/649471.jpg,i
44,Food-101/images/creme_brulee/375148.jpg,i
45,Food-101/images/creme_brulee/911836.jpg,i
46,Food-101/images/creme_brulee/2187813.jpg,i
47,Food-101/images/creme_brulee/105087.jpg,i
48,Food-101/images/creme_brulee/1196858.jpg,i
49,Food-101/images/creme_brulee/2170962.jpg,o
50,Food-101/images/creme_brulee/849220.jpg,i
51,Food-101/images/creme_brulee/1072368.jpg,i
52,Food-101/images/creme_brulee/2178815.jpg,o
53,Food-101/images/creme_brulee/77818.jpg,i
54,Food-101/images/creme_brulee/935865.jpg,i
55,Food-101/images/creme_brulee/1141329.jpg,o
56,Food-101/images/creme_brulee/650519.jpg,i
57,Food-101/images/creme_brulee/3288880.jpg,o
58,Food-101/images/creme_brulee/1890596.jpg,o
59,Food-101/images/creme_brulee/973800.jpg,i
60,Food-101/images/creme_brulee/230005.jpg,o
61,Food-101/images/creme_brulee/1560140.jpg,i
62,Food-101/images/creme_brulee/3838144.jpg,o
63,Food-101/images/creme_brulee/2369615.jpg,i
64,Food-101/images/creme_brulee/699755.jpg,i
65,Food-101/images/creme_brulee/17292.jpg,i
66,Food-101/images/creme_brulee/2642725.jpg,i
67,Food-101/images/creme_brulee/1579080.jpg,i
68,Food-101/images/creme_brulee/1816938.jpg,i
69,Food-101/images/creme_brulee/1668554.jpg,i
70,Food-101/images/creme_brulee/559680.jpg,o
71,Food-101/images/creme_brulee/1851232.jpg,i
72,Food-101/images/creme_brulee/1858731.jpg,i
73,Food-101/images/creme_brulee/2688814.jpg,i
74,Food-101/images/creme_brulee/2200558.jpg,i
75,Food-101/images/creme_brulee/2882098.jpg,i
76,Food-101/images/creme_brulee/2049202.jpg,i
77,Food-101/images/creme_brulee/456372.jpg,o
78,Food-101/images/creme_brulee/1727538.jpg,o
79,Food-101/images/creme_brulee/2352946.jpg,o
80,Food-101/images/creme_brulee/2314822.jpg,i
81,Food-101/images/creme_brulee/2051814.jpg,i
82,Food-101/images/creme_brulee/2475372.jpg,i
83,Food-101/images/creme_brulee/9557.jpg,i
84,Food-101/images/creme_brulee/2606202.jpg,i
85,Food-101/images/creme_brulee/2249860.jpg,o
86,Food-101/images/creme_brulee/787469.jpg,i
87,Food-101/images/creme_brulee/3705661.jpg,i
88,Food-101/images/creme_brulee/2094984.jpg,i
89,Food-101/images/creme_brulee/27773.jpg,i
90,Food-101/images/creme_brulee/138478.jpg,o
91,Food-101/images/creme_brulee/3210433.jpg,i
92,Food-101/images/creme_brulee/609637.jpg,i
93,Food-101/images/creme_brulee/1373667.jpg,o
94,Food-101/images/creme_brulee/105870.jpg,i
95,Food-101/images/creme_brulee/690871.jpg,i
96,Food-101/images/creme_brulee/442363.jpg,i
97,Food-101/images/creme_brulee/1436627.jpg,i
98,Food-101/images/creme_brulee/645974.jpg,o
99,Food-101/images/creme_brulee/248645.jpg,o
100,Food-101/images/creme_brulee/2110427.jpg,i
101,Food-101/images/creme_brulee/795179.jpg,i
102,Food-101/images/creme_brulee/769924.jpg,i
103,Food-101/images/creme_brulee/2698416.jpg,i
104,Food-101/images/creme_brulee/1944874.jpg,i
105,Food-101/images/creme_brulee/2218106.jpg,o
106,Food-101/images/creme_brulee/73907.jpg,u
107,Food-101/images/creme_brulee/2275365.jpg,o
108,Food-101/images/creme_brulee/2441059.jpg,i
109,Food-101/images/creme_brulee/2692985.jpg,i
110,Food-101/images/creme_brulee/730512.jpg,i
111,Food-101/images/creme_brulee/503497.jpg,i
112,Food-101/images/creme_brulee/1313335.jpg,i
113,Food-101/images/creme_brulee/830284.jpg,u
114,Food-101/images/creme_brulee/2058890.jpg,i
115,Food-101/images/creme_brulee/3835744.jpg,i
116,Food-101/images/creme_brulee/2878935.jpg,i
117,Food-101/images/creme_brulee/2320402.jpg,i
118,Food-101/images/creme_brulee/1921292.jpg,o
119,Food-101/images/creme_brulee/2960858.jpg,i
120,Food-101/images/creme_brulee/1735112.jpg,i
121,Food-101/images/creme_brulee/1147337.jpg,i
122,Food-101/images/creme_brulee/2481440.jpg,o
123,Food-101/images/creme_brulee/2422456.jpg,i
124,Food-101/images/creme_brulee/1129492.jpg,o
125,Food-101/images/creme_brulee/66315.jpg,i
126,Food-101/images/creme_brulee/1929798.jpg,i
127,Food-101/images/creme_brulee/854541.jpg,i
128,Food-101/images/creme_brulee/1176348.jpg,o
129,Food-101/images/creme_brulee/2826303.jpg,i
130,Food-101/images/creme_brulee/658893.jpg,i
131,Food-101/images/creme_brulee/1554565.jpg,i
132,Food-101/images/creme_brulee/3816246.jpg,i
133,Food-101/images/creme_brulee/1492625.jpg,i
134,Food-101/images/creme_brulee/1170291.jpg,i
135,Food-101/images/creme_brulee/390426.jpg,i
136,Food-101/images/creme_brulee/3238378.jpg,o
137,Food-101/images/creme_brulee/216644.jpg,i
138,Food-101/images/creme_brulee/219079.jpg,i
139,Food-101/images/creme_brulee/2376691.jpg,o
140,Food-101/images/creme_brulee/3533595.jpg,i
141,Food-101/images/creme_brulee/2574544.jpg,i
142,Food-101/images/creme_brulee/642088.jpg,i
143,Food-101/images/creme_brulee/583657.jpg,i
144,Food-101/images/creme_brulee/472801.jpg,i
145,Food-101/images/creme_brulee/2448253.jpg,i
146,Food-101/images/creme_brulee/2658995.jpg,i
147,Food-101/images/creme_brulee/1704491.jpg,i
148,Food-101/images/creme_brulee/3837134.jpg,i
149,Food-101/images/creme_brulee/706409.jpg,i
150,Food-101/images/creme_brulee/779678.jpg,i
151,Food-101/images/creme_brulee/2585208.jpg,i
152,Food-101/images/creme_brulee/3053363.jpg,i
153,Food-101/images/creme_brulee/1292153.jpg,i
154,Food-101/images/creme_brulee/1558189.jpg,o
155,Food-101/images/creme_brulee/3638831.jpg,i
156,Food-101/images/creme_brulee/11338.jpg,i
157,Food-101/images/creme_brulee/2374770.jpg,i
158,Food-101/images/creme_brulee/494434.jpg,i
159,Food-101/images/creme_brulee/2085820.jpg,o
160,Food-101/images/creme_brulee/2125351.jpg,i
161,Food-101/images/creme_brulee/3829590.jpg,i
162,Food-101/images/creme_brulee/3922389.jpg,o
163,Food-101/images/creme_brulee/3625124.jpg,i
164,Food-101/images/creme_brulee/1705311.jpg,i
165,Food-101/images/creme_brulee/929976.jpg,o
166,Food-101/images/creme_brulee/4234.jpg,i
167,Food-101/images/creme_brulee/3534603.jpg,i
168,Food-101/images/creme_brulee/3478390.jpg,i
169,Food-101/images/creme_brulee/609441.jpg,i
170,Food-101/images/creme_brulee/2386244.jpg,i
171,Food-101/images/creme_brulee/1170562.jpg,i
172,Food-101/images/creme_brulee/946619.jpg,i
173,Food-101/images/creme_brulee/1507675.jpg,i
174,Food-101/images/creme_brulee/2311215.jpg,i
175,Food-101/images/creme_brulee/401197.jpg,i
176,Food-101/images/creme_brulee/2675282.jpg,i
177,Food-101/images/creme_brulee/1065054.jpg,o
178,Food-101/images/creme_brulee/2937942.jpg,u
179,Food-101/images/creme_brulee/2570203.jpg,i
180,Food-101/images/creme_brulee/2061711.jpg,i
181,Food-101/images/creme_brulee/1139862.jpg,i
182,Food-101/images/creme_brulee/2474386.jpg,o
