index,image_location,decision
0,species/insects/ctenolepisma_longicaudata/10007377.jpg,o
1,species/insects/ctenolepisma_longicaudata/10151311.jpg,o
2,species/insects/ctenolepisma_longicaudata/10255002.jpg,o
3,species/insects/ctenolepisma_longicaudata/10262094.jpeg,o
4,species/insects/ctenolepisma_longicaudata/10269995.jpeg,o
5,species/insects/ctenolepisma_longicaudata/10507530.jpeg,o
6,species/insects/ctenolepisma_longicaudata/10734454.jpg,o
7,species/insects/ctenolepisma_longicaudata/10812422.jpeg,o
8,species/insects/ctenolepisma_longicaudata/10820892.jpg,o
9,species/insects/ctenolepisma_longicaudata/10888573.jpg,o
10,species/insects/ctenolepisma_longicaudata/11004252.jpg,u
11,species/insects/ctenolepisma_longicaudata/1110116.jpg,o
12,species/insects/ctenolepisma_longicaudata/11163024.jpeg,o
13,species/insects/ctenolepisma_longicaudata/11163547.jpg,o
14,species/insects/ctenolepisma_longicaudata/11164122.jpg,o
15,species/insects/ctenolepisma_longicaudata/11286513.jpg,o
16,species/insects/ctenolepisma_longicaudata/11300375.jpeg,o
17,species/insects/ctenolepisma_longicaudata/11353668.jpg,o
18,species/insects/ctenolepisma_longicaudata/11367062.jpg,o
19,species/insects/ctenolepisma_longicaudata/11402962.jpg,o
20,species/insects/ctenolepisma_longicaudata/11413795.jpg,o
21,species/insects/ctenolepisma_longicaudata/1150102.JPG,o
22,species/insects/ctenolepisma_longicaudata/11521221.jpeg,o
23,species/insects/ctenolepisma_longicaudata/11585599.jpg,o
24,species/insects/ctenolepisma_longicaudata/11727008.jpg,o
25,species/insects/ctenolepisma_longicaudata/1174174.jpg,o
26,species/insects/ctenolepisma_longicaudata/11770550.jpg,o
27,species/insects/ctenolepisma_longicaudata/11811017.jpg,o
28,species/insects/ctenolepisma_longicaudata/11865087.jpg,o
29,species/insects/ctenolepisma_longicaudata/11881518.jpg,o
30,species/insects/ctenolepisma_longicaudata/12105179.jpeg,o
31,species/insects/ctenolepisma_longicaudata/12152975.jpg,o
32,species/insects/ctenolepisma_longicaudata/12268847.jpeg,o
33,species/insects/ctenolepisma_longicaudata/13517101.jpg,o
34,species/insects/ctenolepisma_longicaudata/13567417.jpg,o
