index,image_location,decision
0,Food-101/images/cup_cakes/2920467.jpg,o
1,Food-101/images/cup_cakes/1134014.jpg,i
2,Food-101/images/cup_cakes/2238554.jpg,i
3,Food-101/images/cup_cakes/90772.jpg,u
4,Food-101/images/cup_cakes/985891.jpg,o
5,Food-101/images/cup_cakes/1300498.jpg,o
6,Food-101/images/cup_cakes/2314937.jpg,i
7,Food-101/images/cup_cakes/1446834.jpg,i
8,Food-101/images/cup_cakes/1028773.jpg,o
9,Food-101/images/cup_cakes/657839.jpg,u
10,Food-101/images/cup_cakes/1121779.jpg,i
11,Food-101/images/cup_cakes/630654.jpg,o
12,Food-101/images/cup_cakes/525612.jpg,u
13,Food-101/images/cup_cakes/38668.jpg,u
14,Food-101/images/cup_cakes/1109094.jpg,o
15,Food-101/images/cup_cakes/2203197.jpg,i
16,Food-101/images/cup_cakes/271202.jpg,i
17,Food-101/images/cup_cakes/541774.jpg,o
18,Food-101/images/cup_cakes/279945.jpg,i
19,Food-101/images/cup_cakes/3709681.jpg,u
20,Food-101/images/cup_cakes/2765955.jpg,u
21,Food-101/images/cup_cakes/3660452.jpg,i
22,Food-101/images/cup_cakes/2162578.jpg,o
23,Food-101/images/cup_cakes/200462.jpg,o
24,Food-101/images/cup_cakes/204869.jpg,u
25,Food-101/images/cup_cakes/3423071.jpg,o
26,Food-101/images/cup_cakes/3147268.jpg,o
27,Food-101/images/cup_cakes/1030942.jpg,o
28,Food-101/images/cup_cakes/3159087.jpg,i
29,Food-101/images/cup_cakes/3579569.jpg,i
30,Food-101/images/cup_cakes/1613861.jpg,o
31,Food-101/images/cup_cakes/3000205.jpg,o
32,Food-101/images/cup_cakes/2538109.jpg,u
33,Food-101/images/cup_cakes/2648418.jpg,u
34,Food-101/images/cup_cakes/3015956.jpg,o
35,Food-101/images/cup_cakes/1694617.jpg,o
36,Food-101/images/cup_cakes/2187203.jpg,o
37,Food-101/images/cup_cakes/2767498.jpg,i
38,Food-101/images/cup_cakes/754471.jpg,i
39,Food-101/images/cup_cakes/392355.jpg,o
40,Food-101/images/cup_cakes/2140174.jpg,i
41,Food-101/images/cup_cakes/692133.jpg,o
42,Food-101/images/cup_cakes/369649.jpg,o
43,Food-101/images/cup_cakes/355018.jpg,u
44,Food-101/images/cup_cakes/1280350.jpg,i
45,Food-101/images/cup_cakes/2970983.jpg,i
46,Food-101/images/cup_cakes/774852.jpg,o
47,Food-101/images/cup_cakes/910822.jpg,u
48,Food-101/images/cup_cakes/3510683.jpg,o
49,Food-101/images/cup_cakes/67766.jpg,o
50,Food-101/images/cup_cakes/2702073.jpg,o
51,Food-101/images/cup_cakes/3378732.jpg,u
52,Food-101/images/cup_cakes/3035063.jpg,o
53,Food-101/images/cup_cakes/3326466.jpg,i
54,Food-101/images/cup_cakes/207060.jpg,i
55,Food-101/images/cup_cakes/2115228.jpg,o
56,Food-101/images/cup_cakes/2340606.jpg,u
57,Food-101/images/cup_cakes/1566398.jpg,o
58,Food-101/images/cup_cakes/601989.jpg,u
59,Food-101/images/cup_cakes/3057002.jpg,u
60,Food-101/images/cup_cakes/2482597.jpg,i
61,Food-101/images/cup_cakes/2671408.jpg,u
62,Food-101/images/cup_cakes/56108.jpg,o
63,Food-101/images/cup_cakes/1749534.jpg,u
64,Food-101/images/cup_cakes/2997455.jpg,i
65,Food-101/images/cup_cakes/352656.jpg,u
66,Food-101/images/cup_cakes/472820.jpg,i
67,Food-101/images/cup_cakes/559710.jpg,i
68,Food-101/images/cup_cakes/2318651.jpg,u
69,Food-101/images/cup_cakes/316584.jpg,o
70,Food-101/images/cup_cakes/3161410.jpg,u
71,Food-101/images/cup_cakes/2805350.jpg,u
72,Food-101/images/cup_cakes/1822922.jpg,u
73,Food-101/images/cup_cakes/1569534.jpg,i
74,Food-101/images/cup_cakes/381495.jpg,i
75,Food-101/images/cup_cakes/3310015.jpg,o
76,Food-101/images/cup_cakes/374268.jpg,u
77,Food-101/images/cup_cakes/2475204.jpg,i
78,Food-101/images/cup_cakes/888171.jpg,u
79,Food-101/images/cup_cakes/508089.jpg,u
