index,image_location,decision
0,species/plants/darlingtonia_californica/10001598.jpg,o
1,species/plants/darlingtonia_californica/10092768.jpg,o
2,species/plants/darlingtonia_californica/10109444.jpg,o
3,species/plants/darlingtonia_californica/10208388.jpg,o
4,species/plants/darlingtonia_californica/10238373.jpeg,u
5,species/plants/darlingtonia_californica/10238374.jpeg,o
6,species/plants/darlingtonia_californica/10259672.jpg,o
7,species/plants/darlingtonia_californica/10269605.jpg,o
8,species/plants/darlingtonia_californica/10439829.jpg,o
9,species/plants/darlingtonia_californica/10464730.jpg,o
10,species/plants/darlingtonia_californica/10467581.jpg,o
11,species/plants/darlingtonia_californica/10473888.jpg,o
12,species/plants/darlingtonia_californica/10517834.jpg,o
13,species/plants/darlingtonia_californica/10700537.jpg,o
14,species/plants/darlingtonia_californica/109197.jpg,o
15,species/plants/darlingtonia_californica/10945249.jpeg,o
16,species/plants/darlingtonia_californica/10945250.jpeg,o
17,species/plants/darlingtonia_californica/10945275.jpeg,o
18,species/plants/darlingtonia_californica/10945278.jpeg,o
19,species/plants/darlingtonia_californica/11084123.jpg,o
20,species/plants/darlingtonia_californica/11119377.jpeg,o
21,species/plants/darlingtonia_californica/11302164.jpg,o
22,species/plants/darlingtonia_californica/11302233.jpg,o
23,species/plants/darlingtonia_californica/1151887.jpg,o
24,species/plants/darlingtonia_californica/1155961.jpg,o
25,species/plants/darlingtonia_californica/1157915.JPG,o
26,species/plants/darlingtonia_californica/11686838.jpg,u
27,species/plants/darlingtonia_californica/12122219.jpg,o
28,species/plants/darlingtonia_californica/12130891.jpg,o
29,species/plants/darlingtonia_californica/12184800.jpg,o
30,species/plants/darlingtonia_californica/12225086.jpg,o
31,species/plants/darlingtonia_californica/12262413.jpg,o
32,species/plants/darlingtonia_californica/12345360.jpg,o
33,species/plants/darlingtonia_californica/12372923.jpeg,o
34,species/plants/darlingtonia_californica/12421571.jpg,o
35,species/plants/darlingtonia_californica/12506567.jpeg,o
36,species/plants/darlingtonia_californica/12537467.jpeg,o
37,species/plants/darlingtonia_californica/12537510.jpeg,o
38,species/plants/darlingtonia_californica/12537671.jpeg,o
39,species/plants/darlingtonia_californica/12537681.jpeg,o
40,species/plants/darlingtonia_californica/12619662.jpg,o
41,species/plants/darlingtonia_californica/12628171.jpg,o
42,species/plants/darlingtonia_californica/126298.jpg,o
43,species/plants/darlingtonia_californica/12630200.jpeg,o
44,species/plants/darlingtonia_californica/126394.jpg,o
45,species/plants/darlingtonia_californica/12666585.jpg,o
46,species/plants/darlingtonia_californica/12731171.jpeg,o
47,species/plants/darlingtonia_californica/12840149.jpeg,o
