index,image_location,decision
0,species/mammals/dendrolagus_lumholtzi/11323300.jpeg,o
1,species/mammals/dendrolagus_lumholtzi/1187443.JPG,o
2,species/mammals/dendrolagus_lumholtzi/1228602.JPG,o
3,species/mammals/dendrolagus_lumholtzi/13409689.jpg,o
4,species/mammals/dendrolagus_lumholtzi/17275614.jpeg,o
5,species/mammals/dendrolagus_lumholtzi/18927500.jpg,o
6,species/mammals/dendrolagus_lumholtzi/18947427.jpg,o
7,species/mammals/dendrolagus_lumholtzi/19042949.jpg,o
8,species/mammals/dendrolagus_lumholtzi/19373861.jpeg,o
9,species/mammals/dendrolagus_lumholtzi/23597305.jpg,o
10,species/mammals/dendrolagus_lumholtzi/23848269.jpeg,o
11,species/mammals/dendrolagus_lumholtzi/2469279.jpg,o
12,species/mammals/dendrolagus_lumholtzi/25542484.jpeg,o
13,species/mammals/dendrolagus_lumholtzi/28987868.jpeg,o
14,species/mammals/dendrolagus_lumholtzi/29142647.jpg,o
15,species/mammals/dendrolagus_lumholtzi/30353665.jpeg,o
16,species/mammals/dendrolagus_lumholtzi/30798988.jpg,o
17,species/mammals/dendrolagus_lumholtzi/31214802.jpg,o
18,species/mammals/dendrolagus_lumholtzi/32810007.jpeg,o
19,species/mammals/dendrolagus_lumholtzi/34217412.jpg,o
20,species/mammals/dendrolagus_lumholtzi/34348090.jpg,o
21,species/mammals/dendrolagus_lumholtzi/34388930.jpg,o
22,species/mammals/dendrolagus_lumholtzi/34440033.jpg,o
23,species/mammals/dendrolagus_lumholtzi/34726623.jpeg,o
24,species/mammals/dendrolagus_lumholtzi/35114030.jpg,o
25,species/mammals/dendrolagus_lumholtzi/35162895.jpg,o
26,species/mammals/dendrolagus_lumholtzi/35173772.jpg,o
27,species/mammals/dendrolagus_lumholtzi/35173773.jpg,o
28,species/mammals/dendrolagus_lumholtzi/36235314.jpeg,o
29,species/mammals/dendrolagus_lumholtzi/36303686.jpeg,o
30,species/mammals/dendrolagus_lumholtzi/3738900.jpg,o
31,species/mammals/dendrolagus_lumholtzi/37765587.jpg,o
32,species/mammals/dendrolagus_lumholtzi/38417023.jpg,o
33,species/mammals/dendrolagus_lumholtzi/38562089.jpg,o
34,species/mammals/dendrolagus_lumholtzi/38622073.jpg,o
35,species/mammals/dendrolagus_lumholtzi/38693083.jpeg,o
36,species/mammals/dendrolagus_lumholtzi/38733699.jpeg,o
37,species/mammals/dendrolagus_lumholtzi/38749361.jpg,o
38,species/mammals/dendrolagus_lumholtzi/38879413.jpg,o
39,species/mammals/dendrolagus_lumholtzi/39049961.jpg,o
40,species/mammals/dendrolagus_lumholtzi/39564522.jpeg,o
41,species/mammals/dendrolagus_lumholtzi/39564577.jpeg,o
42,species/mammals/dendrolagus_lumholtzi/40077733.jpg,o
43,species/mammals/dendrolagus_lumholtzi/40762070.jpeg,o
44,species/mammals/dendrolagus_lumholtzi/41100256.jpg,o
45,species/mammals/dendrolagus_lumholtzi/41693736.jpeg,q
46,species/mammals/dendrolagus_lumholtzi/41874170.jpeg,o
47,species/mammals/dendrolagus_lumholtzi/42029018.jpeg,o
48,species/mammals/dendrolagus_lumholtzi/42029412.jpg,o
49,species/mammals/dendrolagus_lumholtzi/42094992.jpg,o
50,species/mammals/dendrolagus_lumholtzi/42154630.jpeg,o
51,species/mammals/dendrolagus_lumholtzi/42226232.jpeg,o
52,species/mammals/dendrolagus_lumholtzi/43778101.jpg,o
53,species/mammals/dendrolagus_lumholtzi/44516971.jpeg,o
54,species/mammals/dendrolagus_lumholtzi/4477243.jpg,o
55,species/mammals/dendrolagus_lumholtzi/45228232.jpg,o
56,species/mammals/dendrolagus_lumholtzi/45245845.jpeg,q
57,species/mammals/dendrolagus_lumholtzi/45367775.jpeg,q
58,species/mammals/dendrolagus_lumholtzi/5160322.jpg,o
59,species/mammals/dendrolagus_lumholtzi/53430303.jpg,o
60,species/mammals/dendrolagus_lumholtzi/53430519.jpg,o
61,species/mammals/dendrolagus_lumholtzi/54231352.jpg,q
62,species/mammals/dendrolagus_lumholtzi/56290412.jpeg,o
63,species/mammals/dendrolagus_lumholtzi/56680470.jpg,q
64,species/mammals/dendrolagus_lumholtzi/58563617.jpeg,q
65,species/mammals/dendrolagus_lumholtzi/60805261.jpg,q
66,species/mammals/dendrolagus_lumholtzi/62094145.jpeg,o
67,species/mammals/dendrolagus_lumholtzi/62094146.jpeg,o
68,species/mammals/dendrolagus_lumholtzi/62189363.jpg,o
69,species/mammals/dendrolagus_lumholtzi/63131184.jpg,o
70,species/mammals/dendrolagus_lumholtzi/63744335.jpeg,o
71,species/mammals/dendrolagus_lumholtzi/64927578.jpg,o
72,species/mammals/dendrolagus_lumholtzi/65136691.jpg,o
73,species/mammals/dendrolagus_lumholtzi/65209236.jpg,q
74,species/mammals/dendrolagus_lumholtzi/65574322.jpg,o
75,species/mammals/dendrolagus_lumholtzi/65621606.jpeg,o
76,species/mammals/dendrolagus_lumholtzi/65624776.jpeg,o
77,species/mammals/dendrolagus_lumholtzi/67249397.jpeg,o
78,species/mammals/dendrolagus_lumholtzi/67420247.jpg,o
79,species/mammals/dendrolagus_lumholtzi/68584818.jpg,o
80,species/mammals/dendrolagus_lumholtzi/68600695.jpeg,o
81,species/mammals/dendrolagus_lumholtzi/68913691.jpg,o
82,species/mammals/dendrolagus_lumholtzi/69045070.jpg,o
