index,image_location,decision
0,species/plants/epithelantha_micromeris/10020633.jpg,o
1,species/plants/epithelantha_micromeris/10025375.jpg,o
2,species/plants/epithelantha_micromeris/10244699.jpg,o
3,species/plants/epithelantha_micromeris/1031955.JPG,o
4,species/plants/epithelantha_micromeris/10756018.jpeg,o
5,species/plants/epithelantha_micromeris/10820231.jpg,o
6,species/plants/epithelantha_micromeris/10820241.jpg,o
7,species/plants/epithelantha_micromeris/10867826.jpg,o
8,species/plants/epithelantha_micromeris/11088252.jpeg,o
9,species/plants/epithelantha_micromeris/11323104.jpeg,o
10,species/plants/epithelantha_micromeris/11390260.jpg,o
11,species/plants/epithelantha_micromeris/1166336.jpg,o
12,species/plants/epithelantha_micromeris/1184431.jpg,o
13,species/plants/epithelantha_micromeris/1186148.jpg,o
14,species/plants/epithelantha_micromeris/12370083.jpeg,o
15,species/plants/epithelantha_micromeris/12402349.jpeg,o
16,species/plants/epithelantha_micromeris/12510250.jpg,o
17,species/plants/epithelantha_micromeris/1254878.JPG,o
18,species/plants/epithelantha_micromeris/1254906.JPG,o
19,species/plants/epithelantha_micromeris/12585836.jpg,o
20,species/plants/epithelantha_micromeris/1265345.jpg,u
21,species/plants/epithelantha_micromeris/12966225.jpeg,o
22,species/plants/epithelantha_micromeris/13210570.jpg,o
23,species/plants/epithelantha_micromeris/13288431.jpg,o
24,species/plants/epithelantha_micromeris/14445360.jpg,o
25,species/plants/epithelantha_micromeris/14657451.jpeg,o
26,species/plants/epithelantha_micromeris/14674680.jpg,o
27,species/plants/epithelantha_micromeris/15342399.jpeg,u
28,species/plants/epithelantha_micromeris/16304703.jpg,o
29,species/plants/epithelantha_micromeris/1650997.jpg,o
30,species/plants/epithelantha_micromeris/1651011.jpg,o
31,species/plants/epithelantha_micromeris/1651172.jpg,o
32,species/plants/epithelantha_micromeris/1651181.jpg,o
33,species/plants/epithelantha_micromeris/1651208.jpg,o
34,species/plants/epithelantha_micromeris/1665577.JPG,o
35,species/plants/epithelantha_micromeris/1691532.jpg,o
36,species/plants/epithelantha_micromeris/1692475.JPG,o
37,species/plants/epithelantha_micromeris/1692643.JPG,o
38,species/plants/epithelantha_micromeris/1706768.JPG,o
39,species/plants/epithelantha_micromeris/1714119.JPG,o
40,species/plants/epithelantha_micromeris/17251980.jpeg,o
41,species/plants/epithelantha_micromeris/1730697.JPG,o
42,species/plants/epithelantha_micromeris/17486753.jpeg,o
43,species/plants/epithelantha_micromeris/1753046.JPG,o
44,species/plants/epithelantha_micromeris/17759677.jpg,o
45,species/plants/epithelantha_micromeris/17941366.jpeg,o
46,species/plants/epithelantha_micromeris/18225549.jpeg,o
47,species/plants/epithelantha_micromeris/18456990.jpg,o
48,species/plants/epithelantha_micromeris/18712068.jpeg,o
49,species/plants/epithelantha_micromeris/18712550.jpeg,o
50,species/plants/epithelantha_micromeris/1877132.JPG,o
51,species/plants/epithelantha_micromeris/19007580.jpeg,o
52,species/plants/epithelantha_micromeris/19292500.jpg,o
53,species/plants/epithelantha_micromeris/19733045.jpeg,o
54,species/plants/epithelantha_micromeris/20069122.jpg,o
55,species/plants/epithelantha_micromeris/20793692.jpeg,o
56,species/plants/epithelantha_micromeris/21028989.jpg,o
57,species/plants/epithelantha_micromeris/21044517.jpg,o
58,species/plants/epithelantha_micromeris/21104810.jpg,o
59,species/plants/epithelantha_micromeris/2110900.jpg,o
60,species/plants/epithelantha_micromeris/21191277.jpg,o
61,species/plants/epithelantha_micromeris/21437326.jpg,o
62,species/plants/epithelantha_micromeris/23415566.jpeg,o
63,species/plants/epithelantha_micromeris/23458804.jpeg,o
64,species/plants/epithelantha_micromeris/24364552.jpeg,o
65,species/plants/epithelantha_micromeris/24378534.jpg,o
66,species/plants/epithelantha_micromeris/24547295.jpg,o
67,species/plants/epithelantha_micromeris/24692889.jpg,o
68,species/plants/epithelantha_micromeris/24715787.jpeg,o
69,species/plants/epithelantha_micromeris/2473581.jpg,o
70,species/plants/epithelantha_micromeris/24748660.jpeg,o
71,species/plants/epithelantha_micromeris/24867800.jpg,o
72,species/plants/epithelantha_micromeris/24879792.jpg,o
73,species/plants/epithelantha_micromeris/24880361.jpg,o
74,species/plants/epithelantha_micromeris/24901002.jpg,o
75,species/plants/epithelantha_micromeris/24933745.jpg,o
76,species/plants/epithelantha_micromeris/2498307.JPG,o
77,species/plants/epithelantha_micromeris/25230993.jpeg,o
78,species/plants/epithelantha_micromeris/25447693.jpg,o
79,species/plants/epithelantha_micromeris/25451217.jpg,o
80,species/plants/epithelantha_micromeris/25451445.jpg,o
81,species/plants/epithelantha_micromeris/25489470.jpg,o
82,species/plants/epithelantha_micromeris/25621882.jpeg,o
83,species/plants/epithelantha_micromeris/25767321.jpg,o
84,species/plants/epithelantha_micromeris/26013092.jpg,i
85,species/plants/epithelantha_micromeris/26499509.jpeg,o
86,species/plants/epithelantha_micromeris/26499551.jpeg,u
87,species/plants/epithelantha_micromeris/26671659.jpeg,o
88,species/plants/epithelantha_micromeris/27035954.jpg,o
89,species/plants/epithelantha_micromeris/27199955.jpg,o
90,species/plants/epithelantha_micromeris/28442180.jpeg,o
91,species/plants/epithelantha_micromeris/28442224.jpeg,o
92,species/plants/epithelantha_micromeris/2888166.JPG,i
93,species/plants/epithelantha_micromeris/29451287.jpg,o
94,species/plants/epithelantha_micromeris/30950710.jpeg,o
95,species/plants/epithelantha_micromeris/30950722.jpeg,o
96,species/plants/epithelantha_micromeris/3128604.jpg,o
97,species/plants/epithelantha_micromeris/3129800.jpg,o
98,species/plants/epithelantha_micromeris/31948510.jpeg,o
99,species/plants/epithelantha_micromeris/32012452.jpeg,o
100,species/plants/epithelantha_micromeris/32034962.jpeg,o
101,species/plants/epithelantha_micromeris/32037072.jpg,o
102,species/plants/epithelantha_micromeris/32037509.jpg,o
103,species/plants/epithelantha_micromeris/32217249.jpg,o
104,species/plants/epithelantha_micromeris/32866140.jpeg,o
