index,image_location,decision
0,species/plants/erysimum_franciscanum/10000824.jpg,o
1,species/plants/erysimum_franciscanum/10027161.jpg,o
2,species/plants/erysimum_franciscanum/10072680.jpg,o
3,species/plants/erysimum_franciscanum/10075052.jpeg,o
4,species/plants/erysimum_franciscanum/10086385.jpg,o
5,species/plants/erysimum_franciscanum/10087144.jpg,o
6,species/plants/erysimum_franciscanum/10087156.jpg,o
7,species/plants/erysimum_franciscanum/10090580.jpg,o
8,species/plants/erysimum_franciscanum/10090833.jpg,o
9,species/plants/erysimum_franciscanum/10091104.jpg,o
10,species/plants/erysimum_franciscanum/10091178.jpg,o
11,species/plants/erysimum_franciscanum/10091369.jpg,o
12,species/plants/erysimum_franciscanum/10091966.jpg,o
13,species/plants/erysimum_franciscanum/10094131.jpg,o
14,species/plants/erysimum_franciscanum/10102191.jpeg,o
15,species/plants/erysimum_franciscanum/10116421.jpeg,o
16,species/plants/erysimum_franciscanum/10124003.jpeg,i
17,species/plants/erysimum_franciscanum/10135429.jpeg,u
18,species/plants/erysimum_franciscanum/10152404.jpg,o
19,species/plants/erysimum_franciscanum/10194887.jpg,o
20,species/plants/erysimum_franciscanum/10195268.jpeg,o
21,species/plants/erysimum_franciscanum/10200377.jpg,o
22,species/plants/erysimum_franciscanum/10317123.jpg,o
23,species/plants/erysimum_franciscanum/10334085.jpg,oo
24,species/plants/erysimum_franciscanum/10414352.jpg,o
25,species/plants/erysimum_franciscanum/10422886.jpg,o
26,species/plants/erysimum_franciscanum/10440089.jpg,o
27,species/plants/erysimum_franciscanum/10451191.jpg,o
28,species/plants/erysimum_franciscanum/10510224.jpg,o
29,species/plants/erysimum_franciscanum/10526.jpg,o
30,species/plants/erysimum_franciscanum/10559664.jpeg,o
31,species/plants/erysimum_franciscanum/10563230.jpg,u
32,species/plants/erysimum_franciscanum/10586607.jpeg,o
33,species/plants/erysimum_franciscanum/10672084.jpeg,o
34,species/plants/erysimum_franciscanum/10705079.jpg,o
35,species/plants/erysimum_franciscanum/10714658.jpg,o
