index,image_location,decision
0,datasets/OOD_Places_MOS/f_field_road/00000092.jpg,o
1,datasets/OOD_Places_MOS/f_field_road/00000130.jpg,i
2,datasets/OOD_Places_MOS/f_field_road/00000138.jpg,o
3,datasets/OOD_Places_MOS/f_field_road/00000146.jpg,o
4,datasets/OOD_Places_MOS/f_field_road/00000166.jpg,i
5,datasets/OOD_Places_MOS/f_field_road/00000191.jpg,o
6,datasets/OOD_Places_MOS/f_field_road/00000210.jpg,i
7,datasets/OOD_Places_MOS/f_field_road/00000233.jpg,u
8,datasets/OOD_Places_MOS/f_field_road/00000268.jpg,i
9,datasets/OOD_Places_MOS/f_field_road/00000292.jpg,o
10,datasets/OOD_Places_MOS/f_field_road/00000295.jpg,i
11,datasets/OOD_Places_MOS/f_field_road/00000297.jpg,i
12,datasets/OOD_Places_MOS/f_field_road/00000348.jpg,u
13,datasets/OOD_Places_MOS/f_field_road/00000354.jpg,u
14,datasets/OOD_Places_MOS/f_field_road/00000369.jpg,i
15,datasets/OOD_Places_MOS/f_field_road/00000372.jpg,i
16,datasets/OOD_Places_MOS/f_field_road/00000405.jpg,o
17,datasets/OOD_Places_MOS/f_field_road/00000459.jpg,o
18,datasets/OOD_Places_MOS/f_field_road/00000493.jpg,i
19,datasets/OOD_Places_MOS/f_field_road/00000527.jpg,i
20,datasets/OOD_Places_MOS/f_field_road/00000563.jpg,i
21,datasets/OOD_Places_MOS/f_field_road/00000578.jpg,o
22,datasets/OOD_Places_MOS/f_field_road/00000652.jpg,i
23,datasets/OOD_Places_MOS/f_field_road/00000677.jpg,o
24,datasets/OOD_Places_MOS/f_field_road/00000690.jpg,o
25,datasets/OOD_Places_MOS/f_field_road/00000706.jpg,o
26,datasets/OOD_Places_MOS/f_field_road/00000711.jpg,o
27,datasets/OOD_Places_MOS/f_field_road/00000712.jpg,o
28,datasets/OOD_Places_MOS/f_field_road/00000719.jpg,o
29,datasets/OOD_Places_MOS/f_field_road/00000757.jpg,u
30,datasets/OOD_Places_MOS/f_field_road/00000788.jpg,o
31,datasets/OOD_Places_MOS/f_field_road/00000842.jpg,o
32,datasets/OOD_Places_MOS/f_field_road/00000853.jpg,o
33,datasets/OOD_Places_MOS/f_field_road/00000856.jpg,o
34,datasets/OOD_Places_MOS/f_field_road/00000862.jpg,i
35,datasets/OOD_Places_MOS/f_field_road/00000968.jpg,i
36,datasets/OOD_Places_MOS/f_field_road/00000994.jpg,o
37,datasets/OOD_Places_MOS/f_field_road/00001042.jpg,o
38,datasets/OOD_Places_MOS/f_field_road/00001111.jpg,o
39,datasets/OOD_Places_MOS/f_field_road/00001134.jpg,i
40,datasets/OOD_Places_MOS/f_field_road/00001171.jpg,i
41,datasets/OOD_Places_MOS/f_field_road/00001188.jpg,o
42,datasets/OOD_Places_MOS/f_field_road/00001263.jpg,u
43,datasets/OOD_Places_MOS/f_field_road/00001268.jpg,o
44,datasets/OOD_Places_MOS/f_field_road/00001275.jpg,o
45,datasets/OOD_Places_MOS/f_field_road/00001289.jpg,o
46,datasets/OOD_Places_MOS/f_field_road/00001295.jpg,o
47,datasets/OOD_Places_MOS/f_field_road/00001307.jpg,o
48,datasets/OOD_Places_MOS/f_field_road/00001325.jpg,o
49,datasets/OOD_Places_MOS/f_field_road/00001334.jpg,i
50,datasets/OOD_Places_MOS/f_field_road/00001337.jpg,o
51,datasets/OOD_Places_MOS/f_field_road/00001345.jpg,i
52,datasets/OOD_Places_MOS/f_field_road/00001411.jpg,o
53,datasets/OOD_Places_MOS/f_field_road/00001416.jpg,o
54,datasets/OOD_Places_MOS/f_field_road/00001431.jpg,o
55,datasets/OOD_Places_MOS/f_field_road/00001472.jpg,o
56,datasets/OOD_Places_MOS/f_field_road/00001493.jpg,o
57,datasets/OOD_Places_MOS/f_field_road/00001533.jpg,o
58,datasets/OOD_Places_MOS/f_field_road/00001556.jpg,o
59,datasets/OOD_Places_MOS/f_field_road/00001565.jpg,i
60,datasets/OOD_Places_MOS/f_field_road/00001572.jpg,o
61,datasets/OOD_Places_MOS/f_field_road/00001580.jpg,o
62,datasets/OOD_Places_MOS/f_field_road/00001581.jpg,o
63,datasets/OOD_Places_MOS/f_field_road/00001599.jpg,o
64,datasets/OOD_Places_MOS/f_field_road/00001601.jpg,i
65,datasets/OOD_Places_MOS/f_field_road/00001653.jpg,i
66,datasets/OOD_Places_MOS/f_field_road/00001774.jpg,i
67,datasets/OOD_Places_MOS/f_field_road/00001778.jpg,i
68,datasets/OOD_Places_MOS/f_field_road/00001781.jpg,o
69,datasets/OOD_Places_MOS/f_field_road/00001813.jpg,o
70,datasets/OOD_Places_MOS/f_field_road/00001876.jpg,i
71,datasets/OOD_Places_MOS/f_field_road/00001905.jpg,u
72,datasets/OOD_Places_MOS/f_field_road/00001924.jpg,i
73,datasets/OOD_Places_MOS/f_field_road/00001932.jpg,i
74,datasets/OOD_Places_MOS/f_field_road/00002056.jpg,u
75,datasets/OOD_Places_MOS/f_field_road/00002087.jpg,o
76,datasets/OOD_Places_MOS/f_field_road/00002144.jpg,i
77,datasets/OOD_Places_MOS/f_field_road/00002151.jpg,o
78,datasets/OOD_Places_MOS/f_field_road/00002167.jpg,o
79,datasets/OOD_Places_MOS/f_field_road/00002187.jpg,o
80,datasets/OOD_Places_MOS/f_field_road/00002209.jpg,i
81,datasets/OOD_Places_MOS/f_field_road/00002212.jpg,o
82,datasets/OOD_Places_MOS/f_field_road/00002268.jpg,i
83,datasets/OOD_Places_MOS/f_field_road/00002293.jpg,o
84,datasets/OOD_Places_MOS/f_field_road/00002306.jpg,o
85,datasets/OOD_Places_MOS/f_field_road/00002315.jpg,o
86,datasets/OOD_Places_MOS/f_field_road/00002317.jpg,o
87,datasets/OOD_Places_MOS/f_field_road/00002322.jpg,o
88,datasets/OOD_Places_MOS/f_field_road/00002335.jpg,i
89,datasets/OOD_Places_MOS/f_field_road/00002418.jpg,o
90,datasets/OOD_Places_MOS/f_field_road/00002421.jpg,i
91,datasets/OOD_Places_MOS/f_field_road/00002448.jpg,i
92,datasets/OOD_Places_MOS/f_field_road/00002457.jpg,o
93,datasets/OOD_Places_MOS/f_field_road/00002465.jpg,o
94,datasets/OOD_Places_MOS/f_field_road/00002468.jpg,u
95,datasets/OOD_Places_MOS/f_field_road/00002544.jpg,o
96,datasets/OOD_Places_MOS/f_field_road/00002546.jpg,o
97,datasets/OOD_Places_MOS/f_field_road/00002614.jpg,i
98,datasets/OOD_Places_MOS/f_field_road/00002617.jpg,i
99,datasets/OOD_Places_MOS/f_field_road/00002619.jpg,i
100,datasets/OOD_Places_MOS/f_field_road/00002706.jpg,i
101,datasets/OOD_Places_MOS/f_field_road/00002731.jpg,i
102,datasets/OOD_Places_MOS/f_field_road/00002743.jpg,i
103,datasets/OOD_Places_MOS/f_field_road/00002745.jpg,u
104,datasets/OOD_Places_MOS/f_field_road/00002785.jpg,i
105,datasets/OOD_Places_MOS/f_field_road/00002793.jpg,u
106,datasets/OOD_Places_MOS/f_field_road/00002837.jpg,o
