index,image_location,decision
0,datasets/OOD_Places_MOS/f_forest_path/00000011.jpg,o
1,datasets/OOD_Places_MOS/f_forest_path/00000057.jpg,o
2,datasets/OOD_Places_MOS/f_forest_path/00000123.jpg,o
3,datasets/OOD_Places_MOS/f_forest_path/00000242.jpg,i
4,datasets/OOD_Places_MOS/f_forest_path/00000271.jpg,o
5,datasets/OOD_Places_MOS/f_forest_path/00000296.jpg,o
6,datasets/OOD_Places_MOS/f_forest_path/00000309.jpg,o
7,datasets/OOD_Places_MOS/f_forest_path/00000334.jpg,i
8,datasets/OOD_Places_MOS/f_forest_path/00000339.jpg,i
9,datasets/OOD_Places_MOS/f_forest_path/00000368.jpg,i
10,datasets/OOD_Places_MOS/f_forest_path/00000396.jpg,o
11,datasets/OOD_Places_MOS/f_forest_path/00000413.jpg,u
12,datasets/OOD_Places_MOS/f_forest_path/00000417.jpg,i
13,datasets/OOD_Places_MOS/f_forest_path/00000459.jpg,i
14,datasets/OOD_Places_MOS/f_forest_path/00000483.jpg,o
15,datasets/OOD_Places_MOS/f_forest_path/00000520.jpg,u
16,datasets/OOD_Places_MOS/f_forest_path/00000551.jpg,u
17,datasets/OOD_Places_MOS/f_forest_path/00000583.jpg,o
18,datasets/OOD_Places_MOS/f_forest_path/00000595.jpg,o
19,datasets/OOD_Places_MOS/f_forest_path/00000596.jpg,o
20,datasets/OOD_Places_MOS/f_forest_path/00000677.jpg,i
21,datasets/OOD_Places_MOS/f_forest_path/00000694.jpg,i
22,datasets/OOD_Places_MOS/f_forest_path/00000715.jpg,u
23,datasets/OOD_Places_MOS/f_forest_path/00000716.jpg,i
24,datasets/OOD_Places_MOS/f_forest_path/00000747.jpg,o
25,datasets/OOD_Places_MOS/f_forest_path/00000812.jpg,o
26,datasets/OOD_Places_MOS/f_forest_path/00000834.jpg,o
27,datasets/OOD_Places_MOS/f_forest_path/00000867.jpg,i
28,datasets/OOD_Places_MOS/f_forest_path/00000883.jpg,o
29,datasets/OOD_Places_MOS/f_forest_path/00000901.jpg,o
30,datasets/OOD_Places_MOS/f_forest_path/00000917.jpg,o
31,datasets/OOD_Places_MOS/f_forest_path/00000937.jpg,i
32,datasets/OOD_Places_MOS/f_forest_path/00001000.jpg,o
33,datasets/OOD_Places_MOS/f_forest_path/00001027.jpg,o
34,datasets/OOD_Places_MOS/f_forest_path/00001031.jpg,i
35,datasets/OOD_Places_MOS/f_forest_path/00001037.jpg,i
36,datasets/OOD_Places_MOS/f_forest_path/00001042.jpg,o
37,datasets/OOD_Places_MOS/f_forest_path/00001068.jpg,o
38,datasets/OOD_Places_MOS/f_forest_path/00001105.jpg,o
39,datasets/OOD_Places_MOS/f_forest_path/00001213.jpg,o
40,datasets/OOD_Places_MOS/f_forest_path/00001262.jpg,u
41,datasets/OOD_Places_MOS/f_forest_path/00001284.jpg,u
42,datasets/OOD_Places_MOS/f_forest_path/00001309.jpg,o
43,datasets/OOD_Places_MOS/f_forest_path/00001319.jpg,o
44,datasets/OOD_Places_MOS/f_forest_path/00001337.jpg,i
45,datasets/OOD_Places_MOS/f_forest_path/00001448.jpg,o
46,datasets/OOD_Places_MOS/f_forest_path/00001495.jpg,o
47,datasets/OOD_Places_MOS/f_forest_path/00001504.jpg,o
48,datasets/OOD_Places_MOS/f_forest_path/00001522.jpg,i
49,datasets/OOD_Places_MOS/f_forest_path/00001554.jpg,o
50,datasets/OOD_Places_MOS/f_forest_path/00001561.jpg,u
51,datasets/OOD_Places_MOS/f_forest_path/00001575.jpg,o
52,datasets/OOD_Places_MOS/f_forest_path/00001593.jpg,o
53,datasets/OOD_Places_MOS/f_forest_path/00001606.jpg,u
