index,image_location,decision
0,species/fish/haemulon_sciurus/10072587.jpeg,o
1,species/fish/haemulon_sciurus/10097345.jpg,i
2,species/fish/haemulon_sciurus/10143657.jpg,i
3,species/fish/haemulon_sciurus/102459.JPG,i
4,species/fish/haemulon_sciurus/10271107.jpg,o
5,species/fish/haemulon_sciurus/10323015.jpeg,i
6,species/fish/haemulon_sciurus/103346.JPG,i
7,species/fish/haemulon_sciurus/10501476.jpg,i
8,species/fish/haemulon_sciurus/10551967.jpeg,i
9,species/fish/haemulon_sciurus/10599136.jpeg,i
10,species/fish/haemulon_sciurus/10599167.jpeg,i
11,species/fish/haemulon_sciurus/10656373.jpg,o
12,species/fish/haemulon_sciurus/10682218.jpeg,i
13,species/fish/haemulon_sciurus/10831772.png,i
14,species/fish/haemulon_sciurus/10867629.jpg,o
15,species/fish/haemulon_sciurus/1144627.jpg,o
16,species/fish/haemulon_sciurus/11972052.jpeg,o
17,species/fish/haemulon_sciurus/1207741.JPG,i
18,species/fish/haemulon_sciurus/12680582.jpg,i
19,species/fish/haemulon_sciurus/12709823.jpeg,i
20,species/fish/haemulon_sciurus/12710101.jpeg,i
21,species/fish/haemulon_sciurus/1294.jpg,i
22,species/fish/haemulon_sciurus/12989908.jpeg,i
23,species/fish/haemulon_sciurus/13147604.jpeg,o
24,species/fish/haemulon_sciurus/13167944.jpeg,i
25,species/fish/haemulon_sciurus/13192064.jpeg,i
26,species/fish/haemulon_sciurus/13559119.jpeg,o
27,species/fish/haemulon_sciurus/13676367.jpeg,i
28,species/fish/haemulon_sciurus/13748169.jpg,u
29,species/fish/haemulon_sciurus/13835561.jpeg,i
30,species/fish/haemulon_sciurus/13896127.jpeg,i
31,species/fish/haemulon_sciurus/14087502.jpg,o
32,species/fish/haemulon_sciurus/14372739.jpg,o
33,species/fish/haemulon_sciurus/145143.jpg,i
34,species/fish/haemulon_sciurus/14604204.jpeg,i
35,species/fish/haemulon_sciurus/14622240.png,o
36,species/fish/haemulon_sciurus/14734056.jpeg,i
37,species/fish/haemulon_sciurus/14771922.jpeg,i
38,species/fish/haemulon_sciurus/14906734.jpg,i
39,species/fish/haemulon_sciurus/15265276.jpeg,i
40,species/fish/haemulon_sciurus/1554880.jpeg,i
41,species/fish/haemulon_sciurus/15878994.jpeg,i
42,species/fish/haemulon_sciurus/15878996.jpeg,i
43,species/fish/haemulon_sciurus/15976839.jpg,o
44,species/fish/haemulon_sciurus/1600265.jpg,i
45,species/fish/haemulon_sciurus/16086014.jpeg,i
46,species/fish/haemulon_sciurus/16186685.jpg,i
47,species/fish/haemulon_sciurus/16289628.png,i
48,species/fish/haemulon_sciurus/16341104.jpg,o
49,species/fish/haemulon_sciurus/16809438.jpg,i
50,species/fish/haemulon_sciurus/16809475.jpg,i
51,species/fish/haemulon_sciurus/16991501.jpeg,o
52,species/fish/haemulon_sciurus/17053454.jpeg,o
53,species/fish/haemulon_sciurus/17053754.jpeg,o
