index,image_location,decision
0,species/mollusks/hippopus_hippopus/17586984.jpeg,o
1,species/mollusks/hippopus_hippopus/19025345.jpg,o
2,species/mollusks/hippopus_hippopus/21747549.jpeg,o
3,species/mollusks/hippopus_hippopus/25250163.jpg,o
4,species/mollusks/hippopus_hippopus/27547161.jpg,u
5,species/mollusks/hippopus_hippopus/27547250.jpg,u
6,species/mollusks/hippopus_hippopus/31028820.jpeg,o
7,species/mollusks/hippopus_hippopus/31157797.jpeg,o
8,species/mollusks/hippopus_hippopus/31333870.jpg,o
9,species/mollusks/hippopus_hippopus/3160034.JPG,o
10,species/mollusks/hippopus_hippopus/3160063.JPG,o
11,species/mollusks/hippopus_hippopus/3217661.JPG,o
12,species/mollusks/hippopus_hippopus/3295890.JPG,o
13,species/mollusks/hippopus_hippopus/33517035.jpg,o
14,species/mollusks/hippopus_hippopus/34618634.jpeg,i
15,species/mollusks/hippopus_hippopus/34889251.jpeg,o
16,species/mollusks/hippopus_hippopus/34893828.jpeg,o
17,species/mollusks/hippopus_hippopus/39914891.jpg,o
18,species/mollusks/hippopus_hippopus/40283504.jpg,o
19,species/mollusks/hippopus_hippopus/4093282.jpg,u
20,species/mollusks/hippopus_hippopus/42140106.jpg,o
21,species/mollusks/hippopus_hippopus/5136210.jpeg,o
22,species/mollusks/hippopus_hippopus/51668241.jpg,o
23,species/mollusks/hippopus_hippopus/54920822.jpeg,o
24,species/mollusks/hippopus_hippopus/561570.jpg,u
25,species/mollusks/hippopus_hippopus/61065828.jpeg,u
26,species/mollusks/hippopus_hippopus/61204354.jpg,i
27,species/mollusks/hippopus_hippopus/61661938.jpg,o
28,species/mollusks/hippopus_hippopus/63670816.jpeg,o
29,species/mollusks/hippopus_hippopus/63670822.jpeg,o
30,species/mollusks/hippopus_hippopus/6399585.jpg,o
31,species/mollusks/hippopus_hippopus/64732178.jpeg,o
32,species/mollusks/hippopus_hippopus/67128422.jpg,o
33,species/mollusks/hippopus_hippopus/67502517.jpg,o
34,species/mollusks/hippopus_hippopus/67603274.jpg,i
35,species/mollusks/hippopus_hippopus/67762788.jpg,i
36,species/mollusks/hippopus_hippopus/67770658.jpeg,i
37,species/mollusks/hippopus_hippopus/68409977.jpeg,o
38,species/mollusks/hippopus_hippopus/70609075.jpeg,o
39,species/mollusks/hippopus_hippopus/72463335.jpg,o
40,species/mollusks/hippopus_hippopus/7600273.jpeg,o
41,species/mollusks/hippopus_hippopus/83446296.jpeg,q
42,species/mollusks/hippopus_hippopus/92650243.jpeg,q
43,species/mollusks/hippopus_hippopus/95930704.jpeg,i
44,species/mollusks/hippopus_hippopus/96860399.jpeg,i
