index,image_location,decision
0,species/mammals/lasionycteris_noctivagans/10013300.jpg,q
1,species/mammals/lasionycteris_noctivagans/10155798.jpg,q
2,species/mammals/lasionycteris_noctivagans/10418492.jpeg,o
3,species/mammals/lasionycteris_noctivagans/10418765.jpeg,o
4,species/mammals/lasionycteris_noctivagans/10584960.jpg,u
5,species/mammals/lasionycteris_noctivagans/10603075.jpg,o
6,species/mammals/lasionycteris_noctivagans/10796267.jpg,o
7,species/mammals/lasionycteris_noctivagans/10995618.jpg,i
8,species/mammals/lasionycteris_noctivagans/11506657.jpg,o
9,species/mammals/lasionycteris_noctivagans/11695143.jpeg,i
10,species/mammals/lasionycteris_noctivagans/11992267.jpeg,o
11,species/mammals/lasionycteris_noctivagans/12002840.png,q
12,species/mammals/lasionycteris_noctivagans/122214.jpg,i
13,species/mammals/lasionycteris_noctivagans/12398490.jpg,o
14,species/mammals/lasionycteris_noctivagans/12498877.jpeg,i
15,species/mammals/lasionycteris_noctivagans/12701238.jpeg,o
16,species/mammals/lasionycteris_noctivagans/13134964.jpg,o
17,species/mammals/lasionycteris_noctivagans/13690736.jpg,o
18,species/mammals/lasionycteris_noctivagans/13757603.jpg,o
19,species/mammals/lasionycteris_noctivagans/13999017.jpeg,o
20,species/mammals/lasionycteris_noctivagans/1417962.JPG,o
21,species/mammals/lasionycteris_noctivagans/14183283.jpg,o
22,species/mammals/lasionycteris_noctivagans/14335695.jpg,q
23,species/mammals/lasionycteris_noctivagans/14484545.jpeg,o
24,species/mammals/lasionycteris_noctivagans/14613579.jpeg,o
25,species/mammals/lasionycteris_noctivagans/14701478.jpeg,o
26,species/mammals/lasionycteris_noctivagans/15503581.jpg,o
27,species/mammals/lasionycteris_noctivagans/15692418.jpg,o
28,species/mammals/lasionycteris_noctivagans/15926147.jpeg,o
29,species/mammals/lasionycteris_noctivagans/16058693.jpeg,o
30,species/mammals/lasionycteris_noctivagans/16283364.jpg,o
31,species/mammals/lasionycteris_noctivagans/16669301.jpeg,o
32,species/mammals/lasionycteris_noctivagans/16912102.jpg,o
33,species/mammals/lasionycteris_noctivagans/16952759.jpeg,o
34,species/mammals/lasionycteris_noctivagans/16988349.jpg,o
35,species/mammals/lasionycteris_noctivagans/17029769.jpeg,o
36,species/mammals/lasionycteris_noctivagans/17180197.jpg,o
37,species/mammals/lasionycteris_noctivagans/17360312.jpg,o
38,species/mammals/lasionycteris_noctivagans/17641126.jpg,o
39,species/mammals/lasionycteris_noctivagans/17756767.jpg,o
40,species/mammals/lasionycteris_noctivagans/17768805.jpg,o
41,species/mammals/lasionycteris_noctivagans/1791618.jpg,q
42,species/mammals/lasionycteris_noctivagans/18097884.jpg,o
43,species/mammals/lasionycteris_noctivagans/18109676.jpg,o
44,species/mammals/lasionycteris_noctivagans/18394864.jpeg,o
45,species/mammals/lasionycteris_noctivagans/18394926.jpeg,d
46,species/mammals/lasionycteris_noctivagans/18715425.jpeg,o
47,species/mammals/lasionycteris_noctivagans/1875765.jpg,i
48,species/mammals/lasionycteris_noctivagans/19232987.jpg,o
49,species/mammals/lasionycteris_noctivagans/19397178.jpg,o
50,species/mammals/lasionycteris_noctivagans/19571422.jpg,o
51,species/mammals/lasionycteris_noctivagans/19648169.jpg,o
52,species/mammals/lasionycteris_noctivagans/19665835.jpg,o
53,species/mammals/lasionycteris_noctivagans/19686572.jpg,o
54,species/mammals/lasionycteris_noctivagans/19696154.jpg,o
55,species/mammals/lasionycteris_noctivagans/19780907.jpg,q
56,species/mammals/lasionycteris_noctivagans/19796154.jpeg,o
57,species/mammals/lasionycteris_noctivagans/20186716.jpeg,o
58,species/mammals/lasionycteris_noctivagans/20370673.jpeg,o
59,species/mammals/lasionycteris_noctivagans/20387399.jpeg,o
60,species/mammals/lasionycteris_noctivagans/20391113.jpeg,o
61,species/mammals/lasionycteris_noctivagans/20811602.jpeg,o
62,species/mammals/lasionycteris_noctivagans/20814297.jpeg,o
63,species/mammals/lasionycteris_noctivagans/20849196.jpg,o
64,species/mammals/lasionycteris_noctivagans/20951076.jpg,o
65,species/mammals/lasionycteris_noctivagans/20953043.jpg,o
66,species/mammals/lasionycteris_noctivagans/20971605.jpeg,o
67,species/mammals/lasionycteris_noctivagans/20981315.jpeg,o
68,species/mammals/lasionycteris_noctivagans/20982488.jpeg,o
69,species/mammals/lasionycteris_noctivagans/21003142.jpeg,o
70,species/mammals/lasionycteris_noctivagans/21006378.jpeg,o
71,species/mammals/lasionycteris_noctivagans/21717137.jpeg,o
72,species/mammals/lasionycteris_noctivagans/21791160.jpg,o
73,species/mammals/lasionycteris_noctivagans/21829996.jpeg,o
74,species/mammals/lasionycteris_noctivagans/21855147.jpg,o
75,species/mammals/lasionycteris_noctivagans/21946615.jpeg,o
76,species/mammals/lasionycteris_noctivagans/22103634.jpeg,o
77,species/mammals/lasionycteris_noctivagans/22210604.jpg,o
78,species/mammals/lasionycteris_noctivagans/22566672.jpg,o
79,species/mammals/lasionycteris_noctivagans/22673596.jpg,o
80,species/mammals/lasionycteris_noctivagans/22935659.jpg,o
81,species/mammals/lasionycteris_noctivagans/23010982.jpeg,o
82,species/mammals/lasionycteris_noctivagans/2366431.jpg,o
83,species/mammals/lasionycteris_noctivagans/240001.jpg,q
84,species/mammals/lasionycteris_noctivagans/24211971.jpg,o
85,species/mammals/lasionycteris_noctivagans/24343160.jpg,o
86,species/mammals/lasionycteris_noctivagans/2441144.jpg,o
87,species/mammals/lasionycteris_noctivagans/24501358.jpg,o
88,species/mammals/lasionycteris_noctivagans/24607574.jpg,q
89,species/mammals/lasionycteris_noctivagans/24928131.jpg,o
90,species/mammals/lasionycteris_noctivagans/25186893.jpg,o
91,species/mammals/lasionycteris_noctivagans/252070.jpg,o
92,species/mammals/lasionycteris_noctivagans/25351331.jpg,o
93,species/mammals/lasionycteris_noctivagans/25993631.png,q
94,species/mammals/lasionycteris_noctivagans/26012032.jpg,o
95,species/mammals/lasionycteris_noctivagans/26033083.jpg,o
96,species/mammals/lasionycteris_noctivagans/26837776.jpg,o
97,species/mammals/lasionycteris_noctivagans/27135450.jpeg,o
98,species/mammals/lasionycteris_noctivagans/27166257.jpg,o
99,species/mammals/lasionycteris_noctivagans/27305305.jpg,o
100,species/mammals/lasionycteris_noctivagans/27539314.jpg,o
101,species/mammals/lasionycteris_noctivagans/28289583.jpg,o
102,species/mammals/lasionycteris_noctivagans/28443172.jpg,o
103,species/mammals/lasionycteris_noctivagans/2847176.jpg,q
104,species/mammals/lasionycteris_noctivagans/2889973.jpg,q
105,species/mammals/lasionycteris_noctivagans/2898274.JPG,o
106,species/mammals/lasionycteris_noctivagans/29490108.jpg,q
107,species/mammals/lasionycteris_noctivagans/29800486.png,q
108,species/mammals/lasionycteris_noctivagans/29865329.png,q
109,species/mammals/lasionycteris_noctivagans/30013868.jpg,o
110,species/mammals/lasionycteris_noctivagans/3036204.jpg,o
111,species/mammals/lasionycteris_noctivagans/30422580.jpg,q
112,species/mammals/lasionycteris_noctivagans/30486036.png,q
113,species/mammals/lasionycteris_noctivagans/30666207.jpg,o
114,species/mammals/lasionycteris_noctivagans/30849620.jpg,o
115,species/mammals/lasionycteris_noctivagans/31046200.jpeg,o
116,species/mammals/lasionycteris_noctivagans/31093283.jpeg,o
117,species/mammals/lasionycteris_noctivagans/31101533.jpg,o
118,species/mammals/lasionycteris_noctivagans/31214201.jpeg,o
119,species/mammals/lasionycteris_noctivagans/31230736.jpg,o
120,species/mammals/lasionycteris_noctivagans/31262861.png,q
121,species/mammals/lasionycteris_noctivagans/31297670.png,q
122,species/mammals/lasionycteris_noctivagans/31413256.png,o
123,species/mammals/lasionycteris_noctivagans/31638931.jpg,o
