index,image_location,decision
0,species/plants/lathyrus_odoratus/1001576.jpg,o
1,species/plants/lathyrus_odoratus/10140788.jpg,u
2,species/plants/lathyrus_odoratus/10399789.jpg,o
3,species/plants/lathyrus_odoratus/10821878.jpg,u
4,species/plants/lathyrus_odoratus/11460211.jpg,o
5,species/plants/lathyrus_odoratus/11539069.jpg,u
6,species/plants/lathyrus_odoratus/1154949.JPG,o
7,species/plants/lathyrus_odoratus/1154950.JPG,
8,species/plants/lathyrus_odoratus/12145281.jpg,u
9,species/plants/lathyrus_odoratus/12191481.jpg,o
10,species/plants/lathyrus_odoratus/12318920.jpg,o
11,species/plants/lathyrus_odoratus/12319555.jpg,o
12,species/plants/lathyrus_odoratus/12320766.jpg,o
13,species/plants/lathyrus_odoratus/12584829.jpeg,u
14,species/plants/lathyrus_odoratus/12692164.jpg,o
15,species/plants/lathyrus_odoratus/12723708.jpeg,o
16,species/plants/lathyrus_odoratus/12723719.jpeg,o
17,species/plants/lathyrus_odoratus/12904267.jpg,o
18,species/plants/lathyrus_odoratus/13224364.jpg,oo
19,species/plants/lathyrus_odoratus/13354656.jpg,o
20,species/plants/lathyrus_odoratus/13439205.jpg,o
21,species/plants/lathyrus_odoratus/13444626.jpg,u
22,species/plants/lathyrus_odoratus/14043468.jpg,o
23,species/plants/lathyrus_odoratus/14080986.jpg,o
24,species/plants/lathyrus_odoratus/14370106.jpg,o
25,species/plants/lathyrus_odoratus/14743381.jpg,u
26,species/plants/lathyrus_odoratus/14892489.jpg,o
27,species/plants/lathyrus_odoratus/15168873.jpg,u
28,species/plants/lathyrus_odoratus/1535205.jpg,o
29,species/plants/lathyrus_odoratus/16418430.jpg,o
30,species/plants/lathyrus_odoratus/16722576.jpg,u
31,species/plants/lathyrus_odoratus/16737859.jpeg,o
32,species/plants/lathyrus_odoratus/18279065.jpeg,o
33,species/plants/lathyrus_odoratus/18807761.jpeg,u
34,species/plants/lathyrus_odoratus/19147177.jpeg,o
35,species/plants/lathyrus_odoratus/19357739.jpeg,o
36,species/plants/lathyrus_odoratus/19528356.jpeg,o
37,species/plants/lathyrus_odoratus/20001799.jpeg,o
38,species/plants/lathyrus_odoratus/20514116.jpg,u
39,species/plants/lathyrus_odoratus/21220686.jpeg,o
40,species/plants/lathyrus_odoratus/21465865.jpeg,o
41,species/plants/lathyrus_odoratus/21508384.jpeg,o
42,species/plants/lathyrus_odoratus/21728768.jpeg,o
43,species/plants/lathyrus_odoratus/21975944.jpeg,o
44,species/plants/lathyrus_odoratus/22493570.jpg,o
45,species/plants/lathyrus_odoratus/22707720.jpg,u
46,species/plants/lathyrus_odoratus/22715779.jpeg,o
47,species/plants/lathyrus_odoratus/22738726.jpeg,o
48,species/plants/lathyrus_odoratus/23020294.jpeg,u
49,species/plants/lathyrus_odoratus/23220197.jpg,o
50,species/plants/lathyrus_odoratus/23220237.jpg,o
51,species/plants/lathyrus_odoratus/23379970.jpg,o
52,species/plants/lathyrus_odoratus/23381003.jpg,i
53,species/plants/lathyrus_odoratus/23722571.jpeg,o
54,species/plants/lathyrus_odoratus/23761313.jpg,o
55,species/plants/lathyrus_odoratus/23895689.jpeg,o
56,species/plants/lathyrus_odoratus/23896136.jpeg,o
57,species/plants/lathyrus_odoratus/23996603.jpeg,u
58,species/plants/lathyrus_odoratus/24039158.jpg,u
59,species/plants/lathyrus_odoratus/24321.jpg,o
60,species/plants/lathyrus_odoratus/24761680.jpg,o
61,species/plants/lathyrus_odoratus/24892055.jpg,o
62,species/plants/lathyrus_odoratus/25071459.jpg,u
63,species/plants/lathyrus_odoratus/2513412.JPG,i
64,species/plants/lathyrus_odoratus/25531529.jpg,o
65,species/plants/lathyrus_odoratus/25569526.jpg,o
66,species/plants/lathyrus_odoratus/26185547.jpg,o
67,species/plants/lathyrus_odoratus/26324585.jpeg,o
68,species/plants/lathyrus_odoratus/26362700.jpg,o
69,species/plants/lathyrus_odoratus/26643502.jpg,o
70,species/plants/lathyrus_odoratus/27016968.jpg,i
71,species/plants/lathyrus_odoratus/27326850.jpg,i
72,species/plants/lathyrus_odoratus/27523603.jpeg,u
73,species/plants/lathyrus_odoratus/27738569.jpg,i
74,species/plants/lathyrus_odoratus/27768149.jpg,o
75,species/plants/lathyrus_odoratus/27948946.jpeg,o
76,species/plants/lathyrus_odoratus/28071320.jpeg,o
77,species/plants/lathyrus_odoratus/28331390.jpeg,o
78,species/plants/lathyrus_odoratus/28373506.jpeg,i
79,species/plants/lathyrus_odoratus/28464196.jpg,o
80,species/plants/lathyrus_odoratus/28784399.jpg,u
81,species/plants/lathyrus_odoratus/28913026.jpg,i
82,species/plants/lathyrus_odoratus/28996037.jpeg,u
83,species/plants/lathyrus_odoratus/29781792.jpg,o
84,species/plants/lathyrus_odoratus/30397835.jpg,o
85,species/plants/lathyrus_odoratus/30608062.jpg,i
86,species/plants/lathyrus_odoratus/30867693.jpeg,u
87,species/plants/lathyrus_odoratus/30867695.jpeg,o
88,species/plants/lathyrus_odoratus/30917298.jpeg,u
89,species/plants/lathyrus_odoratus/30945532.jpg,
90,species/plants/lathyrus_odoratus/31210442.jpg,u
