index,image_location,decision
0,species/fish/lepomis_auritus/10033361.jpeg,o
1,species/fish/lepomis_auritus/10110255.jpeg,o
2,species/fish/lepomis_auritus/10110985.jpeg,o
3,species/fish/lepomis_auritus/10196249.jpeg,o
4,species/fish/lepomis_auritus/10312959.jpeg,o
5,species/fish/lepomis_auritus/10327992.jpg,o
6,species/fish/lepomis_auritus/10343804.jpg,o
7,species/fish/lepomis_auritus/10420885.jpeg,i
8,species/fish/lepomis_auritus/10420958.jpeg,o
9,species/fish/lepomis_auritus/10420964.jpeg,o
10,species/fish/lepomis_auritus/10420979.jpeg,o
11,species/fish/lepomis_auritus/10420986.jpeg,o
12,species/fish/lepomis_auritus/10421011.jpeg,o
13,species/fish/lepomis_auritus/10421024.jpeg,o
14,species/fish/lepomis_auritus/10421073.jpeg,o
15,species/fish/lepomis_auritus/10421097.jpeg,o
16,species/fish/lepomis_auritus/10421315.jpeg,o
17,species/fish/lepomis_auritus/10421355.jpeg,o
18,species/fish/lepomis_auritus/10421367.jpeg,o
19,species/fish/lepomis_auritus/10421384.jpeg,o
20,species/fish/lepomis_auritus/10421401.jpeg,o
21,species/fish/lepomis_auritus/10451249.jpeg,o
22,species/fish/lepomis_auritus/10478345.jpeg,o
23,species/fish/lepomis_auritus/10559934.jpg,i
24,species/fish/lepomis_auritus/10687786.jpg,o
25,species/fish/lepomis_auritus/10744079.jpeg,i
26,species/fish/lepomis_auritus/10880336.jpg,o
27,species/fish/lepomis_auritus/10911822.jpg,o
28,species/fish/lepomis_auritus/11098765.jpeg,o
29,species/fish/lepomis_auritus/11176242.jpeg,o
30,species/fish/lepomis_auritus/11241289.jpeg,o
31,species/fish/lepomis_auritus/11292020.jpeg,o
32,species/fish/lepomis_auritus/11292044.jpeg,o
33,species/fish/lepomis_auritus/11292378.jpeg,o
34,species/fish/lepomis_auritus/11292651.jpeg,u
35,species/fish/lepomis_auritus/11292677.jpeg,o
36,species/fish/lepomis_auritus/11293175.jpeg,o
37,species/fish/lepomis_auritus/11308403.jpeg,o
38,species/fish/lepomis_auritus/11348468.jpg,o
39,species/fish/lepomis_auritus/11371182.jpeg,o
40,species/fish/lepomis_auritus/11371530.jpeg,u
41,species/fish/lepomis_auritus/11373053.jpeg,u
42,species/fish/lepomis_auritus/11374108.jpeg,o
43,species/fish/lepomis_auritus/11374636.jpeg,o
44,species/fish/lepomis_auritus/11440182.jpg,o
45,species/fish/lepomis_auritus/11440191.jpg,o
46,species/fish/lepomis_auritus/11445945.jpg,o
47,species/fish/lepomis_auritus/11450820.jpg,o
48,species/fish/lepomis_auritus/11463260.jpg,o
49,species/fish/lepomis_auritus/116188.JPG,o
50,species/fish/lepomis_auritus/11635488.jpeg,o
51,species/fish/lepomis_auritus/11655650.jpeg,u
52,species/fish/lepomis_auritus/11799841.jpg,o
53,species/fish/lepomis_auritus/11878819.jpg,o
54,species/fish/lepomis_auritus/11905633.jpeg,o
55,species/fish/lepomis_auritus/12108064.jpeg,o
56,species/fish/lepomis_auritus/12184670.jpg,o
57,species/fish/lepomis_auritus/12184671.jpg,o
58,species/fish/lepomis_auritus/12184672.jpg,o
59,species/fish/lepomis_auritus/12184674.jpg,o
60,species/fish/lepomis_auritus/12184676.jpg,o
61,species/fish/lepomis_auritus/12184677.jpg,o
62,species/fish/lepomis_auritus/12184686.jpg,u
63,species/fish/lepomis_auritus/12203830.jpg,o
64,species/fish/lepomis_auritus/12203843.jpg,o
65,species/fish/lepomis_auritus/12218222.jpg,o
66,species/fish/lepomis_auritus/12283840.jpeg,o
67,species/fish/lepomis_auritus/12342180.jpeg,o
68,species/fish/lepomis_auritus/12342187.jpeg,o
