index,image_location,decision
0,species/insects/leptoglossus_phyllopus/1024124.JPG,o
1,species/insects/leptoglossus_phyllopus/1027425.JPG,o
2,species/insects/leptoglossus_phyllopus/1060714.jpg,o
3,species/insects/leptoglossus_phyllopus/1091931.jpg,o
4,species/insects/leptoglossus_phyllopus/1098402.jpg,o
5,species/insects/leptoglossus_phyllopus/1098930.JPG,o
6,species/insects/leptoglossus_phyllopus/1142069.jpg,o
7,species/insects/leptoglossus_phyllopus/1216496.JPG,o
8,species/insects/leptoglossus_phyllopus/1216498.jpg,o
9,species/insects/leptoglossus_phyllopus/1216499.jpg,o
10,species/insects/leptoglossus_phyllopus/1406788.JPG,o
11,species/insects/leptoglossus_phyllopus/1538506.jpg,u
12,species/insects/leptoglossus_phyllopus/1576234.JPG,o
13,species/insects/leptoglossus_phyllopus/1585039.jpg,o
14,species/insects/leptoglossus_phyllopus/1600790.jpg,o
15,species/insects/leptoglossus_phyllopus/1675131.jpg,o
16,species/insects/leptoglossus_phyllopus/1696101.JPG,o
17,species/insects/leptoglossus_phyllopus/1722300.jpg,o
18,species/insects/leptoglossus_phyllopus/1757481.jpg,o
19,species/insects/leptoglossus_phyllopus/1766408.JPG,o
20,species/insects/leptoglossus_phyllopus/1794743.JPG,o
21,species/insects/leptoglossus_phyllopus/1807262.JPG,o
22,species/insects/leptoglossus_phyllopus/1821075.jpg,o
23,species/insects/leptoglossus_phyllopus/1823574.JPG,o
24,species/insects/leptoglossus_phyllopus/1830373.jpg,o
25,species/insects/leptoglossus_phyllopus/1843132.JPG,o
26,species/insects/leptoglossus_phyllopus/1872999.jpg,o
27,species/insects/leptoglossus_phyllopus/1887761.JPG,o
28,species/insects/leptoglossus_phyllopus/1888385.JPG,o
29,species/insects/leptoglossus_phyllopus/1912319.jpg,o
30,species/insects/leptoglossus_phyllopus/1923463.JPG,o
31,species/insects/leptoglossus_phyllopus/1932741.JPG,o
32,species/insects/leptoglossus_phyllopus/1950561.jpg,o
33,species/insects/leptoglossus_phyllopus/1953980.jpg,o
34,species/insects/leptoglossus_phyllopus/2002961.JPG,o
35,species/insects/leptoglossus_phyllopus/201377.jpg,u
36,species/insects/leptoglossus_phyllopus/2019571.JPG,o
37,species/insects/leptoglossus_phyllopus/2058661.JPG,o
38,species/insects/leptoglossus_phyllopus/2076983.jpg,o
39,species/insects/leptoglossus_phyllopus/2080649.JPG,o
40,species/insects/leptoglossus_phyllopus/2082557.JPG,o
41,species/insects/leptoglossus_phyllopus/2086210.jpg,o
42,species/insects/leptoglossus_phyllopus/2093706.JPG,o
43,species/insects/leptoglossus_phyllopus/2103935.jpg,o
44,species/insects/leptoglossus_phyllopus/2172784.JPG,o
45,species/insects/leptoglossus_phyllopus/2189970.JPG,o
46,species/insects/leptoglossus_phyllopus/2211126.JPG,o
47,species/insects/leptoglossus_phyllopus/2218880.JPG,o
48,species/insects/leptoglossus_phyllopus/2260665.JPG,o
49,species/insects/leptoglossus_phyllopus/2292308.jpg,o
50,species/insects/leptoglossus_phyllopus/2306447.jpg,o
51,species/insects/leptoglossus_phyllopus/231634.jpg,o
52,species/insects/leptoglossus_phyllopus/2319959.JPG,o
53,species/insects/leptoglossus_phyllopus/2339378.JPG,o
54,species/insects/leptoglossus_phyllopus/2348677.JPG,o
55,species/insects/leptoglossus_phyllopus/2350549.jpg,o
56,species/insects/leptoglossus_phyllopus/2351696.JPG,o
57,species/insects/leptoglossus_phyllopus/2355170.JPG,o
58,species/insects/leptoglossus_phyllopus/2358350.jpg,o
59,species/insects/leptoglossus_phyllopus/2363656.jpg,o
60,species/insects/leptoglossus_phyllopus/2366797.jpg,o
61,species/insects/leptoglossus_phyllopus/2368529.JPG,o
62,species/insects/leptoglossus_phyllopus/2374868.JPG,o
63,species/insects/leptoglossus_phyllopus/2406458.JPG,o
64,species/insects/leptoglossus_phyllopus/2419658.jpg,o
65,species/insects/leptoglossus_phyllopus/2428891.JPG,o
66,species/insects/leptoglossus_phyllopus/2454352.JPG,o
67,species/insects/leptoglossus_phyllopus/2469246.JPG,o
68,species/insects/leptoglossus_phyllopus/247855.jpg,u
69,species/insects/leptoglossus_phyllopus/2495332.jpg,o
70,species/insects/leptoglossus_phyllopus/2504519.JPG,o
71,species/insects/leptoglossus_phyllopus/2637881.JPG,o
72,species/insects/leptoglossus_phyllopus/2641755.JPG,o
73,species/insects/leptoglossus_phyllopus/267513.jpg,u
74,species/insects/leptoglossus_phyllopus/2751795.JPG,o
75,species/insects/leptoglossus_phyllopus/2754106.jpg,o
76,species/insects/leptoglossus_phyllopus/2780941.JPG,o
77,species/insects/leptoglossus_phyllopus/2790099.jpeg,o
78,species/insects/leptoglossus_phyllopus/2790259.jpeg,o
79,species/insects/leptoglossus_phyllopus/2880044.jpg,i
80,species/insects/leptoglossus_phyllopus/2907235.jpg,i
81,species/insects/leptoglossus_phyllopus/2938348.JPG,o
82,species/insects/leptoglossus_phyllopus/2948966.jpg,o
83,species/insects/leptoglossus_phyllopus/2950586.JPG,o
84,species/insects/leptoglossus_phyllopus/296226.jpg,o
85,species/insects/leptoglossus_phyllopus/3023096.JPG,o
86,species/insects/leptoglossus_phyllopus/3025480.JPG,o
87,species/insects/leptoglossus_phyllopus/302554.jpg,u
88,species/insects/leptoglossus_phyllopus/3070590.jpg,o
89,species/insects/leptoglossus_phyllopus/3070617.jpeg,u
90,species/insects/leptoglossus_phyllopus/3097251.jpg,o
91,species/insects/leptoglossus_phyllopus/3097267.JPG,u
92,species/insects/leptoglossus_phyllopus/3120983.JPG,u
93,species/insects/leptoglossus_phyllopus/3132396.jpg,u
94,species/insects/leptoglossus_phyllopus/3169259.jpg,o
95,species/insects/leptoglossus_phyllopus/3174803.jpg,o
96,species/insects/leptoglossus_phyllopus/3178669.JPG,o
97,species/insects/leptoglossus_phyllopus/3178686.jpg,o
98,species/insects/leptoglossus_phyllopus/3180339.jpg,o
99,species/insects/leptoglossus_phyllopus/3182267.jpg,o
100,species/insects/leptoglossus_phyllopus/3219182.jpg,o
101,species/insects/leptoglossus_phyllopus/3285592.JPG,u
102,species/insects/leptoglossus_phyllopus/3324937.jpg,u
103,species/insects/leptoglossus_phyllopus/3325651.JPG,u
104,species/insects/leptoglossus_phyllopus/3333885.JPG,o
105,species/insects/leptoglossus_phyllopus/3336093.jpg,o
106,species/insects/leptoglossus_phyllopus/3352283.JPG,o
107,species/insects/leptoglossus_phyllopus/3356977.jpg,u
108,species/insects/leptoglossus_phyllopus/3360091.jpg,o
109,species/insects/leptoglossus_phyllopus/3361338.jpg,o
110,species/insects/leptoglossus_phyllopus/3388185.JPG,u
111,species/insects/leptoglossus_phyllopus/3392943.jpg,u
112,species/insects/leptoglossus_phyllopus/3424117.jpg,o
113,species/insects/leptoglossus_phyllopus/3429309.JPG,u
114,species/insects/leptoglossus_phyllopus/3431171.jpg,u
115,species/insects/leptoglossus_phyllopus/3436984.JPG,o
116,species/insects/leptoglossus_phyllopus/3439329.jpg,o
117,species/insects/leptoglossus_phyllopus/3442427.JPG,o
118,species/insects/leptoglossus_phyllopus/3453237.JPG,u
119,species/insects/leptoglossus_phyllopus/3458914.jpg,o
