index,image_location,decision
0,species/microorganisms/microcystis_wesenbergii/10050422.jpg,o
1,species/microorganisms/microcystis_wesenbergii/11988770.jpeg,o
2,species/microorganisms/microcystis_wesenbergii/14639003.jpg,o
3,species/microorganisms/microcystis_wesenbergii/15084558.jpg,o
4,species/microorganisms/microcystis_wesenbergii/16433465.jpeg,o
5,species/microorganisms/microcystis_wesenbergii/18135089.jpg,o
6,species/microorganisms/microcystis_wesenbergii/18135717.jpg,o
7,species/microorganisms/microcystis_wesenbergii/1828087.jpg,o
8,species/microorganisms/microcystis_wesenbergii/32847797.jpg,o
9,species/microorganisms/microcystis_wesenbergii/33451876.jpeg,i
10,species/microorganisms/microcystis_wesenbergii/33518300.jpg,o
11,species/microorganisms/microcystis_wesenbergii/33567231.jpg,o
12,species/microorganisms/microcystis_wesenbergii/33567330.jpg,o
13,species/microorganisms/microcystis_wesenbergii/34839999.png,o
14,species/microorganisms/microcystis_wesenbergii/34867477.png,o
15,species/microorganisms/microcystis_wesenbergii/3673814.jpg,o
16,species/microorganisms/microcystis_wesenbergii/3699295.jpg,o
17,species/microorganisms/microcystis_wesenbergii/3714641.jpg,o
18,species/microorganisms/microcystis_wesenbergii/3715353.jpg,o
19,species/microorganisms/microcystis_wesenbergii/3716154.jpg,o
20,species/microorganisms/microcystis_wesenbergii/4004106.jpg,o
21,species/microorganisms/microcystis_wesenbergii/4742336.jpg,o
22,species/microorganisms/microcystis_wesenbergii/49894871.jpg,o
23,species/microorganisms/microcystis_wesenbergii/53302986.jpeg,o
24,species/microorganisms/microcystis_wesenbergii/54074300.jpg,o
25,species/microorganisms/microcystis_wesenbergii/54075132.jpg,o
26,species/microorganisms/microcystis_wesenbergii/59793703.jpg,o
27,species/microorganisms/microcystis_wesenbergii/63703423.jpg,o
28,species/microorganisms/microcystis_wesenbergii/63991411.jpeg,o
29,species/microorganisms/microcystis_wesenbergii/63993452.jpeg,o
30,species/microorganisms/microcystis_wesenbergii/64965056.jpg,o
31,species/microorganisms/microcystis_wesenbergii/6809170.jpg,o
32,species/microorganisms/microcystis_wesenbergii/68580496.jpeg,o
33,species/microorganisms/microcystis_wesenbergii/8754532.jpg,
34,species/microorganisms/microcystis_wesenbergii/94104291.png,o
