index,image_location,decision
0,species/mollusks/octopus_bimaculoides/10024607.jpg,q
1,species/mollusks/octopus_bimaculoides/10024625.jpg,q
2,species/mollusks/octopus_bimaculoides/10038001.jpg,o
3,species/mollusks/octopus_bimaculoides/10051241.jpeg,o
4,species/mollusks/octopus_bimaculoides/10140876.jpeg,o
5,species/mollusks/octopus_bimaculoides/10145922.jpg,o
6,species/mollusks/octopus_bimaculoides/10290177.jpg,i
7,species/mollusks/octopus_bimaculoides/10385567.jpg,o
8,species/mollusks/octopus_bimaculoides/10482289.jpeg,o
9,species/mollusks/octopus_bimaculoides/1056081.JPG,o
10,species/mollusks/octopus_bimaculoides/107669.JPG,o
11,species/mollusks/octopus_bimaculoides/108175.jpg,o
12,species/mollusks/octopus_bimaculoides/1084404.jpg,o
13,species/mollusks/octopus_bimaculoides/108453.jpg,o
14,species/mollusks/octopus_bimaculoides/1090608.JPG,o
15,species/mollusks/octopus_bimaculoides/11092824.jpeg,o
16,species/mollusks/octopus_bimaculoides/1119099.jpg,o
17,species/mollusks/octopus_bimaculoides/1124334.jpg,o
18,species/mollusks/octopus_bimaculoides/11580150.jpg,o
19,species/mollusks/octopus_bimaculoides/11652285.jpeg,o
20,species/mollusks/octopus_bimaculoides/11652447.jpg,o
21,species/mollusks/octopus_bimaculoides/1165695.jpg,o
22,species/mollusks/octopus_bimaculoides/11826412.jpeg,o
23,species/mollusks/octopus_bimaculoides/1204568.jpg,o
24,species/mollusks/octopus_bimaculoides/12124448.jpeg,o
25,species/mollusks/octopus_bimaculoides/12153061.jpg,o
26,species/mollusks/octopus_bimaculoides/12179069.jpg,o
27,species/mollusks/octopus_bimaculoides/1261009.JPG,o
28,species/mollusks/octopus_bimaculoides/1261087.JPG,o
29,species/mollusks/octopus_bimaculoides/12834849.jpg,o
30,species/mollusks/octopus_bimaculoides/1301639.JPG,q
31,species/mollusks/octopus_bimaculoides/1301648.JPG,u
32,species/mollusks/octopus_bimaculoides/1304385.jpg,q
33,species/mollusks/octopus_bimaculoides/1304430.jpg,q
34,species/mollusks/octopus_bimaculoides/13198986.jpeg,o
35,species/mollusks/octopus_bimaculoides/13245560.jpg,q
36,species/mollusks/octopus_bimaculoides/13425268.jpg,q
37,species/mollusks/octopus_bimaculoides/13503327.jpeg,o
38,species/mollusks/octopus_bimaculoides/13507918.jpg,o
39,species/mollusks/octopus_bimaculoides/1358679.JPG,o
40,species/mollusks/octopus_bimaculoides/13752858.jpeg,q
41,species/mollusks/octopus_bimaculoides/13752863.jpeg,i
42,species/mollusks/octopus_bimaculoides/1421688.jpg,q
43,species/mollusks/octopus_bimaculoides/1467897.jpg,o
44,species/mollusks/octopus_bimaculoides/1468344.jpg,o
45,species/mollusks/octopus_bimaculoides/1468397.jpg,o
46,species/mollusks/octopus_bimaculoides/1468441.jpg,o
47,species/mollusks/octopus_bimaculoides/1469071.jpg,o
48,species/mollusks/octopus_bimaculoides/1470128.jpg,o
49,species/mollusks/octopus_bimaculoides/15167597.jpg,i
50,species/mollusks/octopus_bimaculoides/15378996.jpg,q
51,species/mollusks/octopus_bimaculoides/16421632.jpg,q
52,species/mollusks/octopus_bimaculoides/16555771.jpg,q
53,species/mollusks/octopus_bimaculoides/16935.jpg,o
54,species/mollusks/octopus_bimaculoides/17864202.jpg,q
55,species/mollusks/octopus_bimaculoides/18076128.jpeg,o
56,species/mollusks/octopus_bimaculoides/18241207.jpg,o
57,species/mollusks/octopus_bimaculoides/18273272.jpg,o
58,species/mollusks/octopus_bimaculoides/18357477.jpg,i
59,species/mollusks/octopus_bimaculoides/18541523.jpg,u
60,species/mollusks/octopus_bimaculoides/18587071.jpg,o
61,species/mollusks/octopus_bimaculoides/18594687.jpg,d
62,species/mollusks/octopus_bimaculoides/18636257.jpg,o
63,species/mollusks/octopus_bimaculoides/18659543.jpeg,o
64,species/mollusks/octopus_bimaculoides/18660338.jpeg,u
65,species/mollusks/octopus_bimaculoides/18660688.jpeg,o
66,species/mollusks/octopus_bimaculoides/18661691.jpeg,o
67,species/mollusks/octopus_bimaculoides/18662082.jpeg,u
68,species/mollusks/octopus_bimaculoides/18662340.jpeg,u
69,species/mollusks/octopus_bimaculoides/18688941.jpg,o
70,species/mollusks/octopus_bimaculoides/18748089.jpeg,o
71,species/mollusks/octopus_bimaculoides/18936649.jpg,o
72,species/mollusks/octopus_bimaculoides/19003868.jpeg,o
73,species/mollusks/octopus_bimaculoides/19164774.jpg,o
74,species/mollusks/octopus_bimaculoides/19182173.jpg,o
75,species/mollusks/octopus_bimaculoides/19183799.jpg,o
76,species/mollusks/octopus_bimaculoides/19196176.jpeg,o
77,species/mollusks/octopus_bimaculoides/19224749.jpeg,u
78,species/mollusks/octopus_bimaculoides/19315948.jpg,q
79,species/mollusks/octopus_bimaculoides/19585108.jpeg,o
80,species/mollusks/octopus_bimaculoides/19738721.jpeg,q
81,species/mollusks/octopus_bimaculoides/19738774.jpg,u
82,species/mollusks/octopus_bimaculoides/19738784.jpg,u
83,species/mollusks/octopus_bimaculoides/19738797.jpg,u
84,species/mollusks/octopus_bimaculoides/19739345.jpg,u
85,species/mollusks/octopus_bimaculoides/19739789.jpg,u
86,species/mollusks/octopus_bimaculoides/19739924.jpg,o
87,species/mollusks/octopus_bimaculoides/19740388.jpg,o
88,species/mollusks/octopus_bimaculoides/19767066.jpg,o
89,species/mollusks/octopus_bimaculoides/19772052.jpg,i
90,species/mollusks/octopus_bimaculoides/19789944.jpg,u
91,species/mollusks/octopus_bimaculoides/19794970.jpeg,i
92,species/mollusks/octopus_bimaculoides/20002528.jpg,o
93,species/mollusks/octopus_bimaculoides/20022315.jpeg,u
94,species/mollusks/octopus_bimaculoides/20300828.jpeg,q
95,species/mollusks/octopus_bimaculoides/20470733.jpeg,o
96,species/mollusks/octopus_bimaculoides/21149474.jpeg,o
97,species/mollusks/octopus_bimaculoides/21461849.jpeg,o
98,species/mollusks/octopus_bimaculoides/21925101.jpeg,o
99,species/mollusks/octopus_bimaculoides/223227.jpg,q
100,species/mollusks/octopus_bimaculoides/23431228.jpeg,i
101,species/mollusks/octopus_bimaculoides/23484340.jpg,o
102,species/mollusks/octopus_bimaculoides/23739355.jpg,o
103,species/mollusks/octopus_bimaculoides/23848844.jpeg,q
104,species/mollusks/octopus_bimaculoides/23848975.jpg,q
105,species/mollusks/octopus_bimaculoides/24289899.jpg,o
106,species/mollusks/octopus_bimaculoides/24294947.jpeg,o
107,species/mollusks/octopus_bimaculoides/2433789.JPG,q
108,species/mollusks/octopus_bimaculoides/24449085.jpeg,i
109,species/mollusks/octopus_bimaculoides/24544329.jpg,q
110,species/mollusks/octopus_bimaculoides/24595778.jpg,o
111,species/mollusks/octopus_bimaculoides/25094889.jpeg,u
112,species/mollusks/octopus_bimaculoides/25707826.jpg,o
113,species/mollusks/octopus_bimaculoides/2628621.JPG,i
114,species/mollusks/octopus_bimaculoides/26311089.jpg,o
115,species/mollusks/octopus_bimaculoides/26530733.jpeg,o
116,species/mollusks/octopus_bimaculoides/2655104.jpg,u
117,species/mollusks/octopus_bimaculoides/2657064.JPG,u
118,species/mollusks/octopus_bimaculoides/26578939.jpg,o
119,species/mollusks/octopus_bimaculoides/26594966.jpeg,o
120,species/mollusks/octopus_bimaculoides/2661800.JPG,u
121,species/mollusks/octopus_bimaculoides/26707223.jpg,u
122,species/mollusks/octopus_bimaculoides/26721710.jpg,o
123,species/mollusks/octopus_bimaculoides/26854690.jpeg,o
124,species/mollusks/octopus_bimaculoides/27072488.jpg,o
125,species/mollusks/octopus_bimaculoides/27072489.jpeg,o
126,species/mollusks/octopus_bimaculoides/2735418.JPG,u
127,species/mollusks/octopus_bimaculoides/27359116.jpg,u
128,species/mollusks/octopus_bimaculoides/27448875.jpg,o
129,species/mollusks/octopus_bimaculoides/2751750.jpeg,q
130,species/mollusks/octopus_bimaculoides/2751751.jpeg,q
131,species/mollusks/octopus_bimaculoides/2751807.jpeg,q
132,species/mollusks/octopus_bimaculoides/2754795.jpg,o
133,species/mollusks/octopus_bimaculoides/2758500.JPG,q
134,species/mollusks/octopus_bimaculoides/28188207.jpeg,o
135,species/mollusks/octopus_bimaculoides/28220259.jpeg,o
136,species/mollusks/octopus_bimaculoides/28242651.jpeg,o
137,species/mollusks/octopus_bimaculoides/28308220.jpg,o
138,species/mollusks/octopus_bimaculoides/28453370.jpg,o
139,species/mollusks/octopus_bimaculoides/2873822.jpg,o
140,species/mollusks/octopus_bimaculoides/30105135.jpg,i
141,species/mollusks/octopus_bimaculoides/303264.JPG,u
142,species/mollusks/octopus_bimaculoides/30512947.jpg,o
143,species/mollusks/octopus_bimaculoides/3051300.JPG,o
144,species/mollusks/octopus_bimaculoides/31187003.jpg,o
145,species/mollusks/octopus_bimaculoides/32025861.jpg,u
146,species/mollusks/octopus_bimaculoides/32559945.jpg,u
147,species/mollusks/octopus_bimaculoides/32644941.jpg,o
148,species/mollusks/octopus_bimaculoides/3266908.jpg,q
149,species/mollusks/octopus_bimaculoides/33414349.jpg,q
