index,image_location,decision
0,species/mollusks/octopus_rubescens/10041096.jpeg,o
1,species/mollusks/octopus_rubescens/10059319.jpg,o
2,species/mollusks/octopus_rubescens/10059716.jpeg,o
3,species/mollusks/octopus_rubescens/10133571.jpg,o
4,species/mollusks/octopus_rubescens/10321376.jpg,o
5,species/mollusks/octopus_rubescens/10458380.jpg,o
6,species/mollusks/octopus_rubescens/10479236.jpg,u
7,species/mollusks/octopus_rubescens/1055345.JPG,o
8,species/mollusks/octopus_rubescens/1055515.jpg,o
9,species/mollusks/octopus_rubescens/1057341.jpg,o
10,species/mollusks/octopus_rubescens/10617312.jpeg,o
11,species/mollusks/octopus_rubescens/10733297.jpg,o
12,species/mollusks/octopus_rubescens/1087416.JPG,u
13,species/mollusks/octopus_rubescens/1087619.jpg,u
14,species/mollusks/octopus_rubescens/11045096.jpg,o
15,species/mollusks/octopus_rubescens/1114414.JPG,o
16,species/mollusks/octopus_rubescens/1117228.jpg,o
17,species/mollusks/octopus_rubescens/1117365.jpg,o
18,species/mollusks/octopus_rubescens/1119249.JPG,i
19,species/mollusks/octopus_rubescens/11245284.jpg,i
20,species/mollusks/octopus_rubescens/1127048.jpg,o
21,species/mollusks/octopus_rubescens/11278438.jpeg,u
22,species/mollusks/octopus_rubescens/11281045.jpeg,u
23,species/mollusks/octopus_rubescens/11302580.jpg,o
24,species/mollusks/octopus_rubescens/11318506.jpg,o
25,species/mollusks/octopus_rubescens/11338441.jpg,q
26,species/mollusks/octopus_rubescens/11355535.jpeg,o
27,species/mollusks/octopus_rubescens/11383290.jpg,o
28,species/mollusks/octopus_rubescens/1142179.jpg,o
29,species/mollusks/octopus_rubescens/1154366.jpg,o
30,species/mollusks/octopus_rubescens/11584206.jpg,q
31,species/mollusks/octopus_rubescens/1160747.jpg,o
32,species/mollusks/octopus_rubescens/1183140.jpg,o
33,species/mollusks/octopus_rubescens/1183536.jpg,o
34,species/mollusks/octopus_rubescens/1184.jpg,o
35,species/mollusks/octopus_rubescens/1188226.JPG,o
36,species/mollusks/octopus_rubescens/1188227.JPG,o
37,species/mollusks/octopus_rubescens/1188259.jpg,q
38,species/mollusks/octopus_rubescens/1188426.jpg,o
39,species/mollusks/octopus_rubescens/11948665.jpg,o
40,species/mollusks/octopus_rubescens/1198.jpg,q
41,species/mollusks/octopus_rubescens/1207222.JPG,o
42,species/mollusks/octopus_rubescens/12072361.jpg,o
43,species/mollusks/octopus_rubescens/12072362.jpg,o
44,species/mollusks/octopus_rubescens/12463828.jpg,o
45,species/mollusks/octopus_rubescens/12502171.jpeg,q
46,species/mollusks/octopus_rubescens/12555009.jpeg,q
