index,image_location,decision
0,species/mammals/ozotoceros_bezoarticus/12570101.jpeg,u
1,species/mammals/ozotoceros_bezoarticus/18557909.jpg,o
2,species/mammals/ozotoceros_bezoarticus/18559255.jpg,o
3,species/mammals/ozotoceros_bezoarticus/19428862.jpg,o
4,species/mammals/ozotoceros_bezoarticus/19431651.jpg,o
5,species/mammals/ozotoceros_bezoarticus/20255841.jpg,o
6,species/mammals/ozotoceros_bezoarticus/20930056.jpg,o
7,species/mammals/ozotoceros_bezoarticus/25239098.jpeg,o
8,species/mammals/ozotoceros_bezoarticus/25243087.jpeg,o
9,species/mammals/ozotoceros_bezoarticus/25243577.jpg,o
10,species/mammals/ozotoceros_bezoarticus/25959899.jpeg,o
11,species/mammals/ozotoceros_bezoarticus/2649828.JPG,o
12,species/mammals/ozotoceros_bezoarticus/27966778.jpg,o
13,species/mammals/ozotoceros_bezoarticus/28280294.jpg,o
14,species/mammals/ozotoceros_bezoarticus/28515213.jpg,o
15,species/mammals/ozotoceros_bezoarticus/28515220.jpg,o
16,species/mammals/ozotoceros_bezoarticus/30757834.jpeg,o
17,species/mammals/ozotoceros_bezoarticus/31128850.jpg,o
18,species/mammals/ozotoceros_bezoarticus/32179678.jpeg,o
19,species/mammals/ozotoceros_bezoarticus/33248777.jpeg,o
20,species/mammals/ozotoceros_bezoarticus/35076143.jpeg,o
21,species/mammals/ozotoceros_bezoarticus/35076183.jpeg,o
22,species/mammals/ozotoceros_bezoarticus/35822909.jpg,lo
23,species/mammals/ozotoceros_bezoarticus/36028925.jpg,o
24,species/mammals/ozotoceros_bezoarticus/36194482.jpeg,o
25,species/mammals/ozotoceros_bezoarticus/36631960.jpeg,o
26,species/mammals/ozotoceros_bezoarticus/36631975.jpeg,o
27,species/mammals/ozotoceros_bezoarticus/36760485.jpg,u
28,species/mammals/ozotoceros_bezoarticus/37990891.jpg,o
29,species/mammals/ozotoceros_bezoarticus/38430515.jpeg,o
30,species/mammals/ozotoceros_bezoarticus/38433965.jpeg,o
31,species/mammals/ozotoceros_bezoarticus/39139766.jpeg,lo
32,species/mammals/ozotoceros_bezoarticus/39323138.jpg,o
33,species/mammals/ozotoceros_bezoarticus/39611640.jpg,o
34,species/mammals/ozotoceros_bezoarticus/39990033.jpeg,o
35,species/mammals/ozotoceros_bezoarticus/40685831.jpeg,o
36,species/mammals/ozotoceros_bezoarticus/41559966.jpeg,o
37,species/mammals/ozotoceros_bezoarticus/41567798.jpeg,o
38,species/mammals/ozotoceros_bezoarticus/41837044.jpeg,o
39,species/mammals/ozotoceros_bezoarticus/41936195.jpeg,o
40,species/mammals/ozotoceros_bezoarticus/42020966.jpeg,o
41,species/mammals/ozotoceros_bezoarticus/44440505.jpeg,o
42,species/mammals/ozotoceros_bezoarticus/44811771.jpeg,o
43,species/mammals/ozotoceros_bezoarticus/47876091.jpeg,o
44,species/mammals/ozotoceros_bezoarticus/47876146.jpeg,o
45,species/mammals/ozotoceros_bezoarticus/48398364.jpg,o
46,species/mammals/ozotoceros_bezoarticus/49139921.jpeg,o
47,species/mammals/ozotoceros_bezoarticus/49257536.jpeg,o
48,species/mammals/ozotoceros_bezoarticus/51325876.jpeg,o
49,species/mammals/ozotoceros_bezoarticus/53328279.jpg,o
50,species/mammals/ozotoceros_bezoarticus/54130783.jpg,o
51,species/mammals/ozotoceros_bezoarticus/57757400.jpg,o
52,species/mammals/ozotoceros_bezoarticus/61153458.jpeg,o
53,species/mammals/ozotoceros_bezoarticus/61394207.jpg,o
54,species/mammals/ozotoceros_bezoarticus/61394448.jpg,o
55,species/mammals/ozotoceros_bezoarticus/61776845.jpg,o
56,species/mammals/ozotoceros_bezoarticus/65161919.jpg,o
57,species/mammals/ozotoceros_bezoarticus/6594150.jpg,o
58,species/mammals/ozotoceros_bezoarticus/67262378.jpeg,o
59,species/mammals/ozotoceros_bezoarticus/68765670.jpeg,o
60,species/mammals/ozotoceros_bezoarticus/71847150.jpeg,o
61,species/mammals/ozotoceros_bezoarticus/72688541.jpg,o
62,species/mammals/ozotoceros_bezoarticus/75463665.jpeg,o
63,species/mammals/ozotoceros_bezoarticus/75710214.jpg,o
64,species/mammals/ozotoceros_bezoarticus/75710215.jpg,o
65,species/mammals/ozotoceros_bezoarticus/75716916.jpg,o
66,species/mammals/ozotoceros_bezoarticus/75718371.jpg,o
67,species/mammals/ozotoceros_bezoarticus/81403758.jpeg,o
68,species/mammals/ozotoceros_bezoarticus/8428318.jpeg,o
69,species/mammals/ozotoceros_bezoarticus/8881607.jpg,o
70,species/mammals/ozotoceros_bezoarticus/88949077.jpg,o
71,species/mammals/ozotoceros_bezoarticus/89569220.jpeg,o
72,species/mammals/ozotoceros_bezoarticus/8964762.jpeg,o
73,species/mammals/ozotoceros_bezoarticus/89707366.jpeg,o
74,species/mammals/ozotoceros_bezoarticus/89707368.jpeg,o
75,species/mammals/ozotoceros_bezoarticus/89732864.jpg,o
76,species/mammals/ozotoceros_bezoarticus/89956709.jpeg,o
77,species/mammals/ozotoceros_bezoarticus/89956710.jpeg,o
78,species/mammals/ozotoceros_bezoarticus/90666145.jpeg,o
79,species/mammals/ozotoceros_bezoarticus/90909416.jpeg,o
80,species/mammals/ozotoceros_bezoarticus/91007318.jpg,o
81,species/mammals/ozotoceros_bezoarticus/9330007.jpg,o
82,species/mammals/ozotoceros_bezoarticus/9514902.jpg,o
83,species/mammals/ozotoceros_bezoarticus/96524091.jpg,o
84,species/mammals/ozotoceros_bezoarticus/9970009.jpeg,o
85,species/mammals/ozotoceros_bezoarticus/9970213.jpeg,o
