index,image_location,decision
0,species/fish/platycephalus_fuscus/10064587.jpeg,o
1,species/fish/platycephalus_fuscus/10302954.jpg,o
2,species/fish/platycephalus_fuscus/10337714.jpg,o
3,species/fish/platycephalus_fuscus/10654837.jpeg,o
4,species/fish/platycephalus_fuscus/10719405.jpeg,u
5,species/fish/platycephalus_fuscus/10792114.jpeg,o
6,species/fish/platycephalus_fuscus/11002742.jpg,u
7,species/fish/platycephalus_fuscus/11139941.jpg,o
8,species/fish/platycephalus_fuscus/11168846.jpeg,o
9,species/fish/platycephalus_fuscus/11201458.jpg,u
10,species/fish/platycephalus_fuscus/11592338.jpg,o
11,species/fish/platycephalus_fuscus/11975794.jpg,o
12,species/fish/platycephalus_fuscus/12476793.jpg,o
13,species/fish/platycephalus_fuscus/12569680.jpg,o
14,species/fish/platycephalus_fuscus/12634881.jpg,o
15,species/fish/platycephalus_fuscus/12759593.jpeg,u
16,species/fish/platycephalus_fuscus/13067449.jpg,u
17,species/fish/platycephalus_fuscus/13103441.jpg,u
18,species/fish/platycephalus_fuscus/13193002.jpeg,o
19,species/fish/platycephalus_fuscus/13255290.jpg,u
20,species/fish/platycephalus_fuscus/13388065.jpeg,u
21,species/fish/platycephalus_fuscus/13512731.jpg,o
22,species/fish/platycephalus_fuscus/13568265.jpeg,o
23,species/fish/platycephalus_fuscus/13872088.jpeg,o
24,species/fish/platycephalus_fuscus/13872944.jpeg,o
25,species/fish/platycephalus_fuscus/13940248.jpeg,o
26,species/fish/platycephalus_fuscus/13940404.jpeg,u
27,species/fish/platycephalus_fuscus/14089836.jpeg,o
28,species/fish/platycephalus_fuscus/14152507.jpeg,o
29,species/fish/platycephalus_fuscus/14187818.jpeg,o
30,species/fish/platycephalus_fuscus/14191796.jpeg,o
31,species/fish/platycephalus_fuscus/14224409.jpeg,u
32,species/fish/platycephalus_fuscus/14283476.jpeg,o
33,species/fish/platycephalus_fuscus/14309981.jpeg,u
34,species/fish/platycephalus_fuscus/14428959.jpeg,o
35,species/fish/platycephalus_fuscus/14532713.jpeg,u
36,species/fish/platycephalus_fuscus/14644904.jpeg,o
37,species/fish/platycephalus_fuscus/15256266.jpeg,o
38,species/fish/platycephalus_fuscus/15695318.jpeg,u
39,species/fish/platycephalus_fuscus/15719742.jpeg,o
40,species/fish/platycephalus_fuscus/15903281.jpeg,u
