index,image_location,decision
0,species/insects/polistes_dominula/101572.JPG,o
1,species/insects/polistes_dominula/1019092.jpg,u
2,species/insects/polistes_dominula/1045269.JPG,o
3,species/insects/polistes_dominula/1050948.JPG,o
4,species/insects/polistes_dominula/1057815.jpg,o
5,species/insects/polistes_dominula/107269.jpg,o
6,species/insects/polistes_dominula/1096696.jpg,o
7,species/insects/polistes_dominula/1114711.jpg,o
8,species/insects/polistes_dominula/1122555.jpg,o
9,species/insects/polistes_dominula/113809.JPG,o
10,species/insects/polistes_dominula/1139194.JPG,o
11,species/insects/polistes_dominula/115428.jpg,o
12,species/insects/polistes_dominula/118089.JPG,o
13,species/insects/polistes_dominula/1187211.jpg,o
14,species/insects/polistes_dominula/1207319.jpg,o
15,species/insects/polistes_dominula/1230064.jpg,o
16,species/insects/polistes_dominula/1230233.jpg,o
17,species/insects/polistes_dominula/1231133.jpg,o
18,species/insects/polistes_dominula/1231522.jpg,o
19,species/insects/polistes_dominula/1252810.JPG,o
20,species/insects/polistes_dominula/1255861.jpg,o
21,species/insects/polistes_dominula/1257206.jpg,o
22,species/insects/polistes_dominula/1260060.JPG,o
23,species/insects/polistes_dominula/126032.JPG,o
24,species/insects/polistes_dominula/1266626.JPG,o
25,species/insects/polistes_dominula/1282730.JPG,o
26,species/insects/polistes_dominula/1283891.jpg,o
27,species/insects/polistes_dominula/1283900.jpg,o
28,species/insects/polistes_dominula/1291250.JPG,o
29,species/insects/polistes_dominula/1291291.JPG,o
30,species/insects/polistes_dominula/1294777.jpg,o
31,species/insects/polistes_dominula/1295516.jpg,o
32,species/insects/polistes_dominula/1298406.jpg,o
33,species/insects/polistes_dominula/1341592.jpg,o
34,species/insects/polistes_dominula/1342068.jpg,o
35,species/insects/polistes_dominula/1351264.jpg,o
36,species/insects/polistes_dominula/1409679.JPG,o
37,species/insects/polistes_dominula/1414266.jpg,o
38,species/insects/polistes_dominula/144462.jpg,o
39,species/insects/polistes_dominula/1458479.jpg,o
40,species/insects/polistes_dominula/1465988.jpg,o
41,species/insects/polistes_dominula/1474776.jpg,o
42,species/insects/polistes_dominula/1493349.JPG,o
43,species/insects/polistes_dominula/1498820.JPG,o
44,species/insects/polistes_dominula/1501147.JPG,o
45,species/insects/polistes_dominula/1533331.jpg,o
46,species/insects/polistes_dominula/1535581.jpg,o
47,species/insects/polistes_dominula/1546661.jpg,o
48,species/insects/polistes_dominula/1554914.jpg,o
49,species/insects/polistes_dominula/1558335.JPG,o
50,species/insects/polistes_dominula/1564103.JPG,o
51,species/insects/polistes_dominula/1564289.JPG,
52,species/insects/polistes_dominula/1564755.jpg,o
53,species/insects/polistes_dominula/1603142.jpg,o
54,species/insects/polistes_dominula/1633567.jpg,o
55,species/insects/polistes_dominula/1650399.jpg,o
56,species/insects/polistes_dominula/1658649.jpg,o
57,species/insects/polistes_dominula/1680716.jpg,o
58,species/insects/polistes_dominula/169314.jpg,o
59,species/insects/polistes_dominula/1701192.JPG,o
60,species/insects/polistes_dominula/1703157.JPG,o
61,species/insects/polistes_dominula/1705830.JPG,o
62,species/insects/polistes_dominula/1714161.jpg,u
63,species/insects/polistes_dominula/1716894.jpg,o
64,species/insects/polistes_dominula/1723023.jpg,o
65,species/insects/polistes_dominula/1723438.jpg,o
66,species/insects/polistes_dominula/1728381.jpg,o
67,species/insects/polistes_dominula/1735424.jpg,u
68,species/insects/polistes_dominula/1737653.JPG,u
69,species/insects/polistes_dominula/1751917.png,o
70,species/insects/polistes_dominula/1772857.jpg,u
71,species/insects/polistes_dominula/1773057.jpg,o
72,species/insects/polistes_dominula/1773980.jpg,o
73,species/insects/polistes_dominula/1777422.jpg,o
74,species/insects/polistes_dominula/1781176.jpg,o
75,species/insects/polistes_dominula/1782584.jpg,o
76,species/insects/polistes_dominula/1782585.jpg,o
77,species/insects/polistes_dominula/1782586.jpg,o
78,species/insects/polistes_dominula/1782589.jpg,o
79,species/insects/polistes_dominula/1783928.JPG,o
80,species/insects/polistes_dominula/1786202.jpg,o
81,species/insects/polistes_dominula/1786819.jpg,o
82,species/insects/polistes_dominula/1791283.jpg,o
83,species/insects/polistes_dominula/179287.jpg,o
84,species/insects/polistes_dominula/1793777.jpg,u
85,species/insects/polistes_dominula/1799366.jpg,o
86,species/insects/polistes_dominula/1800824.jpg,o
87,species/insects/polistes_dominula/1802102.JPG,o
88,species/insects/polistes_dominula/1802144.JPG,o
89,species/insects/polistes_dominula/1804276.jpg,o
90,species/insects/polistes_dominula/1810835.jpg,o
91,species/insects/polistes_dominula/1812340.jpg,o
92,species/insects/polistes_dominula/1815892.jpg,u
93,species/insects/polistes_dominula/1818009.jpg,o
94,species/insects/polistes_dominula/1826058.JPG,o
95,species/insects/polistes_dominula/1827613.jpg,o
96,species/insects/polistes_dominula/1828592.jpg,o
97,species/insects/polistes_dominula/1832616.JPG,o
98,species/insects/polistes_dominula/1842725.JPG,o
99,species/insects/polistes_dominula/1843109.JPG,o
100,species/insects/polistes_dominula/184437.jpg,o
101,species/insects/polistes_dominula/1856305.jpg,o
102,species/insects/polistes_dominula/1856570.jpg,u
103,species/insects/polistes_dominula/1856585.jpg,u
104,species/insects/polistes_dominula/1862635.jpg,o
105,species/insects/polistes_dominula/1870735.jpg,i
106,species/insects/polistes_dominula/1878997.JPG,o
107,species/insects/polistes_dominula/1885398.jpg,o
108,species/insects/polistes_dominula/1889785.JPG,o
109,species/insects/polistes_dominula/189550.jpg,o
110,species/insects/polistes_dominula/1902760.JPG,o
