index,image_location,decision
0,species/mammals/pseudorca_crassidens/10149236.jpg,o
1,species/mammals/pseudorca_crassidens/10798316.jpg,o
2,species/mammals/pseudorca_crassidens/11137957.jpeg,o
3,species/mammals/pseudorca_crassidens/13823219.jpg,o
4,species/mammals/pseudorca_crassidens/14033485.jpeg,o
5,species/mammals/pseudorca_crassidens/16461084.jpg,o
6,species/mammals/pseudorca_crassidens/19096391.jpg,o
7,species/mammals/pseudorca_crassidens/19268937.jpg,o
8,species/mammals/pseudorca_crassidens/19724950.jpeg,o
9,species/mammals/pseudorca_crassidens/20058155.jpeg,o
10,species/mammals/pseudorca_crassidens/20513027.jpeg,o
11,species/mammals/pseudorca_crassidens/20545604.jpg,o
12,species/mammals/pseudorca_crassidens/20750729.jpg,o
13,species/mammals/pseudorca_crassidens/21836515.jpg,o
14,species/mammals/pseudorca_crassidens/22103587.jpg,o
15,species/mammals/pseudorca_crassidens/22807791.jpg,u
16,species/mammals/pseudorca_crassidens/23030814.jpeg,o
17,species/mammals/pseudorca_crassidens/25577986.jpg,o
18,species/mammals/pseudorca_crassidens/27344631.jpg,o
19,species/mammals/pseudorca_crassidens/28275795.png,o
20,species/mammals/pseudorca_crassidens/28629832.jpg,o
21,species/mammals/pseudorca_crassidens/2964033.JPG,o
22,species/mammals/pseudorca_crassidens/34115575.jpeg,o
23,species/mammals/pseudorca_crassidens/35143793.jpg,o
24,species/mammals/pseudorca_crassidens/35189480.jpeg,o
25,species/mammals/pseudorca_crassidens/35505892.jpg,o
26,species/mammals/pseudorca_crassidens/35505893.jpg,o
27,species/mammals/pseudorca_crassidens/36662743.jpg,o
28,species/mammals/pseudorca_crassidens/36662744.png,o
29,species/mammals/pseudorca_crassidens/36662745.png,o
30,species/mammals/pseudorca_crassidens/36662749.png,o
31,species/mammals/pseudorca_crassidens/37096107.jpeg,o
32,species/mammals/pseudorca_crassidens/37545186.jpg,o
33,species/mammals/pseudorca_crassidens/38050778.jpg,o
34,species/mammals/pseudorca_crassidens/4047044.jpg,o
35,species/mammals/pseudorca_crassidens/4218379.jpeg,o
36,species/mammals/pseudorca_crassidens/4368961.jpg,o
37,species/mammals/pseudorca_crassidens/45928464.png,o
38,species/mammals/pseudorca_crassidens/49177578.jpg,o
39,species/mammals/pseudorca_crassidens/49837983.jpg,o
40,species/mammals/pseudorca_crassidens/50627810.jpeg,o
41,species/mammals/pseudorca_crassidens/50672632.jpg,o
42,species/mammals/pseudorca_crassidens/50855560.jpeg,o
43,species/mammals/pseudorca_crassidens/53905420.jpeg,o
44,species/mammals/pseudorca_crassidens/58778659.jpeg,o
45,species/mammals/pseudorca_crassidens/5991423.jpg,o
46,species/mammals/pseudorca_crassidens/59957109.jpg,o
47,species/mammals/pseudorca_crassidens/60567820.jpeg,o
48,species/mammals/pseudorca_crassidens/67902086.gif,o
49,species/mammals/pseudorca_crassidens/70757225.jpg,o
50,species/mammals/pseudorca_crassidens/71567295.jpg,o
51,species/mammals/pseudorca_crassidens/72144486.jpg,o
52,species/mammals/pseudorca_crassidens/7268243.jpeg,o
53,species/mammals/pseudorca_crassidens/73031956.jpg,o
54,species/mammals/pseudorca_crassidens/744892.png,u
55,species/mammals/pseudorca_crassidens/80430071.jpeg,o
56,species/mammals/pseudorca_crassidens/86826332.jpg,o
57,species/mammals/pseudorca_crassidens/88792677.png,o
58,species/mammals/pseudorca_crassidens/89746771.jpg,o
59,species/mammals/pseudorca_crassidens/89955124.jpeg,o
60,species/mammals/pseudorca_crassidens/91567381.jpg,o
61,species/mammals/pseudorca_crassidens/92063192.jpg,o
62,species/mammals/pseudorca_crassidens/92671650.jpg,o
63,species/mammals/pseudorca_crassidens/93548656.jpg,o
64,species/mammals/pseudorca_crassidens/9390690.jpg,o
65,species/mammals/pseudorca_crassidens/94134930.jpeg,o
66,species/mammals/pseudorca_crassidens/9525084.jpg,o
67,species/mammals/pseudorca_crassidens/9577744.jpeg,o
68,species/mammals/pseudorca_crassidens/96205266.jpeg,o
