index,image_location,decision
0,datasets/OOD_Places_MOS/s_sky/00000043.jpg,o
1,datasets/OOD_Places_MOS/s_sky/00000059.jpg,u
2,datasets/OOD_Places_MOS/s_sky/00000076.jpg,o
3,datasets/OOD_Places_MOS/s_sky/00000140.jpg,i
4,datasets/OOD_Places_MOS/s_sky/00000145.jpg,i
5,datasets/OOD_Places_MOS/s_sky/00000151.jpg,u
6,datasets/OOD_Places_MOS/s_sky/00000154.jpg,i
7,datasets/OOD_Places_MOS/s_sky/00000158.jpg,o
8,datasets/OOD_Places_MOS/s_sky/00000198.jpg,o
9,datasets/OOD_Places_MOS/s_sky/00000225.jpg,o
10,datasets/OOD_Places_MOS/s_sky/00000309.jpg,u
11,datasets/OOD_Places_MOS/s_sky/00000381.jpg,i
12,datasets/OOD_Places_MOS/s_sky/00000390.jpg,u
13,datasets/OOD_Places_MOS/s_sky/00000400.jpg,o
14,datasets/OOD_Places_MOS/s_sky/00000407.jpg,o
15,datasets/OOD_Places_MOS/s_sky/00000479.jpg,i
16,datasets/OOD_Places_MOS/s_sky/00000486.jpg,i
17,datasets/OOD_Places_MOS/s_sky/00000488.jpg,i
18,datasets/OOD_Places_MOS/s_sky/00000499.jpg,i
19,datasets/OOD_Places_MOS/s_sky/00000506.jpg,i
20,datasets/OOD_Places_MOS/s_sky/00000522.jpg,o
21,datasets/OOD_Places_MOS/s_sky/00000539.jpg,u
22,datasets/OOD_Places_MOS/s_sky/00000545.jpg,i
23,datasets/OOD_Places_MOS/s_sky/00000566.jpg,i
24,datasets/OOD_Places_MOS/s_sky/00000573.jpg,i
25,datasets/OOD_Places_MOS/s_sky/00000605.jpg,i
26,datasets/OOD_Places_MOS/s_sky/00000726.jpg,i
27,datasets/OOD_Places_MOS/s_sky/00000739.jpg,i
28,datasets/OOD_Places_MOS/s_sky/00000779.jpg,o
29,datasets/OOD_Places_MOS/s_sky/00000780.jpg,o
30,datasets/OOD_Places_MOS/s_sky/00000812.jpg,u
31,datasets/OOD_Places_MOS/s_sky/00000814.jpg,i
32,datasets/OOD_Places_MOS/s_sky/00000826.jpg,o
33,datasets/OOD_Places_MOS/s_sky/00000856.jpg,i
34,datasets/OOD_Places_MOS/s_sky/00000942.jpg,i
35,datasets/OOD_Places_MOS/s_sky/00001105.jpg,i
36,datasets/OOD_Places_MOS/s_sky/00001136.jpg,i
37,datasets/OOD_Places_MOS/s_sky/00001159.jpg,i
38,datasets/OOD_Places_MOS/s_sky/00001214.jpg,i
39,datasets/OOD_Places_MOS/s_sky/00001218.jpg,o
40,datasets/OOD_Places_MOS/s_sky/00001293.jpg,o
41,datasets/OOD_Places_MOS/s_sky/00001315.jpg,i
42,datasets/OOD_Places_MOS/s_sky/00001383.jpg,o
43,datasets/OOD_Places_MOS/s_sky/00001393.jpg,i
44,datasets/OOD_Places_MOS/s_sky/00001431.jpg,o
45,datasets/OOD_Places_MOS/s_sky/00001533.jpg,i
46,datasets/OOD_Places_MOS/s_sky/00001570.jpg,o
47,datasets/OOD_Places_MOS/s_sky/00001571.jpg,i
48,datasets/OOD_Places_MOS/s_sky/00001581.jpg,o
49,datasets/OOD_Places_MOS/s_sky/00001591.jpg,i
50,datasets/OOD_Places_MOS/s_sky/00001610.jpg,i
51,datasets/OOD_Places_MOS/s_sky/00001628.jpg,i
52,datasets/OOD_Places_MOS/s_sky/00001629.jpg,i
53,datasets/OOD_Places_MOS/s_sky/00001641.jpg,i
54,datasets/OOD_Places_MOS/s_sky/00001689.jpg,o
55,datasets/OOD_Places_MOS/s_sky/00001703.jpg,i
56,datasets/OOD_Places_MOS/s_sky/00001706.jpg,i
57,datasets/OOD_Places_MOS/s_sky/00001739.jpg,i
58,datasets/OOD_Places_MOS/s_sky/00001779.jpg,i
59,datasets/OOD_Places_MOS/s_sky/00001800.jpg,u
60,datasets/OOD_Places_MOS/s_sky/00001808.jpg,u
61,datasets/OOD_Places_MOS/s_sky/00001895.jpg,i
62,datasets/OOD_Places_MOS/s_sky/00001909.jpg,i
63,datasets/OOD_Places_MOS/s_sky/00001931.jpg,i
64,datasets/OOD_Places_MOS/s_sky/00001950.jpg,u
65,datasets/OOD_Places_MOS/s_sky/00001959.jpg,u
66,datasets/OOD_Places_MOS/s_sky/00001977.jpg,i
67,datasets/OOD_Places_MOS/s_sky/00001979.jpg,i
68,datasets/OOD_Places_MOS/s_sky/00002134.jpg,o
69,datasets/OOD_Places_MOS/s_sky/00002148.jpg,i
70,datasets/OOD_Places_MOS/s_sky/00002151.jpg,i
71,datasets/OOD_Places_MOS/s_sky/00002176.jpg,o
72,datasets/OOD_Places_MOS/s_sky/00002212.jpg,o
73,datasets/OOD_Places_MOS/s_sky/00002224.jpg,o
74,datasets/OOD_Places_MOS/s_sky/00002229.jpg,i
75,datasets/OOD_Places_MOS/s_sky/00002244.jpg,o
76,datasets/OOD_Places_MOS/s_sky/00002296.jpg,i
77,datasets/OOD_Places_MOS/s_sky/00002297.jpg,o
78,datasets/OOD_Places_MOS/s_sky/00002323.jpg,i
79,datasets/OOD_Places_MOS/s_sky/00002357.jpg,o
80,datasets/OOD_Places_MOS/s_sky/00002361.jpg,i
81,datasets/OOD_Places_MOS/s_sky/00002363.jpg,i
82,datasets/OOD_Places_MOS/s_sky/00002390.jpg,o
83,datasets/OOD_Places_MOS/s_sky/00002396.jpg,o
84,datasets/OOD_Places_MOS/s_sky/00002475.jpg,i
85,datasets/OOD_Places_MOS/s_sky/00002563.jpg,o
86,datasets/OOD_Places_MOS/s_sky/00002575.jpg,o
87,datasets/OOD_Places_MOS/s_sky/00002627.jpg,i
88,datasets/OOD_Places_MOS/s_sky/00002639.jpg,o
89,datasets/OOD_Places_MOS/s_sky/00002663.jpg,i
90,datasets/OOD_Places_MOS/s_sky/00002665.jpg,o
91,datasets/OOD_Places_MOS/s_sky/00002668.jpg,o
92,datasets/OOD_Places_MOS/s_sky/00002722.jpg,o
93,datasets/OOD_Places_MOS/s_sky/00002744.jpg,i
94,datasets/OOD_Places_MOS/s_sky/00002752.jpg,i
95,datasets/OOD_Places_MOS/s_sky/00002753.jpg,i
96,datasets/OOD_Places_MOS/s_sky/00002790.jpg,i
97,datasets/OOD_Places_MOS/s_sky/00002799.jpg,i
98,datasets/OOD_Places_MOS/s_sky/00002806.jpg,o
99,datasets/OOD_Places_MOS/s_sky/00002809.jpg,i
100,datasets/OOD_Places_MOS/s_sky/00002817.jpg,i
101,datasets/OOD_Places_MOS/s_sky/00002854.jpg,o
102,datasets/OOD_Places_MOS/s_sky/00002870.jpg,u
103,datasets/OOD_Places_MOS/s_sky/00002912.jpg,u
104,datasets/OOD_Places_MOS/s_sky/00002932.jpg,u
105,datasets/OOD_Places_MOS/s_sky/00002933.jpg,u
106,datasets/OOD_Places_MOS/s_sky/00002935.jpg,i
107,datasets/OOD_Places_MOS/s_sky/00002962.jpg,i
108,datasets/OOD_Places_MOS/s_sky/00002984.jpg,o
109,datasets/OOD_Places_MOS/s_sky/00003082.jpg,u
110,datasets/OOD_Places_MOS/s_sky/00003149.jpg,o
111,datasets/OOD_Places_MOS/s_sky/00003172.jpg,o
112,datasets/OOD_Places_MOS/s_sky/00003204.jpg,i
113,datasets/OOD_Places_MOS/s_sky/00003211.jpg,o
114,datasets/OOD_Places_MOS/s_sky/00003236.jpg,o
115,datasets/OOD_Places_MOS/s_sky/00003302.jpg,u
116,datasets/OOD_Places_MOS/s_sky/00003325.jpg,u
117,datasets/OOD_Places_MOS/s_sky/00003429.jpg,o
118,datasets/OOD_Places_MOS/s_sky/00003455.jpg,o
119,datasets/OOD_Places_MOS/s_sky/00003456.jpg,i
120,datasets/OOD_Places_MOS/s_sky/00003488.jpg,o
121,datasets/OOD_Places_MOS/s_sky/00003491.jpg,i
122,datasets/OOD_Places_MOS/s_sky/00003493.jpg,i
123,datasets/OOD_Places_MOS/s_sky/00003512.jpg,o
124,datasets/OOD_Places_MOS/s_sky/00003515.jpg,o
125,datasets/OOD_Places_MOS/s_sky/00003518.jpg,o
126,datasets/OOD_Places_MOS/s_sky/00003526.jpg,u
127,datasets/OOD_Places_MOS/s_sky/00003543.jpg,i
128,datasets/OOD_Places_MOS/s_sky/00003553.jpg,i
129,datasets/OOD_Places_MOS/s_sky/00003562.jpg,u
130,datasets/OOD_Places_MOS/s_sky/00003614.jpg,i
131,datasets/OOD_Places_MOS/s_sky/00003707.jpg,i
132,datasets/OOD_Places_MOS/s_sky/00003836.jpg,i
133,datasets/OOD_Places_MOS/s_sky/00003849.jpg,o
134,datasets/OOD_Places_MOS/s_sky/00003857.jpg,o
135,datasets/OOD_Places_MOS/s_sky/00003862.jpg,o
136,datasets/OOD_Places_MOS/s_sky/00003878.jpg,o
137,datasets/OOD_Places_MOS/s_sky/00003902.jpg,i
138,datasets/OOD_Places_MOS/s_sky/00003936.jpg,o
139,datasets/OOD_Places_MOS/s_sky/00003937.jpg,i
140,datasets/OOD_Places_MOS/s_sky/00003938.jpg,o
141,datasets/OOD_Places_MOS/s_sky/00003964.jpg,o
142,datasets/OOD_Places_MOS/s_sky/00003972.jpg,o
143,datasets/OOD_Places_MOS/s_sky/00004006.jpg,i
144,datasets/OOD_Places_MOS/s_sky/00004009.jpg,i
145,datasets/OOD_Places_MOS/s_sky/00004037.jpg,i
146,datasets/OOD_Places_MOS/s_sky/00004048.jpg,i
147,datasets/OOD_Places_MOS/s_sky/00004053.jpg,i
148,datasets/OOD_Places_MOS/s_sky/00004055.jpg,o
149,datasets/OOD_Places_MOS/s_sky/00004088.jpg,o
150,datasets/OOD_Places_MOS/s_sky/00004115.jpg,o
151,datasets/OOD_Places_MOS/s_sky/00004167.jpg,i
152,datasets/OOD_Places_MOS/s_sky/00004207.jpg,i
153,datasets/OOD_Places_MOS/s_sky/00004209.jpg,o
154,datasets/OOD_Places_MOS/s_sky/00004237.jpg,o
155,datasets/OOD_Places_MOS/s_sky/00004245.jpg,o
156,datasets/OOD_Places_MOS/s_sky/00004260.jpg,i
157,datasets/OOD_Places_MOS/s_sky/00004379.jpg,u
158,datasets/OOD_Places_MOS/s_sky/00004399.jpg,i
159,datasets/OOD_Places_MOS/s_sky/00004493.jpg,o
160,datasets/OOD_Places_MOS/s_sky/00004507.jpg,i
161,datasets/OOD_Places_MOS/s_sky/00004527.jpg,i
162,datasets/OOD_Places_MOS/s_sky/00004540.jpg,o
163,datasets/OOD_Places_MOS/s_sky/00004553.jpg,o
164,datasets/OOD_Places_MOS/s_sky/00004555.jpg,i
165,datasets/OOD_Places_MOS/s_sky/00004559.jpg,o
166,datasets/OOD_Places_MOS/s_sky/00004562.jpg,q
167,datasets/OOD_Places_MOS/s_sky/00004586.jpg,i
168,datasets/OOD_Places_MOS/s_sky/00004614.jpg,o
169,datasets/OOD_Places_MOS/s_sky/00004634.jpg,i
170,datasets/OOD_Places_MOS/s_sky/00004636.jpg,i
171,datasets/OOD_Places_MOS/s_sky/00004645.jpg,i
172,datasets/OOD_Places_MOS/s_sky/00004703.jpg,i
173,datasets/OOD_Places_MOS/s_sky/00004707.jpg,q
174,datasets/OOD_Places_MOS/s_sky/00004715.jpg,i
175,datasets/OOD_Places_MOS/s_sky/00004747.jpg,i
176,datasets/OOD_Places_MOS/s_sky/00004769.jpg,o
177,datasets/OOD_Places_MOS/s_sky/00004780.jpg,i
178,datasets/OOD_Places_MOS/s_sky/00004828.jpg,i
179,datasets/OOD_Places_MOS/s_sky/00004855.jpg,o
180,datasets/OOD_Places_MOS/s_sky/00004915.jpg,i
181,datasets/OOD_Places_MOS/s_sky/00004944.jpg,i
182,datasets/OOD_Places_MOS/s_sky/00004954.jpg,u
183,datasets/OOD_Places_MOS/s_sky/00004957.jpg,o
184,datasets/OOD_Places_MOS/s_sky/00004966.jpg,i
