index,image_location,decision
0,species/fish/sarpa_salpa/10009421.jpeg,i
1,species/fish/sarpa_salpa/10208466.jpeg,i
2,species/fish/sarpa_salpa/10208471.jpeg,i
3,species/fish/sarpa_salpa/10230766.jpeg,o
4,species/fish/sarpa_salpa/10448124.jpg,i
5,species/fish/sarpa_salpa/10963397.jpg,o
6,species/fish/sarpa_salpa/10966173.jpg,i
7,species/fish/sarpa_salpa/10968992.jpg,o
8,species/fish/sarpa_salpa/10969095.jpg,o
9,species/fish/sarpa_salpa/10988258.jpg,o
10,species/fish/sarpa_salpa/10991800.jpg,o
11,species/fish/sarpa_salpa/11017901.jpg,o
12,species/fish/sarpa_salpa/11047064.jpg,i
13,species/fish/sarpa_salpa/11094642.jpg,o
14,species/fish/sarpa_salpa/11154536.jpg,i
15,species/fish/sarpa_salpa/11160403.jpg,i
16,species/fish/sarpa_salpa/11165139.jpg,o
17,species/fish/sarpa_salpa/11166575.jpg,i
18,species/fish/sarpa_salpa/11190548.jpg,i
19,species/fish/sarpa_salpa/11204854.jpg,i
20,species/fish/sarpa_salpa/11205964.jpg,i
21,species/fish/sarpa_salpa/11245380.jpg,o
22,species/fish/sarpa_salpa/11255543.jpg,i
23,species/fish/sarpa_salpa/13496846.jpeg,u
24,species/fish/sarpa_salpa/13831186.jpg,u
25,species/fish/sarpa_salpa/13981484.jpeg,i
26,species/fish/sarpa_salpa/13981486.jpeg,i
27,species/fish/sarpa_salpa/14005541.jpg,o
28,species/fish/sarpa_salpa/14158327.jpg,i
29,species/fish/sarpa_salpa/14434593.jpeg,o
30,species/fish/sarpa_salpa/15212825.jpg,i
31,species/fish/sarpa_salpa/15445501.jpg,u
32,species/fish/sarpa_salpa/15460357.jpg,u
33,species/fish/sarpa_salpa/15497557.jpg,o
34,species/fish/sarpa_salpa/15571227.jpeg,o
35,species/fish/sarpa_salpa/15736443.jpg,i
36,species/fish/sarpa_salpa/15768299.jpeg,i
37,species/fish/sarpa_salpa/15953862.jpg,u
38,species/fish/sarpa_salpa/1602232.jpg,o
39,species/fish/sarpa_salpa/16023819.jpg,u
40,species/fish/sarpa_salpa/16100659.jpeg,u
41,species/fish/sarpa_salpa/16105442.jpeg,u
42,species/fish/sarpa_salpa/16296087.jpg,u
43,species/fish/sarpa_salpa/16380739.jpg,i
44,species/fish/sarpa_salpa/16420437.jpeg,u
45,species/fish/sarpa_salpa/16515013.jpeg,u
46,species/fish/sarpa_salpa/16515021.jpeg,u
47,species/fish/sarpa_salpa/16515022.jpeg,u
48,species/fish/sarpa_salpa/16516807.jpeg,u
49,species/fish/sarpa_salpa/16728315.jpeg,u
50,species/fish/sarpa_salpa/16797624.jpeg,u
51,species/fish/sarpa_salpa/16828054.png,u
52,species/fish/sarpa_salpa/16899001.jpg,u
53,species/fish/sarpa_salpa/16899058.jpeg,u
54,species/fish/sarpa_salpa/17039282.jpg,u
55,species/fish/sarpa_salpa/17244832.jpg,u
56,species/fish/sarpa_salpa/17643287.jpeg,i
57,species/fish/sarpa_salpa/17645902.jpeg,o
58,species/fish/sarpa_salpa/17656650.jpeg,u
59,species/fish/sarpa_salpa/18015094.jpg,i
60,species/fish/sarpa_salpa/18015127.jpg,u
61,species/fish/sarpa_salpa/18015654.jpg,i
62,species/fish/sarpa_salpa/18015672.jpg,i
63,species/fish/sarpa_salpa/18015693.jpg,i
64,species/fish/sarpa_salpa/18015809.jpg,i
65,species/fish/sarpa_salpa/18148156.jpg,o
66,species/fish/sarpa_salpa/18370692.jpeg,o
67,species/fish/sarpa_salpa/18396230.jpg,o
68,species/fish/sarpa_salpa/18454995.jpeg,u
69,species/fish/sarpa_salpa/18575598.jpeg,u
70,species/fish/sarpa_salpa/18784150.jpg,u
71,species/fish/sarpa_salpa/18841208.jpg,u
72,species/fish/sarpa_salpa/18920282.jpg,o
73,species/fish/sarpa_salpa/18994216.jpg,i
74,species/fish/sarpa_salpa/19159991.jpg,u
75,species/fish/sarpa_salpa/19271341.png,u
76,species/fish/sarpa_salpa/1943428.jpg,o
77,species/fish/sarpa_salpa/19554463.jpg,o
78,species/fish/sarpa_salpa/19615316.jpeg,u
79,species/fish/sarpa_salpa/20365278.jpeg,u
80,species/fish/sarpa_salpa/20393073.jpg,i
81,species/fish/sarpa_salpa/21126310.jpeg,o
82,species/fish/sarpa_salpa/21217390.jpeg,u
83,species/fish/sarpa_salpa/21217399.jpeg,i
84,species/fish/sarpa_salpa/21401374.jpg,i
85,species/fish/sarpa_salpa/21638652.jpeg,u
86,species/fish/sarpa_salpa/21743803.jpg,u
87,species/fish/sarpa_salpa/22271390.jpeg,o
88,species/fish/sarpa_salpa/2322131.jpg,u
89,species/fish/sarpa_salpa/2329375.JPG,u
90,species/fish/sarpa_salpa/23667497.jpeg,u
91,species/fish/sarpa_salpa/2376766.jpg,u
92,species/fish/sarpa_salpa/23877059.jpeg,o
93,species/fish/sarpa_salpa/23879836.jpeg,u
94,species/fish/sarpa_salpa/24575606.jpeg,o
95,species/fish/sarpa_salpa/2460389.jpg,o
96,species/fish/sarpa_salpa/24658480.jpeg,u
97,species/fish/sarpa_salpa/2475548.JPG,u
98,species/fish/sarpa_salpa/25151740.jpg,u
99,species/fish/sarpa_salpa/25373940.jpeg,u
100,species/fish/sarpa_salpa/25614718.jpg,u
101,species/fish/sarpa_salpa/25931875.jpeg,o
102,species/fish/sarpa_salpa/2603877.png,o
