index,image_location,decision
0,species/plants/sarracenia_alata/10078270.jpg,o
1,species/plants/sarracenia_alata/10161634.jpg,o
2,species/plants/sarracenia_alata/10213671.jpg,o
3,species/plants/sarracenia_alata/10294670.jpg,o
4,species/plants/sarracenia_alata/10299356.jpeg,o
5,species/plants/sarracenia_alata/10391048.jpg,o
6,species/plants/sarracenia_alata/10404006.jpg,o
7,species/plants/sarracenia_alata/10424514.jpg,o
8,species/plants/sarracenia_alata/10453637.jpeg,o
9,species/plants/sarracenia_alata/10462505.jpg,o
10,species/plants/sarracenia_alata/10464938.jpg,o
11,species/plants/sarracenia_alata/10510510.jpeg,o
12,species/plants/sarracenia_alata/10517907.jpg,o
13,species/plants/sarracenia_alata/10531131.jpg,o
14,species/plants/sarracenia_alata/10550770.jpg,o
15,species/plants/sarracenia_alata/10650966.jpg,o
16,species/plants/sarracenia_alata/10669049.jpeg,o
17,species/plants/sarracenia_alata/10717850.jpg,u
18,species/plants/sarracenia_alata/10737325.jpg,o
19,species/plants/sarracenia_alata/10965766.jpeg,o
20,species/plants/sarracenia_alata/11120779.jpg,o
21,species/plants/sarracenia_alata/11120859.jpg,o
22,species/plants/sarracenia_alata/11120894.jpg,o
23,species/plants/sarracenia_alata/11236755.jpeg,o
24,species/plants/sarracenia_alata/11343155.jpeg,o
25,species/plants/sarracenia_alata/11350838.jpg,o
26,species/plants/sarracenia_alata/11499893.jpg,o
27,species/plants/sarracenia_alata/11701019.jpg,o
28,species/plants/sarracenia_alata/11939281.jpg,o
29,species/plants/sarracenia_alata/12047461.jpg,u
30,species/plants/sarracenia_alata/1209901.jpg,o
31,species/plants/sarracenia_alata/12212870.jpg,o
32,species/plants/sarracenia_alata/12212871.jpg,o
33,species/plants/sarracenia_alata/12212872.jpg,o
34,species/plants/sarracenia_alata/12212874.jpg,o
35,species/plants/sarracenia_alata/12212875.jpg,o
36,species/plants/sarracenia_alata/12212877.jpg,
37,species/plants/sarracenia_alata/12212879.jpg,o
38,species/plants/sarracenia_alata/12212880.jpg,o
39,species/plants/sarracenia_alata/12212881.jpg,o
40,species/plants/sarracenia_alata/12212882.jpg,o
41,species/plants/sarracenia_alata/12212883.jpg,o
42,species/plants/sarracenia_alata/12212884.jpg,o
43,species/plants/sarracenia_alata/12401491.jpg,o
44,species/plants/sarracenia_alata/12402403.jpg,o
45,species/plants/sarracenia_alata/12413496.jpg,o
46,species/plants/sarracenia_alata/12426870.jpg,o
47,species/plants/sarracenia_alata/12520846.jpg,u
48,species/plants/sarracenia_alata/12615535.jpg,o
49,species/plants/sarracenia_alata/12624958.jpg,o
50,species/plants/sarracenia_alata/12627349.jpg,o
51,species/plants/sarracenia_alata/12654645.jpeg,o
52,species/plants/sarracenia_alata/12664707.jpg,o
53,species/plants/sarracenia_alata/12664727.jpg,o
54,species/plants/sarracenia_alata/12666190.jpg,o
55,species/plants/sarracenia_alata/12687037.jpeg,o
56,species/plants/sarracenia_alata/12742984.jpg,o
57,species/plants/sarracenia_alata/12786841.jpg,o
58,species/plants/sarracenia_alata/12869757.jpeg,o
59,species/plants/sarracenia_alata/12871188.jpg,o
60,species/plants/sarracenia_alata/12874971.jpg,o
61,species/plants/sarracenia_alata/12889901.jpg,o
62,species/plants/sarracenia_alata/12943219.jpg,o
63,species/plants/sarracenia_alata/13015634.jpg,o
64,species/plants/sarracenia_alata/13030284.jpeg,o
65,species/plants/sarracenia_alata/13030322.jpeg,o
66,species/plants/sarracenia_alata/13030437.jpeg,o
67,species/plants/sarracenia_alata/13031428.jpeg,o
68,species/plants/sarracenia_alata/13182507.jpeg,o
69,species/plants/sarracenia_alata/13250815.jpg,o
70,species/plants/sarracenia_alata/13300834.jpg,o
71,species/plants/sarracenia_alata/13570675.jpg,o
72,species/plants/sarracenia_alata/1362332.JPG,o
73,species/plants/sarracenia_alata/1362478.JPG,o
74,species/plants/sarracenia_alata/13686552.jpg,o
75,species/plants/sarracenia_alata/13686627.jpg,o
76,species/plants/sarracenia_alata/13716484.jpg,u
77,species/plants/sarracenia_alata/13775005.jpg,u
78,species/plants/sarracenia_alata/13832269.jpg,o
79,species/plants/sarracenia_alata/13850541.jpg,o
80,species/plants/sarracenia_alata/1385852.jpg,u
81,species/plants/sarracenia_alata/14210664.jpeg,o
82,species/plants/sarracenia_alata/14315180.jpg,o
83,species/plants/sarracenia_alata/14317416.jpg,o
84,species/plants/sarracenia_alata/14321710.jpg,o
85,species/plants/sarracenia_alata/14453571.jpg,o
86,species/plants/sarracenia_alata/14549115.jpg,u
87,species/plants/sarracenia_alata/14723257.jpg,o
88,species/plants/sarracenia_alata/14723340.jpg,u
89,species/plants/sarracenia_alata/14891162.jpeg,o
90,species/plants/sarracenia_alata/15113297.jpg,o
91,species/plants/sarracenia_alata/15157942.jpg,o
92,species/plants/sarracenia_alata/15480433.jpg,u
93,species/plants/sarracenia_alata/15688482.jpg,o
94,species/plants/sarracenia_alata/15883004.jpg,o
95,species/plants/sarracenia_alata/15979243.jpeg,u
96,species/plants/sarracenia_alata/16001611.jpg,o
97,species/plants/sarracenia_alata/16031013.jpg,o
98,species/plants/sarracenia_alata/16088035.jpg,o
99,species/plants/sarracenia_alata/16205863.jpg,o
100,species/plants/sarracenia_alata/16236961.jpeg,o
101,species/plants/sarracenia_alata/16341458.jpg,u
102,species/plants/sarracenia_alata/16454042.jpeg,o
103,species/plants/sarracenia_alata/16661879.jpeg,o
104,species/plants/sarracenia_alata/17201629.jpg,o
105,species/plants/sarracenia_alata/1740528.jpg,u
106,species/plants/sarracenia_alata/17520838.jpeg,i
107,species/plants/sarracenia_alata/17748444.jpeg,o
108,species/plants/sarracenia_alata/17838479.jpg,o
109,species/plants/sarracenia_alata/17878558.jpg,
110,species/plants/sarracenia_alata/17887627.jpg,
111,species/plants/sarracenia_alata/17931399.jpeg,
112,species/plants/sarracenia_alata/18033712.jpeg,u
113,species/plants/sarracenia_alata/18079243.jpg,o
114,species/plants/sarracenia_alata/18090370.jpeg,o
115,species/plants/sarracenia_alata/18213287.jpeg,u
116,species/plants/sarracenia_alata/18339070.jpeg,o
117,species/plants/sarracenia_alata/18418333.jpg,o
118,species/plants/sarracenia_alata/18482573.jpeg,o
