index,image_location,decision
0,species/mollusks/sepia_apama/10002106.jpeg,o
1,species/mollusks/sepia_apama/10077689.jpeg,i
2,species/mollusks/sepia_apama/10097619.jpeg,o
3,species/mollusks/sepia_apama/10108125.jpg,u
4,species/mollusks/sepia_apama/10136935.jpeg,o
5,species/mollusks/sepia_apama/10179397.jpeg,o
6,species/mollusks/sepia_apama/10181823.jpeg,o
7,species/mollusks/sepia_apama/10287386.jpeg,o
8,species/mollusks/sepia_apama/10288525.jpg,o
9,species/mollusks/sepia_apama/10504078.jpeg,o
10,species/mollusks/sepia_apama/10520490.jpeg,o
11,species/mollusks/sepia_apama/10523705.jpeg,o
12,species/mollusks/sepia_apama/10566392.jpeg,o
13,species/mollusks/sepia_apama/10610442.jpeg,o
14,species/mollusks/sepia_apama/1062016.jpg,q
15,species/mollusks/sepia_apama/10695816.jpeg,u
16,species/mollusks/sepia_apama/10762177.jpeg,u
17,species/mollusks/sepia_apama/10841943.jpeg,o
18,species/mollusks/sepia_apama/10890881.jpeg,u
19,species/mollusks/sepia_apama/11048962.jpg,u
20,species/mollusks/sepia_apama/11258208.jpeg,o
21,species/mollusks/sepia_apama/11360962.jpg,u
22,species/mollusks/sepia_apama/11386165.jpg,o
23,species/mollusks/sepia_apama/11979852.jpeg,q
24,species/mollusks/sepia_apama/12150752.jpeg,q
25,species/mollusks/sepia_apama/12152963.jpg,o
26,species/mollusks/sepia_apama/12228127.jpg,o
27,species/mollusks/sepia_apama/12228419.jpeg,o
28,species/mollusks/sepia_apama/12260517.jpeg,o
29,species/mollusks/sepia_apama/12427454.jpeg,o
30,species/mollusks/sepia_apama/12566610.jpeg,o
31,species/mollusks/sepia_apama/12823787.jpeg,u
32,species/mollusks/sepia_apama/12882489.jpeg,o
33,species/mollusks/sepia_apama/12882661.jpeg,o
34,species/mollusks/sepia_apama/12883342.jpeg,o
35,species/mollusks/sepia_apama/13289544.jpeg,o
36,species/mollusks/sepia_apama/13321306.jpeg,o
37,species/mollusks/sepia_apama/13321483.jpeg,o
38,species/mollusks/sepia_apama/13330744.jpeg,o
39,species/mollusks/sepia_apama/13357207.jpeg,u
40,species/mollusks/sepia_apama/13474509.jpeg,u
41,species/mollusks/sepia_apama/13540103.jpeg,u
42,species/mollusks/sepia_apama/13540104.jpeg,i
43,species/mollusks/sepia_apama/13604449.jpeg,u
44,species/mollusks/sepia_apama/13731130.jpeg,o
45,species/mollusks/sepia_apama/13902071.jpeg,u
46,species/mollusks/sepia_apama/13904823.jpg,o
47,species/mollusks/sepia_apama/13908652.jpg,u
48,species/mollusks/sepia_apama/13940653.jpeg,o
49,species/mollusks/sepia_apama/13970781.jpg,o
50,species/mollusks/sepia_apama/14149497.jpeg,o
51,species/mollusks/sepia_apama/14156224.jpeg,u
52,species/mollusks/sepia_apama/14159707.jpg,u
53,species/mollusks/sepia_apama/14191924.jpeg,o
54,species/mollusks/sepia_apama/14222499.jpeg,o
55,species/mollusks/sepia_apama/14257837.jpeg,o
56,species/mollusks/sepia_apama/14276942.jpeg,o
57,species/mollusks/sepia_apama/14303989.jpeg,o
58,species/mollusks/sepia_apama/14593277.jpeg,o
59,species/mollusks/sepia_apama/14677774.jpeg,u
60,species/mollusks/sepia_apama/14876529.jpeg,q
61,species/mollusks/sepia_apama/14879486.jpg,q
62,species/mollusks/sepia_apama/15129863.jpeg,i
63,species/mollusks/sepia_apama/15158017.jpg,q
64,species/mollusks/sepia_apama/15218349.png,q
65,species/mollusks/sepia_apama/15257130.jpg,i
66,species/mollusks/sepia_apama/15664055.jpeg,i
67,species/mollusks/sepia_apama/15761545.jpeg,q
68,species/mollusks/sepia_apama/15833792.jpg,u
69,species/mollusks/sepia_apama/16013305.jpg,q
70,species/mollusks/sepia_apama/16122820.jpeg,q
71,species/mollusks/sepia_apama/16308959.jpeg,q
72,species/mollusks/sepia_apama/16652707.jpeg,o
73,species/mollusks/sepia_apama/16862977.jpg,q
74,species/mollusks/sepia_apama/17094832.jpg,q
75,species/mollusks/sepia_apama/17392367.jpeg,q
76,species/mollusks/sepia_apama/17614841.jpg,q
77,species/mollusks/sepia_apama/17614888.jpg,o
