index,image_location,decision
0,species/mollusks/sepia_officinalis/10007052.jpeg,q
1,species/mollusks/sepia_officinalis/10108645.jpeg,q
2,species/mollusks/sepia_officinalis/10115715.jpg,q
3,species/mollusks/sepia_officinalis/10291413.jpg,o
4,species/mollusks/sepia_officinalis/10343613.jpg,q
5,species/mollusks/sepia_officinalis/10345183.jpg,q
6,species/mollusks/sepia_officinalis/10634566.jpg,q
7,species/mollusks/sepia_officinalis/1064473.JPG,o
8,species/mollusks/sepia_officinalis/10780736.jpeg,o
9,species/mollusks/sepia_officinalis/10814738.jpeg,q
10,species/mollusks/sepia_officinalis/1100170.jpg,o
11,species/mollusks/sepia_officinalis/11310877.jpg,o
12,species/mollusks/sepia_officinalis/11361264.jpg,q
13,species/mollusks/sepia_officinalis/11522971.jpg,o
14,species/mollusks/sepia_officinalis/11526074.jpg,o
15,species/mollusks/sepia_officinalis/11528070.jpg,o
16,species/mollusks/sepia_officinalis/11692990.jpg,o
17,species/mollusks/sepia_officinalis/11992068.jpg,q
18,species/mollusks/sepia_officinalis/12098422.jpg,o
19,species/mollusks/sepia_officinalis/12188606.jpg,u
20,species/mollusks/sepia_officinalis/12225800.jpeg,o
21,species/mollusks/sepia_officinalis/12361656.jpeg,q
22,species/mollusks/sepia_officinalis/12385755.jpg,q
23,species/mollusks/sepia_officinalis/12414146.jpg,u
24,species/mollusks/sepia_officinalis/12652721.jpg,o
25,species/mollusks/sepia_officinalis/12718761.jpg,i
26,species/mollusks/sepia_officinalis/12808978.jpg,u
27,species/mollusks/sepia_officinalis/12809030.jpg,o
28,species/mollusks/sepia_officinalis/12903446.jpeg,q
29,species/mollusks/sepia_officinalis/12931550.jpeg,q
30,species/mollusks/sepia_officinalis/12949241.jpg,o
31,species/mollusks/sepia_officinalis/13032996.jpeg,q
32,species/mollusks/sepia_officinalis/13050948.jpeg,q
33,species/mollusks/sepia_officinalis/13214653.jpg,o
34,species/mollusks/sepia_officinalis/13548479.jpeg,q
35,species/mollusks/sepia_officinalis/13663160.jpg,o
36,species/mollusks/sepia_officinalis/13733731.jpeg,q
37,species/mollusks/sepia_officinalis/13801667.jpg,q
38,species/mollusks/sepia_officinalis/13955530.jpeg,q
39,species/mollusks/sepia_officinalis/14119711.jpg,o
40,species/mollusks/sepia_officinalis/14157697.jpg,i
41,species/mollusks/sepia_officinalis/14301217.jpg,q
42,species/mollusks/sepia_officinalis/14524540.jpg,u
43,species/mollusks/sepia_officinalis/14537508.jpg,o
44,species/mollusks/sepia_officinalis/14709355.jpeg,q
45,species/mollusks/sepia_officinalis/14724845.jpg,q
46,species/mollusks/sepia_officinalis/14990667.jpg,o
47,species/mollusks/sepia_officinalis/15041465.png,u
48,species/mollusks/sepia_officinalis/15139852.jpg,o
49,species/mollusks/sepia_officinalis/15140542.jpg,o
50,species/mollusks/sepia_officinalis/15141228.jpg,u
51,species/mollusks/sepia_officinalis/15203267.jpeg,o
52,species/mollusks/sepia_officinalis/15203939.jpeg,o
53,species/mollusks/sepia_officinalis/15204418.jpg,u
54,species/mollusks/sepia_officinalis/15295891.jpg,u
55,species/mollusks/sepia_officinalis/15314217.jpeg,q
56,species/mollusks/sepia_officinalis/15450851.jpg,o
57,species/mollusks/sepia_officinalis/15570946.jpeg,q
58,species/mollusks/sepia_officinalis/15611459.jpeg,o
59,species/mollusks/sepia_officinalis/15611474.jpeg,o
60,species/mollusks/sepia_officinalis/15716918.jpg,o
61,species/mollusks/sepia_officinalis/15904478.jpg,o
62,species/mollusks/sepia_officinalis/15968044.jpg,u
63,species/mollusks/sepia_officinalis/16035407.jpeg,q
64,species/mollusks/sepia_officinalis/16169565.jpeg,o
65,species/mollusks/sepia_officinalis/16226666.jpeg,q
66,species/mollusks/sepia_officinalis/16357148.jpg,o
67,species/mollusks/sepia_officinalis/16386100.jpeg,o
68,species/mollusks/sepia_officinalis/16400702.jpeg,o
69,species/mollusks/sepia_officinalis/16449657.jpg,q
70,species/mollusks/sepia_officinalis/16700773.jpg,i
71,species/mollusks/sepia_officinalis/16756071.jpeg,o
72,species/mollusks/sepia_officinalis/16760018.jpeg,i
73,species/mollusks/sepia_officinalis/16764408.jpeg,u
74,species/mollusks/sepia_officinalis/16771867.jpeg,o
75,species/mollusks/sepia_officinalis/16899060.jpeg,u
76,species/mollusks/sepia_officinalis/16900977.jpg,o
77,species/mollusks/sepia_officinalis/17104276.jpg,q
78,species/mollusks/sepia_officinalis/17112596.jpg,q
79,species/mollusks/sepia_officinalis/17291290.jpg,q
80,species/mollusks/sepia_officinalis/17386197.jpg,o
81,species/mollusks/sepia_officinalis/17386251.jpg,o
82,species/mollusks/sepia_officinalis/17386281.jpg,o
83,species/mollusks/sepia_officinalis/17386885.jpg,o
84,species/mollusks/sepia_officinalis/17388157.jpg,o
85,species/mollusks/sepia_officinalis/17388211.jpg,o
86,species/mollusks/sepia_officinalis/17754117.jpg,u
87,species/mollusks/sepia_officinalis/17754134.jpg,u
88,species/mollusks/sepia_officinalis/17754169.jpg,u
89,species/mollusks/sepia_officinalis/17766025.jpg,o
90,species/mollusks/sepia_officinalis/17848858.jpeg,q
91,species/mollusks/sepia_officinalis/18015625.jpg,o
92,species/mollusks/sepia_officinalis/18015685.jpg,o
93,species/mollusks/sepia_officinalis/18015688.jpg,o
94,species/mollusks/sepia_officinalis/18043528.jpg,i
95,species/mollusks/sepia_officinalis/18096135.jpeg,q
96,species/mollusks/sepia_officinalis/18327055.png,o
97,species/mollusks/sepia_officinalis/18329715.jpg,o
98,species/mollusks/sepia_officinalis/18329792.jpg,u
99,species/mollusks/sepia_officinalis/18329887.jpg,u
100,species/mollusks/sepia_officinalis/18375559.jpeg,q
101,species/mollusks/sepia_officinalis/18457013.jpg,i
102,species/mollusks/sepia_officinalis/18525611.jpg,i
103,species/mollusks/sepia_officinalis/18927064.jpg,u
104,species/mollusks/sepia_officinalis/19002522.jpg,o
105,species/mollusks/sepia_officinalis/19031135.jpg,o
106,species/mollusks/sepia_officinalis/19031220.jpeg,i
107,species/mollusks/sepia_officinalis/19051738.jpeg,i
108,species/mollusks/sepia_officinalis/19055886.jpg,o
109,species/mollusks/sepia_officinalis/19059232.jpg,o
110,species/mollusks/sepia_officinalis/19086286.jpg,o
111,species/mollusks/sepia_officinalis/19096186.jpeg,q
112,species/mollusks/sepia_officinalis/19108034.jpg,o
113,species/mollusks/sepia_officinalis/19108035.jpeg,o
114,species/mollusks/sepia_officinalis/19124393.jpg,q
115,species/mollusks/sepia_officinalis/19124401.jpg,q
116,species/mollusks/sepia_officinalis/19140421.jpg,o
117,species/mollusks/sepia_officinalis/19179184.jpg,o
118,species/mollusks/sepia_officinalis/19274188.jpg,q
119,species/mollusks/sepia_officinalis/19274212.jpeg,q
120,species/mollusks/sepia_officinalis/1929521.jpg,q
121,species/mollusks/sepia_officinalis/19378086.jpeg,u
122,species/mollusks/sepia_officinalis/19726828.jpeg,q
123,species/mollusks/sepia_officinalis/19858725.jpeg,q
124,species/mollusks/sepia_officinalis/19884770.jpeg,q
125,species/mollusks/sepia_officinalis/19899904.jpg,o
126,species/mollusks/sepia_officinalis/19902372.jpeg,q
127,species/mollusks/sepia_officinalis/20054585.jpg,q
128,species/mollusks/sepia_officinalis/20100290.jpeg,q
129,species/mollusks/sepia_officinalis/20100323.jpeg,q
130,species/mollusks/sepia_officinalis/20190875.jpg,q
