index,image_location,decision
0,species/mollusks/sepioteuthis_australis/10096976.jpg,o
1,species/mollusks/sepioteuthis_australis/10456321.jpeg,o
2,species/mollusks/sepioteuthis_australis/10456322.jpeg,o
3,species/mollusks/sepioteuthis_australis/10486865.jpg,o
4,species/mollusks/sepioteuthis_australis/10610451.jpeg,i
5,species/mollusks/sepioteuthis_australis/10694382.jpeg,i
6,species/mollusks/sepioteuthis_australis/11342444.jpg,o
7,species/mollusks/sepioteuthis_australis/12153725.jpg,u
8,species/mollusks/sepioteuthis_australis/12471747.jpeg,i
9,species/mollusks/sepioteuthis_australis/12735113.jpeg,q
10,species/mollusks/sepioteuthis_australis/12885898.jpeg,o
11,species/mollusks/sepioteuthis_australis/13685885.jpeg,o
12,species/mollusks/sepioteuthis_australis/13856004.jpeg,o
13,species/mollusks/sepioteuthis_australis/14682021.jpg,o
14,species/mollusks/sepioteuthis_australis/15305178.jpg,o
15,species/mollusks/sepioteuthis_australis/15339758.jpeg,o
16,species/mollusks/sepioteuthis_australis/16164265.jpg,q
17,species/mollusks/sepioteuthis_australis/16545787.jpeg,i
18,species/mollusks/sepioteuthis_australis/16896190.png,q
19,species/mollusks/sepioteuthis_australis/16934065.png,o
20,species/mollusks/sepioteuthis_australis/17088863.jpeg,q
21,species/mollusks/sepioteuthis_australis/17208992.jpeg,o
22,species/mollusks/sepioteuthis_australis/17273790.jpeg,q
23,species/mollusks/sepioteuthis_australis/17614859.jpg,q
24,species/mollusks/sepioteuthis_australis/17614886.jpg,q
25,species/mollusks/sepioteuthis_australis/17762322.jpeg,q
26,species/mollusks/sepioteuthis_australis/18053698.jpg,q
27,species/mollusks/sepioteuthis_australis/18071382.jpg,q
28,species/mollusks/sepioteuthis_australis/18124566.jpeg,q
29,species/mollusks/sepioteuthis_australis/18368209.jpeg,q
30,species/mollusks/sepioteuthis_australis/18679577.jpeg,o
31,species/mollusks/sepioteuthis_australis/18945170.jpg,o
32,species/mollusks/sepioteuthis_australis/19025119.jpeg,o
33,species/mollusks/sepioteuthis_australis/19132568.jpeg,o
34,species/mollusks/sepioteuthis_australis/19283692.jpeg,o
35,species/mollusks/sepioteuthis_australis/19284034.jpeg,o
36,species/mollusks/sepioteuthis_australis/19300167.jpg,q
37,species/mollusks/sepioteuthis_australis/19352564.jpeg,i
38,species/mollusks/sepioteuthis_australis/19366787.jpg,o
39,species/mollusks/sepioteuthis_australis/19457998.jpg,q
40,species/mollusks/sepioteuthis_australis/19607445.jpg,q
41,species/mollusks/sepioteuthis_australis/19626145.jpg,o
42,species/mollusks/sepioteuthis_australis/19754304.jpg,o
43,species/mollusks/sepioteuthis_australis/19786739.jpg,o
44,species/mollusks/sepioteuthis_australis/20051768.png,q
45,species/mollusks/sepioteuthis_australis/20072218.jpg,o
46,species/mollusks/sepioteuthis_australis/20312025.jpg,q
47,species/mollusks/sepioteuthis_australis/20318080.jpg,o
48,species/mollusks/sepioteuthis_australis/20362251.jpeg,o
49,species/mollusks/sepioteuthis_australis/20452603.jpeg,q
50,species/mollusks/sepioteuthis_australis/20898250.jpeg,o
51,species/mollusks/sepioteuthis_australis/21305389.jpeg,o
52,species/mollusks/sepioteuthis_australis/21354965.jpeg,q
53,species/mollusks/sepioteuthis_australis/21381542.png,q
54,species/mollusks/sepioteuthis_australis/21535571.jpg,q
55,species/mollusks/sepioteuthis_australis/21660471.jpg,o
56,species/mollusks/sepioteuthis_australis/22311135.jpeg,q
57,species/mollusks/sepioteuthis_australis/22696292.jpeg,o
58,species/mollusks/sepioteuthis_australis/24159068.jpg,q
59,species/mollusks/sepioteuthis_australis/24425553.jpeg,q
60,species/mollusks/sepioteuthis_australis/25054019.jpg,q
61,species/mollusks/sepioteuthis_australis/25147747.jpeg,o
62,species/mollusks/sepioteuthis_australis/25489932.jpg,o
63,species/mollusks/sepioteuthis_australis/26037646.jpg,o
64,species/mollusks/sepioteuthis_australis/26248287.jpg,o
65,species/mollusks/sepioteuthis_australis/27249023.jpg,q
66,species/mollusks/sepioteuthis_australis/27674101.jpg,o
67,species/mollusks/sepioteuthis_australis/27674588.jpg,o
68,species/mollusks/sepioteuthis_australis/27797012.jpeg,o
