index,image_location,decision
0,data/iNaturalist_species_images/skipper_caterpillar/000-376471.JPG,q
1,data/iNaturalist_species_images/skipper_caterpillar/001-657992.jpg,q
2,data/iNaturalist_species_images/skipper_caterpillar/002-657993.jpg,q
3,data/iNaturalist_species_images/skipper_caterpillar/003-1983884.jpg,q
4,data/iNaturalist_species_images/skipper_caterpillar/004-2385220.JPG,o
5,data/iNaturalist_species_images/skipper_caterpillar/005-2675876.jpeg,o
6,data/iNaturalist_species_images/skipper_caterpillar/006-4213532.jpg,o
7,data/iNaturalist_species_images/skipper_caterpillar/007-4784939.png,o
8,data/iNaturalist_species_images/skipper_caterpillar/008-4927169.png,o
9,data/iNaturalist_species_images/skipper_caterpillar/009-5521526.jpg,q
10,data/iNaturalist_species_images/skipper_caterpillar/010-6392210.jpeg,o
11,data/iNaturalist_species_images/skipper_caterpillar/011-7733881.jpg,o
12,data/iNaturalist_species_images/skipper_caterpillar/012-8567352.jpeg,q
13,data/iNaturalist_species_images/skipper_caterpillar/013-8725601.jpg,o
14,data/iNaturalist_species_images/skipper_caterpillar/014-8777158.jpeg,o
15,data/iNaturalist_species_images/skipper_caterpillar/015-9047575.jpg,o
16,data/iNaturalist_species_images/skipper_caterpillar/016-9064220.jpg,o
17,data/iNaturalist_species_images/skipper_caterpillar/017-9104774.jpg,o
18,data/iNaturalist_species_images/skipper_caterpillar/018-9211795.jpeg,o
19,data/iNaturalist_species_images/skipper_caterpillar/019-9417707.jpeg,q
20,data/iNaturalist_species_images/skipper_caterpillar/020-9817978.jpeg,o
21,data/iNaturalist_species_images/skipper_caterpillar/021-10418022.jpeg,o
22,data/iNaturalist_species_images/skipper_caterpillar/022-10451343.jpeg,o
23,data/iNaturalist_species_images/skipper_caterpillar/023-10637101.jpg,o
24,data/iNaturalist_species_images/skipper_caterpillar/024-11010576.jpeg,q
25,data/iNaturalist_species_images/skipper_caterpillar/025-11145587.jpeg,o
26,data/iNaturalist_species_images/skipper_caterpillar/026-11228142.jpg,q
27,data/iNaturalist_species_images/skipper_caterpillar/027-11312935.jpg,o
28,data/iNaturalist_species_images/skipper_caterpillar/028-11541294.jpg,q
29,data/iNaturalist_species_images/skipper_caterpillar/029-11564786.jpg,o
30,data/iNaturalist_species_images/skipper_caterpillar/030-12831500.jpg,o
31,data/iNaturalist_species_images/skipper_caterpillar/031-13002979.jpg,o
32,data/iNaturalist_species_images/skipper_caterpillar/032-15233259.jpg,q
33,data/iNaturalist_species_images/skipper_caterpillar/033-15256826.jpg,o
34,data/iNaturalist_species_images/skipper_caterpillar/034-15431719.jpg,o
35,data/iNaturalist_species_images/skipper_caterpillar/035-18866618.jpg,o
36,data/iNaturalist_species_images/skipper_caterpillar/036-18902991.jpg,o
37,data/iNaturalist_species_images/skipper_caterpillar/037-19050893.jpg,o
38,data/iNaturalist_species_images/skipper_caterpillar/038-19060676.jpg,o
39,data/iNaturalist_species_images/skipper_caterpillar/039-19349511.jpeg,o
40,data/iNaturalist_species_images/skipper_caterpillar/040-19582012.jpeg,o
41,data/iNaturalist_species_images/skipper_caterpillar/041-20110926.jpeg,q
42,data/iNaturalist_species_images/skipper_caterpillar/042-20667765.jpeg,q
43,data/iNaturalist_species_images/skipper_caterpillar/043-22572601.jpg,q
44,data/iNaturalist_species_images/skipper_caterpillar/044-22573542.jpg,q
45,data/iNaturalist_species_images/skipper_caterpillar/045-24151139.jpg,o
46,data/iNaturalist_species_images/skipper_caterpillar/046-25929562.jpg,q
47,data/iNaturalist_species_images/skipper_caterpillar/047-26341543.jpg,o
48,data/iNaturalist_species_images/skipper_caterpillar/048-26491929.jpg,o
49,data/iNaturalist_species_images/skipper_caterpillar/049-26681966.jpg,q
50,data/iNaturalist_species_images/skipper_caterpillar/050-27024902.jpg,o
51,data/iNaturalist_species_images/skipper_caterpillar/051-27069739.jpeg,o
52,data/iNaturalist_species_images/skipper_caterpillar/052-28168301.jpg,o
53,data/iNaturalist_species_images/skipper_caterpillar/053-29163456.jpg,q
54,data/iNaturalist_species_images/skipper_caterpillar/054-29404405.jpeg,q
55,data/iNaturalist_species_images/skipper_caterpillar/055-29881204.jpeg,o
56,data/iNaturalist_species_images/skipper_caterpillar/056-31477409.jpg,q
57,data/iNaturalist_species_images/skipper_caterpillar/057-31911684.jpg,q
58,data/iNaturalist_species_images/skipper_caterpillar/058-34707905.jpg,q
59,data/iNaturalist_species_images/skipper_caterpillar/059-35691814.jpeg,o
60,data/iNaturalist_species_images/skipper_caterpillar/060-40066188.jpeg,o
61,data/iNaturalist_species_images/skipper_caterpillar/061-40432455.jpeg,o
62,data/iNaturalist_species_images/skipper_caterpillar/062-40931485.jpg,o
63,data/iNaturalist_species_images/skipper_caterpillar/063-41867675.jpg,o
64,data/iNaturalist_species_images/skipper_caterpillar/064-42759255.jpg,o
65,data/iNaturalist_species_images/skipper_caterpillar/065-45114645.jpg,o
66,data/iNaturalist_species_images/skipper_caterpillar/066-45114721.jpg,o
67,data/iNaturalist_species_images/skipper_caterpillar/067-45901080.jpg,o
68,data/iNaturalist_species_images/skipper_caterpillar/068-46131014.jpg,o
69,data/iNaturalist_species_images/skipper_caterpillar/069-46274088.jpg,q
70,data/iNaturalist_species_images/skipper_caterpillar/070-46553546.jpeg,o
71,data/iNaturalist_species_images/skipper_caterpillar/071-47256325.jpeg,o
72,data/iNaturalist_species_images/skipper_caterpillar/072-48224405.jpg,o
73,data/iNaturalist_species_images/skipper_caterpillar/073-49490864.jpeg,o
74,data/iNaturalist_species_images/skipper_caterpillar/074-49782772.jpg,o
75,data/iNaturalist_species_images/skipper_caterpillar/075-50913050.jpeg,o
76,data/iNaturalist_species_images/skipper_caterpillar/076-51336607.jpg,o
77,data/iNaturalist_species_images/skipper_caterpillar/077-51565711.jpeg,q
78,data/iNaturalist_species_images/skipper_caterpillar/078-53091572.jpeg,o
79,data/iNaturalist_species_images/skipper_caterpillar/079-53627604.jpeg,q
80,data/iNaturalist_species_images/skipper_caterpillar/080-54205515.jpg,o
81,data/iNaturalist_species_images/skipper_caterpillar/081-55431100.jpg,q
82,data/iNaturalist_species_images/skipper_caterpillar/082-55439055.jpg,q
83,data/iNaturalist_species_images/skipper_caterpillar/083-55770116.jpg,q
84,data/iNaturalist_species_images/skipper_caterpillar/084-55869780.jpg,o
85,data/iNaturalist_species_images/skipper_caterpillar/085-55870395.jpg,o
86,data/iNaturalist_species_images/skipper_caterpillar/086-55873461.jpeg,o
87,data/iNaturalist_species_images/skipper_caterpillar/087-56760394.jpg,q
88,data/iNaturalist_species_images/skipper_caterpillar/088-57022377.jpeg,q
89,data/iNaturalist_species_images/skipper_caterpillar/089-58814205.jpg,o
90,data/iNaturalist_species_images/skipper_caterpillar/090-59615417.jpg,q
91,data/iNaturalist_species_images/skipper_caterpillar/091-59615711.jpg,q
92,data/iNaturalist_species_images/skipper_caterpillar/092-59616015.jpg,q
93,data/iNaturalist_species_images/skipper_caterpillar/093-59616091.jpg,q
94,data/iNaturalist_species_images/skipper_caterpillar/094-60941547.jpg,q
95,data/iNaturalist_species_images/skipper_caterpillar/095-60941677.jpg,q
96,data/iNaturalist_species_images/skipper_caterpillar/096-61587006.jpg,q
97,data/iNaturalist_species_images/skipper_caterpillar/097-62208310.jpg,i
98,data/iNaturalist_species_images/skipper_caterpillar/098-61934871.jpg,q
99,data/iNaturalist_species_images/skipper_caterpillar/099-62292413.jpeg,o
100,data/iNaturalist_species_images/skipper_caterpillar/100-67278113.jpg,q
101,data/iNaturalist_species_images/skipper_caterpillar/101-70821241.jpg,o
102,data/iNaturalist_species_images/skipper_caterpillar/102-76034410.jpeg,o
103,data/iNaturalist_species_images/skipper_caterpillar/103-77182816.jpg,q
104,data/iNaturalist_species_images/skipper_caterpillar/104-77564705.jpg,q
105,data/iNaturalist_species_images/skipper_caterpillar/105-78183181.jpeg,o
106,data/iNaturalist_species_images/skipper_caterpillar/106-79326835.jpeg,o
107,data/iNaturalist_species_images/skipper_caterpillar/107-80042136.jpg,o
108,data/iNaturalist_species_images/skipper_caterpillar/108-83912886.jpg,o
109,data/iNaturalist_species_images/skipper_caterpillar/109-84555286.jpg,o
110,data/iNaturalist_species_images/skipper_caterpillar/110-86274345.jpg,o
111,data/iNaturalist_species_images/skipper_caterpillar/111-89088060.jpeg,q
112,data/iNaturalist_species_images/skipper_caterpillar/112-89124638.jpeg,q
113,data/iNaturalist_species_images/skipper_caterpillar/113-89210039.jpeg,q
114,data/iNaturalist_species_images/skipper_caterpillar/114-90184483.jpg,o
115,data/iNaturalist_species_images/skipper_caterpillar/115-90795044.jpg,q
116,data/iNaturalist_species_images/skipper_caterpillar/116-90938757.jpg,o
117,data/iNaturalist_species_images/skipper_caterpillar/117-91672377.jpg,q
118,data/iNaturalist_species_images/skipper_caterpillar/118-92385420.jpg,o
119,data/iNaturalist_species_images/skipper_caterpillar/119-93765425.jpeg,q
120,data/iNaturalist_species_images/skipper_caterpillar/120-93960795.jpeg,q
121,data/iNaturalist_species_images/skipper_caterpillar/121-94591748.jpeg,o
122,data/iNaturalist_species_images/skipper_caterpillar/122-94652492.jpg,o
123,data/iNaturalist_species_images/skipper_caterpillar/123-95393794.jpg,o
124,data/iNaturalist_species_images/skipper_caterpillar/124-95517270.jpg,o
125,data/iNaturalist_species_images/skipper_caterpillar/125-96208446.jpeg,o
126,data/iNaturalist_species_images/skipper_caterpillar/126-96215783.jpg,o
127,data/iNaturalist_species_images/skipper_caterpillar/127-97247063.jpg,o
