index,image_location,decision
0,Food-101/images/spaghetti_bolognese/2146026.jpg,i
1,Food-101/images/spaghetti_bolognese/2605155.jpg,i
2,Food-101/images/spaghetti_bolognese/3778260.jpg,i
3,Food-101/images/spaghetti_bolognese/1685321.jpg,i
4,Food-101/images/spaghetti_bolognese/3109585.jpg,o
5,Food-101/images/spaghetti_bolognese/607575.jpg,u
6,Food-101/images/spaghetti_bolognese/2327770.jpg,i
7,Food-101/images/spaghetti_bolognese/1792464.jpg,i
8,Food-101/images/spaghetti_bolognese/3709070.jpg,i
9,Food-101/images/spaghetti_bolognese/2842803.jpg,i
10,Food-101/images/spaghetti_bolognese/2541336.jpg,i
11,Food-101/images/spaghetti_bolognese/695560.jpg,i
12,Food-101/images/spaghetti_bolognese/804508.jpg,i
13,Food-101/images/spaghetti_bolognese/2805671.jpg,i
14,Food-101/images/spaghetti_bolognese/3398111.jpg,o
15,Food-101/images/spaghetti_bolognese/3206839.jpg,i
16,Food-101/images/spaghetti_bolognese/2333273.jpg,i
17,Food-101/images/spaghetti_bolognese/2344380.jpg,i
18,Food-101/images/spaghetti_bolognese/1914631.jpg,i
19,Food-101/images/spaghetti_bolognese/1770685.jpg,i
20,Food-101/images/spaghetti_bolognese/2734215.jpg,i
21,Food-101/images/spaghetti_bolognese/1680746.jpg,i
22,Food-101/images/spaghetti_bolognese/1887125.jpg,i
23,Food-101/images/spaghetti_bolognese/664689.jpg,i
24,Food-101/images/spaghetti_bolognese/3052898.jpg,i
25,Food-101/images/spaghetti_bolognese/365781.jpg,i
26,Food-101/images/spaghetti_bolognese/759740.jpg,o
27,Food-101/images/spaghetti_bolognese/2282050.jpg,i
28,Food-101/images/spaghetti_bolognese/2040008.jpg,i
29,Food-101/images/spaghetti_bolognese/86424.jpg,i
30,Food-101/images/spaghetti_bolognese/842161.jpg,i
31,Food-101/images/spaghetti_bolognese/1145244.jpg,i
32,Food-101/images/spaghetti_bolognese/3506379.jpg,i
33,Food-101/images/spaghetti_bolognese/645808.jpg,i
34,Food-101/images/spaghetti_bolognese/2199298.jpg,i
35,Food-101/images/spaghetti_bolognese/1800348.jpg,i
36,Food-101/images/spaghetti_bolognese/3888024.jpg,i
37,Food-101/images/spaghetti_bolognese/908724.jpg,i
38,Food-101/images/spaghetti_bolognese/3902375.jpg,i
39,Food-101/images/spaghetti_bolognese/1994629.jpg,i
40,Food-101/images/spaghetti_bolognese/2367371.jpg,i
41,Food-101/images/spaghetti_bolognese/257204.jpg,i
42,Food-101/images/spaghetti_bolognese/2333674.jpg,i
43,Food-101/images/spaghetti_bolognese/2778801.jpg,i
44,Food-101/images/spaghetti_bolognese/1743812.jpg,i
45,Food-101/images/spaghetti_bolognese/1859749.jpg,i
46,Food-101/images/spaghetti_bolognese/3866119.jpg,i
47,Food-101/images/spaghetti_bolognese/3454709.jpg,i
48,Food-101/images/spaghetti_bolognese/2078332.jpg,i
49,Food-101/images/spaghetti_bolognese/1173922.jpg,i
50,Food-101/images/spaghetti_bolognese/3807241.jpg,i
51,Food-101/images/spaghetti_bolognese/2712055.jpg,i
52,Food-101/images/spaghetti_bolognese/3074475.jpg,i
53,Food-101/images/spaghetti_bolognese/991183.jpg,i
54,Food-101/images/spaghetti_bolognese/1005431.jpg,i
55,Food-101/images/spaghetti_bolognese/453909.jpg,o
56,Food-101/images/spaghetti_bolognese/2773286.jpg,o
57,Food-101/images/spaghetti_bolognese/1106129.jpg,i
58,Food-101/images/spaghetti_bolognese/3698497.jpg,i
59,Food-101/images/spaghetti_bolognese/2780313.jpg,i
60,Food-101/images/spaghetti_bolognese/1701293.jpg,i
