index,image_location,decision
0,species/plants/streptopus_lanceolatus/10209695.jpg,o
1,species/plants/streptopus_lanceolatus/1090564.JPG,o
2,species/plants/streptopus_lanceolatus/1093605.jpg,o
3,species/plants/streptopus_lanceolatus/11440489.jpg,o
4,species/plants/streptopus_lanceolatus/11457266.jpeg,o
5,species/plants/streptopus_lanceolatus/1165439.JPG,o
6,species/plants/streptopus_lanceolatus/12193554.jpg,o
7,species/plants/streptopus_lanceolatus/12262128.jpeg,o
8,species/plants/streptopus_lanceolatus/12394362.jpg,o
9,species/plants/streptopus_lanceolatus/12410134.jpeg,o
10,species/plants/streptopus_lanceolatus/12461811.jpeg,o
11,species/plants/streptopus_lanceolatus/12487996.jpeg,o
12,species/plants/streptopus_lanceolatus/12520589.jpg,u
13,species/plants/streptopus_lanceolatus/12543600.jpeg,o
14,species/plants/streptopus_lanceolatus/12560047.jpg,o
15,species/plants/streptopus_lanceolatus/12584348.jpg,o
16,species/plants/streptopus_lanceolatus/12591147.jpg,o
17,species/plants/streptopus_lanceolatus/12625186.jpeg,o
18,species/plants/streptopus_lanceolatus/12648436.jpeg,o
19,species/plants/streptopus_lanceolatus/12660116.jpg,o
20,species/plants/streptopus_lanceolatus/12661185.jpg,o
21,species/plants/streptopus_lanceolatus/12663954.jpg,o
22,species/plants/streptopus_lanceolatus/12666465.jpeg,o
23,species/plants/streptopus_lanceolatus/12669185.jpeg,o
24,species/plants/streptopus_lanceolatus/12712499.jpg,o
25,species/plants/streptopus_lanceolatus/12713393.jpeg,o
26,species/plants/streptopus_lanceolatus/12715933.jpeg,o
27,species/plants/streptopus_lanceolatus/12736532.jpeg,o
28,species/plants/streptopus_lanceolatus/12740634.jpg,o
29,species/plants/streptopus_lanceolatus/12743318.jpeg,o
30,species/plants/streptopus_lanceolatus/12778781.jpg,o
31,species/plants/streptopus_lanceolatus/12780369.jpg,o
32,species/plants/streptopus_lanceolatus/12781675.jpeg,o
33,species/plants/streptopus_lanceolatus/12781943.jpg,o
34,species/plants/streptopus_lanceolatus/12806622.jpeg,o
35,species/plants/streptopus_lanceolatus/12815433.jpeg,o
36,species/plants/streptopus_lanceolatus/12815493.jpeg,o
37,species/plants/streptopus_lanceolatus/12835166.jpg,o
38,species/plants/streptopus_lanceolatus/12842201.jpg,o
39,species/plants/streptopus_lanceolatus/12866667.jpeg,o
40,species/plants/streptopus_lanceolatus/12879398.jpg,o
41,species/plants/streptopus_lanceolatus/12899814.jpg,o
42,species/plants/streptopus_lanceolatus/12904162.jpg,o
43,species/plants/streptopus_lanceolatus/12909725.jpg,o
44,species/plants/streptopus_lanceolatus/12911151.jpg,o
45,species/plants/streptopus_lanceolatus/12913619.jpg,o
46,species/plants/streptopus_lanceolatus/12930303.jpeg,o
47,species/plants/streptopus_lanceolatus/12940907.jpeg,o
48,species/plants/streptopus_lanceolatus/12956536.jpeg,o
49,species/plants/streptopus_lanceolatus/12969141.jpeg,o
50,species/plants/streptopus_lanceolatus/12971500.jpeg,o
51,species/plants/streptopus_lanceolatus/13003518.jpeg,o
52,species/plants/streptopus_lanceolatus/13009191.jpeg,o
53,species/plants/streptopus_lanceolatus/13032355.jpg,o
54,species/plants/streptopus_lanceolatus/13032360.jpg,o
55,species/plants/streptopus_lanceolatus/13072169.jpg,o
56,species/plants/streptopus_lanceolatus/13073442.jpg,o
57,species/plants/streptopus_lanceolatus/13076286.jpeg,o
58,species/plants/streptopus_lanceolatus/13078507.jpeg,o
59,species/plants/streptopus_lanceolatus/13080255.jpg,o
