index,image_location,decision
0,species/mammals/tapirus_bairdii/10103742.jpg,o
1,species/mammals/tapirus_bairdii/10122471.jpeg,o
2,species/mammals/tapirus_bairdii/10146943.jpg,o
3,species/mammals/tapirus_bairdii/10228448.jpg,o
4,species/mammals/tapirus_bairdii/10441784.jpeg,o
5,species/mammals/tapirus_bairdii/105424.JPG,q
6,species/mammals/tapirus_bairdii/10780542.jpeg,o
7,species/mammals/tapirus_bairdii/1129407.JPG,o
8,species/mammals/tapirus_bairdii/1129408.JPG,q
9,species/mammals/tapirus_bairdii/1129412.JPG,o
10,species/mammals/tapirus_bairdii/1129414.JPG,o
11,species/mammals/tapirus_bairdii/1129415.JPG,q
12,species/mammals/tapirus_bairdii/12424358.jpeg,o
13,species/mammals/tapirus_bairdii/12424614.jpeg,o
14,species/mammals/tapirus_bairdii/12538154.jpeg,u
15,species/mammals/tapirus_bairdii/1266574.jpg,o
16,species/mammals/tapirus_bairdii/12714874.jpg,o
17,species/mammals/tapirus_bairdii/1275831.jpg,o
18,species/mammals/tapirus_bairdii/1279466.jpg,o
19,species/mammals/tapirus_bairdii/12924877.jpg,o
20,species/mammals/tapirus_bairdii/12945714.jpg,o
21,species/mammals/tapirus_bairdii/13149733.jpeg,o
22,species/mammals/tapirus_bairdii/132373.JPG,o
23,species/mammals/tapirus_bairdii/13491459.jpg,o
24,species/mammals/tapirus_bairdii/13702303.jpg,o
25,species/mammals/tapirus_bairdii/13704458.jpeg,o
26,species/mammals/tapirus_bairdii/13949087.jpg,o
27,species/mammals/tapirus_bairdii/14005578.jpg,o
28,species/mammals/tapirus_bairdii/1409716.JPG,o
29,species/mammals/tapirus_bairdii/1411987.jpg,o
30,species/mammals/tapirus_bairdii/14171702.jpeg,o
31,species/mammals/tapirus_bairdii/14171741.jpeg,q
32,species/mammals/tapirus_bairdii/14177240.jpeg,o
33,species/mammals/tapirus_bairdii/14561791.jpg,o
34,species/mammals/tapirus_bairdii/14831244.jpg,o
35,species/mammals/tapirus_bairdii/15255658.jpeg,q
