index,image_location,decision
0,species/amphibians/triturus_marmoratus/10615360.jpeg,o
1,species/amphibians/triturus_marmoratus/10635843.jpeg,o
2,species/amphibians/triturus_marmoratus/1094165.JPG,o
3,species/amphibians/triturus_marmoratus/1115361.jpg,o
4,species/amphibians/triturus_marmoratus/1129138.jpg,o
5,species/amphibians/triturus_marmoratus/11895765.jpg,o
6,species/amphibians/triturus_marmoratus/12201714.jpeg,o
7,species/amphibians/triturus_marmoratus/12521434.jpeg,o
8,species/amphibians/triturus_marmoratus/12871364.jpeg,o
9,species/amphibians/triturus_marmoratus/12966074.jpg,o
10,species/amphibians/triturus_marmoratus/12977092.jpg,o
11,species/amphibians/triturus_marmoratus/13034364.jpg,o
12,species/amphibians/triturus_marmoratus/13345318.jpg,o
13,species/amphibians/triturus_marmoratus/1387909.JPG,o
14,species/amphibians/triturus_marmoratus/14020725.jpg,u
15,species/amphibians/triturus_marmoratus/14199219.jpg,o
16,species/amphibians/triturus_marmoratus/14408944.jpeg,o
17,species/amphibians/triturus_marmoratus/14657201.jpeg,o
18,species/amphibians/triturus_marmoratus/14657363.jpeg,o
19,species/amphibians/triturus_marmoratus/14674318.jpeg,o
20,species/amphibians/triturus_marmoratus/14674431.jpeg,o
21,species/amphibians/triturus_marmoratus/14968402.jpg,o
22,species/amphibians/triturus_marmoratus/15229366.jpeg,o
23,species/amphibians/triturus_marmoratus/15346514.jpg,u
24,species/amphibians/triturus_marmoratus/15349686.jpeg,u
25,species/amphibians/triturus_marmoratus/15468395.jpeg,o
26,species/amphibians/triturus_marmoratus/15553040.jpg,o
27,species/amphibians/triturus_marmoratus/15581605.jpeg,o
28,species/amphibians/triturus_marmoratus/15760584.jpeg,o
29,species/amphibians/triturus_marmoratus/15780597.png,o
30,species/amphibians/triturus_marmoratus/15976459.jpeg,o
31,species/amphibians/triturus_marmoratus/16029879.jpg,o
32,species/amphibians/triturus_marmoratus/16384855.jpg,o
33,species/amphibians/triturus_marmoratus/16637421.jpg,o
34,species/amphibians/triturus_marmoratus/16698178.jpg,o
35,species/amphibians/triturus_marmoratus/16789688.jpeg,o
36,species/amphibians/triturus_marmoratus/16975573.jpg,o
37,species/amphibians/triturus_marmoratus/16991969.jpeg,o
38,species/amphibians/triturus_marmoratus/1718224.jpg,o
39,species/amphibians/triturus_marmoratus/17256214.jpeg,o
40,species/amphibians/triturus_marmoratus/17530787.png,o
41,species/amphibians/triturus_marmoratus/17644109.jpg,o
42,species/amphibians/triturus_marmoratus/17708626.jpg,o
43,species/amphibians/triturus_marmoratus/17954484.jpg,o
44,species/amphibians/triturus_marmoratus/18038176.jpg,o
45,species/amphibians/triturus_marmoratus/18336710.jpg,o
46,species/amphibians/triturus_marmoratus/18438059.jpeg,o
47,species/amphibians/triturus_marmoratus/18444299.jpeg,o
48,species/amphibians/triturus_marmoratus/18497552.jpg,o
49,species/amphibians/triturus_marmoratus/18681619.jpg,o
50,species/amphibians/triturus_marmoratus/18751923.jpeg,o
51,species/amphibians/triturus_marmoratus/18773192.jpg,o
52,species/amphibians/triturus_marmoratus/18919147.jpeg,o
53,species/amphibians/triturus_marmoratus/19035599.jpeg,o
54,species/amphibians/triturus_marmoratus/19271368.jpeg,o
55,species/amphibians/triturus_marmoratus/19285787.jpg,o
56,species/amphibians/triturus_marmoratus/19292798.jpg,o
57,species/amphibians/triturus_marmoratus/19470473.jpg,o
58,species/amphibians/triturus_marmoratus/19552332.jpg,o
59,species/amphibians/triturus_marmoratus/19566596.jpg,o
60,species/amphibians/triturus_marmoratus/19641042.jpeg,o
61,species/amphibians/triturus_marmoratus/19732054.jpg,o
62,species/amphibians/triturus_marmoratus/20092231.jpeg,o
63,species/amphibians/triturus_marmoratus/20100505.jpeg,o
64,species/amphibians/triturus_marmoratus/20103102.jpeg,o
65,species/amphibians/triturus_marmoratus/20107198.jpeg,o
66,species/amphibians/triturus_marmoratus/20282101.jpg,o
67,species/amphibians/triturus_marmoratus/20704843.jpeg,o
68,species/amphibians/triturus_marmoratus/20705398.jpeg,o
69,species/amphibians/triturus_marmoratus/20731936.jpg,o
70,species/amphibians/triturus_marmoratus/20731937.jpg,o
71,species/amphibians/triturus_marmoratus/20995372.jpeg,o
72,species/amphibians/triturus_marmoratus/21063318.jpeg,o
73,species/amphibians/triturus_marmoratus/21080217.jpg,o
74,species/amphibians/triturus_marmoratus/21173771.jpeg,o
75,species/amphibians/triturus_marmoratus/21328785.jpg,o
76,species/amphibians/triturus_marmoratus/21790856.jpeg,o
77,species/amphibians/triturus_marmoratus/22405402.jpeg,o
78,species/amphibians/triturus_marmoratus/22607415.jpeg,o
79,species/amphibians/triturus_marmoratus/22636663.jpeg,o
80,species/amphibians/triturus_marmoratus/22670670.jpg,o
81,species/amphibians/triturus_marmoratus/22811071.jpeg,o
82,species/amphibians/triturus_marmoratus/22811460.jpeg,u
83,species/amphibians/triturus_marmoratus/22812613.jpeg,o
84,species/amphibians/triturus_marmoratus/22873579.jpeg,o
85,species/amphibians/triturus_marmoratus/2307438.jpg,o
86,species/amphibians/triturus_marmoratus/23157923.jpg,o
87,species/amphibians/triturus_marmoratus/23162479.jpg,o
88,species/amphibians/triturus_marmoratus/24234829.jpeg,o
89,species/amphibians/triturus_marmoratus/24267965.jpg,o
90,species/amphibians/triturus_marmoratus/24286491.jpeg,o
91,species/amphibians/triturus_marmoratus/24380196.jpeg,o
92,species/amphibians/triturus_marmoratus/24426908.jpeg,o
93,species/amphibians/triturus_marmoratus/24584467.jpg,o
94,species/amphibians/triturus_marmoratus/24606477.jpeg,o
95,species/amphibians/triturus_marmoratus/2464974.JPG,o
96,species/amphibians/triturus_marmoratus/24879601.jpeg,o
97,species/amphibians/triturus_marmoratus/24991130.jpeg,o
98,species/amphibians/triturus_marmoratus/24991135.jpeg,u
99,species/amphibians/triturus_marmoratus/25133328.jpg,o
100,species/amphibians/triturus_marmoratus/25165281.jpeg,o
101,species/amphibians/triturus_marmoratus/25216382.jpg,o
102,species/amphibians/triturus_marmoratus/25308306.jpg,o
103,species/amphibians/triturus_marmoratus/25356465.jpg,o
104,species/amphibians/triturus_marmoratus/25356473.jpg,o
