index,image_location,decision
0,species/mammals/tursiops_aduncus/1047859.JPG,o
1,species/mammals/tursiops_aduncus/1047973.JPG,o
2,species/mammals/tursiops_aduncus/1049650.jpg,o
3,species/mammals/tursiops_aduncus/10656479.jpg,o
4,species/mammals/tursiops_aduncus/10954905.jpg,o
5,species/mammals/tursiops_aduncus/10973534.jpg,o
6,species/mammals/tursiops_aduncus/11071235.jpg,o
7,species/mammals/tursiops_aduncus/11071261.jpg,o
8,species/mammals/tursiops_aduncus/11071290.jpg,i
9,species/mammals/tursiops_aduncus/11071348.jpg,o
10,species/mammals/tursiops_aduncus/11071434.jpg,o
11,species/mammals/tursiops_aduncus/11071461.jpg,o
12,species/mammals/tursiops_aduncus/11079847.jpg,o
13,species/mammals/tursiops_aduncus/1117683.JPG,o
14,species/mammals/tursiops_aduncus/1122489.JPG,o
15,species/mammals/tursiops_aduncus/1122498.JPG,o
16,species/mammals/tursiops_aduncus/11317820.jpg,o
17,species/mammals/tursiops_aduncus/11478094.jpg,o
18,species/mammals/tursiops_aduncus/12568829.jpeg,o
19,species/mammals/tursiops_aduncus/12790701.jpeg,o
20,species/mammals/tursiops_aduncus/1454719.JPG,o
21,species/mammals/tursiops_aduncus/14817746.jpg,o
22,species/mammals/tursiops_aduncus/1519771.JPG,o
23,species/mammals/tursiops_aduncus/16580059.jpeg,o
24,species/mammals/tursiops_aduncus/17306835.jpeg,o
25,species/mammals/tursiops_aduncus/18766596.jpg,o
26,species/mammals/tursiops_aduncus/18938587.jpg,o
27,species/mammals/tursiops_aduncus/19002654.jpg,o
28,species/mammals/tursiops_aduncus/19067350.jpeg,o
29,species/mammals/tursiops_aduncus/19132078.jpeg,o
30,species/mammals/tursiops_aduncus/19352348.png,o
31,species/mammals/tursiops_aduncus/20179111.jpeg,o
32,species/mammals/tursiops_aduncus/20553036.jpeg,o
33,species/mammals/tursiops_aduncus/21154843.jpeg,o
34,species/mammals/tursiops_aduncus/21351819.jpeg,o
35,species/mammals/tursiops_aduncus/21980205.jpeg,o
36,species/mammals/tursiops_aduncus/22853568.jpg,u
37,species/mammals/tursiops_aduncus/23040288.jpeg,o
38,species/mammals/tursiops_aduncus/23889832.jpeg,o
39,species/mammals/tursiops_aduncus/24159194.jpg,o
40,species/mammals/tursiops_aduncus/24357048.jpg,u
41,species/mammals/tursiops_aduncus/26163665.jpeg,o
42,species/mammals/tursiops_aduncus/26221642.jpeg,o
43,species/mammals/tursiops_aduncus/26285947.jpg,o
44,species/mammals/tursiops_aduncus/26326270.jpg,o
45,species/mammals/tursiops_aduncus/26802079.jpg,u
46,species/mammals/tursiops_aduncus/27299795.jpg,u
47,species/mammals/tursiops_aduncus/2739463.JPG,o
48,species/mammals/tursiops_aduncus/2739561.JPG,o
49,species/mammals/tursiops_aduncus/2824276.JPG,o
50,species/mammals/tursiops_aduncus/28282748.jpg,o
51,species/mammals/tursiops_aduncus/28889239.jpg,o
52,species/mammals/tursiops_aduncus/29772471.jpeg,o
53,species/mammals/tursiops_aduncus/29801788.jpg,o
54,species/mammals/tursiops_aduncus/29803902.jpg,o
55,species/mammals/tursiops_aduncus/30093798.jpeg,o
56,species/mammals/tursiops_aduncus/30494972.jpeg,o
57,species/mammals/tursiops_aduncus/31829529.jpeg,o
58,species/mammals/tursiops_aduncus/31983914.jpg,o
59,species/mammals/tursiops_aduncus/32102194.jpeg,o
60,species/mammals/tursiops_aduncus/33416119.jpg,u
61,species/mammals/tursiops_aduncus/33707106.jpg,o
62,species/mammals/tursiops_aduncus/34067555.jpeg,o
63,species/mammals/tursiops_aduncus/3432849.jpg,o
64,species/mammals/tursiops_aduncus/344021.jpg,o
65,species/mammals/tursiops_aduncus/35078431.jpg,q
66,species/mammals/tursiops_aduncus/361221.JPG,o
67,species/mammals/tursiops_aduncus/36450108.jpg,q
68,species/mammals/tursiops_aduncus/36529707.jpeg,o
69,species/mammals/tursiops_aduncus/36882368.jpg,u
70,species/mammals/tursiops_aduncus/37269906.jpg,u
71,species/mammals/tursiops_aduncus/37328184.jpg,o
72,species/mammals/tursiops_aduncus/37459956.jpeg,o
73,species/mammals/tursiops_aduncus/37514667.jpeg,u
