index,image_location,decision
0,species/plants/vaccinium_reticulatum/10014724.jpeg,o
1,species/plants/vaccinium_reticulatum/10143818.jpeg,o
2,species/plants/vaccinium_reticulatum/10870429.jpg,o
3,species/plants/vaccinium_reticulatum/11016843.jpg,u
4,species/plants/vaccinium_reticulatum/11373137.jpg,o
5,species/plants/vaccinium_reticulatum/11413487.jpeg,o
6,species/plants/vaccinium_reticulatum/11454645.jpg,o
7,species/plants/vaccinium_reticulatum/11454646.jpg,o
8,species/plants/vaccinium_reticulatum/11829575.jpg,o
9,species/plants/vaccinium_reticulatum/12474424.jpg,
10,species/plants/vaccinium_reticulatum/12474457.jpg,
11,species/plants/vaccinium_reticulatum/12485132.jpg,o
12,species/plants/vaccinium_reticulatum/12486363.jpeg,o
13,species/plants/vaccinium_reticulatum/12495212.jpeg,o
14,species/plants/vaccinium_reticulatum/1380340.jpg,o
15,species/plants/vaccinium_reticulatum/14090658.jpeg,
16,species/plants/vaccinium_reticulatum/14090700.jpeg,
17,species/plants/vaccinium_reticulatum/14090708.jpeg,o
18,species/plants/vaccinium_reticulatum/14295112.jpg,o
19,species/plants/vaccinium_reticulatum/14327408.jpeg,o
20,species/plants/vaccinium_reticulatum/14406028.jpg,o
21,species/plants/vaccinium_reticulatum/14534233.jpg,u
22,species/plants/vaccinium_reticulatum/14563702.jpg,u
23,species/plants/vaccinium_reticulatum/14799970.jpg,o
24,species/plants/vaccinium_reticulatum/1488385.jpg,o
25,species/plants/vaccinium_reticulatum/1489144.jpg,o
26,species/plants/vaccinium_reticulatum/1491913.jpg,o
27,species/plants/vaccinium_reticulatum/1492423.jpg,o
28,species/plants/vaccinium_reticulatum/1492541.jpg,u
29,species/plants/vaccinium_reticulatum/1492587.jpg,u
30,species/plants/vaccinium_reticulatum/1492860.jpg,o
31,species/plants/vaccinium_reticulatum/1493472.jpg,u
32,species/plants/vaccinium_reticulatum/1493477.jpg,u
33,species/plants/vaccinium_reticulatum/1493664.jpg,o
34,species/plants/vaccinium_reticulatum/1494188.jpg,o
35,species/plants/vaccinium_reticulatum/1494396.jpg,u
36,species/plants/vaccinium_reticulatum/1499601.jpg,o
37,species/plants/vaccinium_reticulatum/1499877.jpg,o
38,species/plants/vaccinium_reticulatum/15003031.jpg,o
39,species/plants/vaccinium_reticulatum/1500556.jpg,o
40,species/plants/vaccinium_reticulatum/15060704.jpeg,o
41,species/plants/vaccinium_reticulatum/15060706.jpeg,u
42,species/plants/vaccinium_reticulatum/15060707.jpeg,o
43,species/plants/vaccinium_reticulatum/1508386.jpg,
44,species/plants/vaccinium_reticulatum/1539295.jpg,o
45,species/plants/vaccinium_reticulatum/1539623.jpg,o
46,species/plants/vaccinium_reticulatum/15399089.jpg,
47,species/plants/vaccinium_reticulatum/15495108.jpg,
48,species/plants/vaccinium_reticulatum/15584.jpg,o
49,species/plants/vaccinium_reticulatum/15628002.jpg,
50,species/plants/vaccinium_reticulatum/16279627.jpeg,o
51,species/plants/vaccinium_reticulatum/16664981.jpeg,o
52,species/plants/vaccinium_reticulatum/17389099.jpeg,u
53,species/plants/vaccinium_reticulatum/17389567.jpeg,o
54,species/plants/vaccinium_reticulatum/17550332.jpeg,o
55,species/plants/vaccinium_reticulatum/17550335.jpeg,o
56,species/plants/vaccinium_reticulatum/17626895.jpg,o
57,species/plants/vaccinium_reticulatum/180836.jpg,o
58,species/plants/vaccinium_reticulatum/18492731.jpg,o
59,species/plants/vaccinium_reticulatum/18522215.jpg,o
60,species/plants/vaccinium_reticulatum/18606580.jpg,o
61,species/plants/vaccinium_reticulatum/18606693.jpg,o
62,species/plants/vaccinium_reticulatum/18758022.jpg,o
63,species/plants/vaccinium_reticulatum/18758529.jpg,o
64,species/plants/vaccinium_reticulatum/18975149.jpg,o
65,species/plants/vaccinium_reticulatum/19339577.jpeg,o
66,species/plants/vaccinium_reticulatum/19392431.jpg,o
67,species/plants/vaccinium_reticulatum/19548015.jpeg,o
68,species/plants/vaccinium_reticulatum/19548016.jpeg,o
69,species/plants/vaccinium_reticulatum/19653703.jpg,u
70,species/plants/vaccinium_reticulatum/19819701.jpeg,o
71,species/plants/vaccinium_reticulatum/19867190.jpg,
72,species/plants/vaccinium_reticulatum/19871728.jpg,o
73,species/plants/vaccinium_reticulatum/20008713.jpeg,o
74,species/plants/vaccinium_reticulatum/20009287.jpeg,u
75,species/plants/vaccinium_reticulatum/20079838.jpg,o
76,species/plants/vaccinium_reticulatum/20082146.jpg,o
77,species/plants/vaccinium_reticulatum/20293379.jpg,o
78,species/plants/vaccinium_reticulatum/20477725.jpeg,o
79,species/plants/vaccinium_reticulatum/20635222.jpeg,o
80,species/plants/vaccinium_reticulatum/20775087.jpg,
81,species/plants/vaccinium_reticulatum/20864052.jpeg,o
82,species/plants/vaccinium_reticulatum/21398632.jpeg,
83,species/plants/vaccinium_reticulatum/21548711.jpg,o
84,species/plants/vaccinium_reticulatum/21548726.jpg,o
85,species/plants/vaccinium_reticulatum/21633583.jpg,o
86,species/plants/vaccinium_reticulatum/21865530.jpg,o
87,species/plants/vaccinium_reticulatum/21922746.jpg,o
88,species/plants/vaccinium_reticulatum/22113191.jpeg,u
89,species/plants/vaccinium_reticulatum/22377915.jpg,
90,species/plants/vaccinium_reticulatum/22399807.jpg,o
91,species/plants/vaccinium_reticulatum/22440357.jpg,o
92,species/plants/vaccinium_reticulatum/23396743.jpg,o
93,species/plants/vaccinium_reticulatum/2358656.JPG,o
94,species/plants/vaccinium_reticulatum/2453755.JPG,u
95,species/plants/vaccinium_reticulatum/24796304.jpeg,o
96,species/plants/vaccinium_reticulatum/24823298.jpeg,o
97,species/plants/vaccinium_reticulatum/25094766.jpg,u
98,species/plants/vaccinium_reticulatum/25255648.jpg,o
99,species/plants/vaccinium_reticulatum/25255891.jpg,o
100,species/plants/vaccinium_reticulatum/25277141.jpg,o
101,species/plants/vaccinium_reticulatum/25714392.jpg,o
102,species/plants/vaccinium_reticulatum/25952578.jpg,i
103,species/plants/vaccinium_reticulatum/26087505.jpg,
104,species/plants/vaccinium_reticulatum/262112.JPG,o
105,species/plants/vaccinium_reticulatum/26217499.jpg,o
106,species/plants/vaccinium_reticulatum/2656439.JPG,o
107,species/plants/vaccinium_reticulatum/26726238.jpg,o
108,species/plants/vaccinium_reticulatum/27201506.jpg,o
109,species/plants/vaccinium_reticulatum/2723377.JPG,
110,species/plants/vaccinium_reticulatum/2723441.JPG,o
111,species/plants/vaccinium_reticulatum/2723467.JPG,
112,species/plants/vaccinium_reticulatum/27285684.jpg,o
