index,image_location,decision
34,datasets/OOD_Places_MOS/b_badlands/00000792.jpg,o
54,datasets/OOD_Places_MOS/b_badlands/00001275.jpg,i
78,datasets/OOD_Places_MOS/b_badlands/00001714.jpg,o
133,datasets/OOD_Places_MOS/b_badlands/00003142.jpg,i
198,datasets/OOD_Places_MOS/b_badlands/00004825.jpg,i
203,datasets/OOD_Places_MOS/b_badlands/00004943.jpg,i
231,datasets/OOD_Places_MOS/b_bamboo_forest/00000761.jpg,o
297,datasets/OOD_Places_MOS/b_bamboo_forest/00002617.jpg,o
405,datasets/OOD_Places_MOS/c_canal_natural/00000061.jpg,o
490,datasets/OOD_Places_MOS/c_canal_natural/00002630.jpg,o
511,datasets/OOD_Places_MOS/c_canal_natural/00003246.jpg,i
514,datasets/OOD_Places_MOS/c_canal_natural/00003285.jpg,u
521,datasets/OOD_Places_MOS/c_canal_natural/00003445.jpg,u
676,datasets/OOD_Places_MOS/c_canal_urban/00002666.jpg,u
690,datasets/OOD_Places_MOS/c_canal_urban/00002927.jpg,i
709,datasets/OOD_Places_MOS/c_canal_urban/00003358.jpg,i
839,datasets/OOD_Places_MOS/c_corn_field/00001707.jpg,i
868,datasets/OOD_Places_MOS/c_corn_field/00002454.jpg,i
875,datasets/OOD_Places_MOS/c_corn_field/00002598.jpg,i
881,datasets/OOD_Places_MOS/c_corn_field/00002745.jpg,i
887,datasets/OOD_Places_MOS/c_corn_field/00003028.jpg,o
920,datasets/OOD_Places_MOS/c_corn_field/00003654.jpg,o
939,datasets/OOD_Places_MOS/c_corn_field/00004205.jpg,i
958,datasets/OOD_Places_MOS/c_corn_field/00004749.jpg,i
1000,datasets/OOD_Places_MOS/c_creek/00000679.jpg,o
1029,datasets/OOD_Places_MOS/c_creek/00001632.jpg,u
1068,datasets/OOD_Places_MOS/c_creek/00002685.jpg,i
1158,datasets/OOD_Places_MOS/c_creek/00004873.jpg,i
1183,datasets/OOD_Places_MOS/c_crevasse/00000655.jpg,o
1218,datasets/OOD_Places_MOS/c_crevasse/00001491.jpg,o
1230,datasets/OOD_Places_MOS/c_crevasse/00001758.jpg,o
1283,datasets/OOD_Places_MOS/c_crevasse/00003072.jpg,i
1379,datasets/OOD_Places_MOS/d_desert_road/00000802.jpg,i
1395,datasets/OOD_Places_MOS/d_desert_road/00001221.jpg,o
1513,datasets/OOD_Places_MOS/d_desert_road/00004511.jpg,i
1528,datasets/OOD_Places_MOS/d_desert_road/00004807.jpg,i
1533,datasets/OOD_Places_MOS/d_desert_road/00004892.jpg,i
1577,datasets/OOD_Places_MOS/d_desert_sand/00001091.jpg,i
1599,datasets/OOD_Places_MOS/d_desert_sand/00001560.jpg,i
1624,datasets/OOD_Places_MOS/d_desert_sand/00002298.jpg,i
1659,datasets/OOD_Places_MOS/d_desert_sand/00002961.jpg,o
1672,datasets/OOD_Places_MOS/d_desert_sand/00003447.jpg,i
1727,datasets/OOD_Places_MOS/d_desert_sand/00004735.jpg,o
1777,datasets/OOD_Places_MOS/d_desert_vegetation/00001034.jpg,o
1805,datasets/OOD_Places_MOS/d_desert_vegetation/00001574.jpg,i
1809,datasets/OOD_Places_MOS/d_desert_vegetation/00001666.jpg,i
1816,datasets/OOD_Places_MOS/d_desert_vegetation/00001755.jpg,o
1919,datasets/OOD_Places_MOS/d_desert_vegetation/00003844.jpg,o
1933,datasets/OOD_Places_MOS/d_desert_vegetation/00004168.jpg,o
1937,datasets/OOD_Places_MOS/d_desert_vegetation/00004365.jpg,i
1977,datasets/OOD_Places_MOS/f_field_cultivated/00000307.jpg,o
2020,datasets/OOD_Places_MOS/f_field_cultivated/00001547.jpg,o
2033,datasets/OOD_Places_MOS/f_field_cultivated/00001884.jpg,o
2044,datasets/OOD_Places_MOS/f_field_cultivated/00002062.jpg,i
2117,datasets/OOD_Places_MOS/f_field_cultivated/00003779.jpg,i
2187,datasets/OOD_Places_MOS/f_field_road/00000842.jpg,o
2192,datasets/OOD_Places_MOS/f_field_road/00000994.jpg,o
2226,datasets/OOD_Places_MOS/f_field_road/00001876.jpg,i
2237,datasets/OOD_Places_MOS/f_field_road/00002212.jpg,o
2275,datasets/OOD_Places_MOS/f_field_road/00003123.jpg,i
2324,datasets/OOD_Places_MOS/f_field_road/00004248.jpg,i
2329,datasets/OOD_Places_MOS/f_field_road/00004326.jpg,i
2349,datasets/OOD_Places_MOS/f_field_wild/00000091.jpg,i
2353,datasets/OOD_Places_MOS/f_field_wild/00000123.jpg,o
2492,datasets/OOD_Places_MOS/f_field_wild/00003980.jpg,i
