index,image_location,decision
55,datasets/OOD_iNaturalist_MOS/images/017c000530e0813088c6123a02b73c58.jpg,o
66,datasets/OOD_iNaturalist_MOS/images/01b0592932db641fff275d1fc979a8e7.jpg,o
77,datasets/OOD_iNaturalist_MOS/images/020f36e31cdde9b6a66107f2f547d7f1.jpg,o
109,datasets/OOD_iNaturalist_MOS/images/03227c8bf7e1c99b48c5f66cb3b7a777.jpg,u
117,datasets/OOD_iNaturalist_MOS/images/034ebfdb12033c2278f516a4017d69e8.jpg,o
128,datasets/OOD_iNaturalist_MOS/images/0387fcc29b333ac313bb6ac79b123420.jpg,o
161,datasets/OOD_iNaturalist_MOS/images/0474fff8359d01bd0db2f68239683190.jpg,o
178,datasets/OOD_iNaturalist_MOS/images/04e520d70e42182d5177a706c3d6ec88.jpg,o
201,datasets/OOD_iNaturalist_MOS/images/05852e704e96fafbfe4ee639bfbcfc1d.jpg,o
229,datasets/OOD_iNaturalist_MOS/images/06216bf6ac23198740b169b62ccc5387.jpg,o
332,datasets/OOD_iNaturalist_MOS/images/0833ed6ffbe51df948ed916a93255d04.jpg,u
403,datasets/OOD_iNaturalist_MOS/images/09cb59c2601b042e6bd74ccaad6da4b7.jpg,o
412,datasets/OOD_iNaturalist_MOS/images/09fa8a2585df334c7b25dbef68d73e85.jpg,o
462,datasets/OOD_iNaturalist_MOS/images/0b0e23eb0e8777af7d8ce52b20b68174.jpg,o
473,datasets/OOD_iNaturalist_MOS/images/0b53b554785f12e74f2e70c6a6d82ac9.jpg,o
475,datasets/OOD_iNaturalist_MOS/images/0b579b4d93253dbef665354b67688dc5.jpg,o
520,datasets/OOD_iNaturalist_MOS/images/0c77cd83cbf701a526727bc128a639e5.jpg,o
564,datasets/OOD_iNaturalist_MOS/images/0dd1587484db4ab0c8b7e2dcae1f691d.jpg,o
571,datasets/OOD_iNaturalist_MOS/images/0e0b864fc03da185afaf5c43787476cb.jpg,o
614,datasets/OOD_iNaturalist_MOS/images/0ee74c1e98608767df46c512cd54a5c1.jpg,o
631,datasets/OOD_iNaturalist_MOS/images/0f5766affdd100950b99e6d841b5fd08.jpg,o
646,datasets/OOD_iNaturalist_MOS/images/0f90618c11216f4500ea7272b7387bb0.jpg,o
660,datasets/OOD_iNaturalist_MOS/images/0feab3e8ede089c700fe1d5c35c37a42.jpg,o
665,datasets/OOD_iNaturalist_MOS/images/0ff91a2e6f1750403d59367bdce93e30.jpg,o
682,datasets/OOD_iNaturalist_MOS/images/105a102d3a9133b309c43e92f1c49239.jpg,o
689,datasets/OOD_iNaturalist_MOS/images/109b3a2a6202f9ce6956377e8eae5354.jpg,o
694,datasets/OOD_iNaturalist_MOS/images/10aa505560a2a82d00bf333b54924e07.jpg,o
744,datasets/OOD_iNaturalist_MOS/images/11fc7c1f508c08ebbbdc8d1216bcc6d1.jpg,o
763,datasets/OOD_iNaturalist_MOS/images/126fd792bbe26122792fa14797451e00.jpg,o
771,datasets/OOD_iNaturalist_MOS/images/129920c6674ca4bfa45b58e501fd3be3.jpg,o
