index,image_location,decision
0,species/amphibians/acris_gryllus/17507922.jpg,o
1,species/amphibians/agalychnis_callidryas/9130190.jpg,i
2,species/amphibians/ambystoma_gracile/6852595.jpg,o
3,species/amphibians/ambystoma_laterale/7843481.jpeg,i
4,species/amphibians/anaxyrus_debilis/15289366.jpg,o
5,species/amphibians/bufo_bankorensis/23963589.jpg,o
6,species/amphibians/bufo_bankorensis/5153198.jpg,o
7,species/amphibians/bufotes_balearicus/46257989.jpeg,o
8,species/amphibians/bufotes_balearicus/7914493.jpg,o
9,species/amphibians/dicamptodon_ensatus/40056355.jpg,o
10,species/amphibians/engystomops_pustulosus/15442353.jpg,o
11,species/amphibians/engystomops_pustulosus/34101468.jpg,o
12,species/amphibians/hyperolius_marmoratus_verrucosus/13116307.jpg,o
13,species/amphibians/plethodon_cylindraceus/14311611.jpg,i
14,species/amphibians/plethodon_cylindraceus/22847487.jpg,i
15,species/amphibians/rhinella_margaritifera/27486464.jpg,o
16,species/amphibians/rhinella_margaritifera/31632484.jpeg,o
17,species/amphibians/scaphiopus_couchii/6298015.jpg,o
18,species/arachnids/urodacus_manicatus/86946047.jpg,i
19,species/arachnids/xysticus_ulmi/94811825.jpeg,i
20,species/fish/abudefduf_sexfasciatus/18944776.jpeg,i
21,species/fish/abudefduf_sexfasciatus/8852584.jpg,i
22,species/fish/abudefduf_troschelii/11946655.jpeg,i
23,species/fish/abudefduf_troschelii/35826456.jpeg,o
24,species/fish/acanthurus_coeruleus/779239.JPG,i
25,species/fish/acanthurus_triostegus/51066542.jpeg,i
26,species/fish/aluterus_scriptus/48327218.jpeg,i
27,species/fish/ameiurus_melas/14300888.jpg,o
28,species/fish/ameiurus_natalis/2105809.JPG,o
29,species/fish/ameiurus_natalis/21343673.jpg,o
30,species/fish/amphiprion_clarkii/33358748.jpg,i
31,species/fish/anguilla_anguilla/63892667.jpg,i
32,species/fish/anguilla_australis/27178820.jpeg,i
33,species/fish/anguilla_dieffenbachii/68615437.jpeg,i
34,species/fish/anguilla_rostrata/74603504.jpg,i
35,species/fish/antennarius_striatus/42921987.jpeg,i
36,species/fish/antennarius_striatus/66023609.jpeg,o
37,species/fish/arothron_hispidus/48327234.jpeg,i
38,species/fish/arothron_meleagris/73301657.jpeg,i
39,species/fish/balistes_capriscus/10009446.jpeg,o
40,species/fish/bodianus_diplotaenia/38479206.png,i
41,species/fish/catostomus_commersonii/43737200.jpeg,o
42,species/fish/catostomus_commersonii/55665033.jpg,o
43,species/fish/chaetodon_lunula/29229564.jpg,i
44,species/fish/chaetodon_lunulatus/18310971.jpeg,i
45,species/fish/chilomycterus_schoepfii/10164751.jpeg,i
46,species/fish/coris_gaimard/89646093.jpeg,i
47,species/fish/etheostoma_caeruleum/29105484.jpg,o
48,species/fish/fundulus_diaphanus/72841322.jpg,o
49,species/fish/halichoeres_hortulanus/4615003.jpg,i
50,species/fish/hippocampus_abdominalis/20585123.jpeg,o
51,species/fish/hippocampus_guttulatus/55838280.jpg,o
52,species/fish/hippocampus_reidi/8980324.jpg,o
53,species/fish/holacanthus_passer/72089891.jpeg,i
54,species/fish/labroides_dimidiatus/38425621.jpg,i
55,species/fish/lepisosteus_platyrhincus/20753980.jpg,i
56,species/fish/lepisosteus_platyrhincus/36834461.jpg,i
57,species/fish/lutjanus_kasmira/42268079.jpg,o
58,species/fish/microcanthus_strigatus/54917703.jpg,o
59,species/fish/monacanthus_chinensis/13880178.jpeg,i
60,species/fish/mulloidichthys_vanicolensis/30481415.jpeg,i
61,species/fish/oncorhynchus_clarkii/33285926.jpeg,o
62,species/fish/oncorhynchus_keta/65031015.jpeg,i
63,species/fish/ophthalmolepis_lineolata/70668557.jpeg,i
64,species/fish/oreochromis_mossambicus/16193306.jpg,o
65,species/fish/oreochromis_mossambicus/60669972.jpg,o
66,species/fish/oreochromis_mossambicus/91080777.jpeg,o
67,species/fish/ostorhinchus_limenus/15674638.jpg,i
68,species/fish/ostracion_cubicus/32938737.jpeg,i
69,species/fish/phyllopteryx_taeniolatus/9232374.jpeg,o
70,species/fish/scarus_iseri/61518174.jpeg,o
71,species/fish/scarus_rubroviolaceus/88216781.jpg,i
72,species/fish/scorpis_lineolata/82004894.jpeg,i
73,species/fish/sparisoma_aurofrenatum/75849134.png,i
74,species/fish/symphodus_tinca/91742851.jpg,i
75,species/fish/taenianotus_triacanthus/37518607.jpeg,i
76,species/fish/taenianotus_triacanthus/54806822.jpg,i
77,species/fish/thalassoma_lucasanum/69596859.jpeg,i
78,species/fish/thalassoma_lunare/4601963.jpg,i
79,species/fungi/abortiporus_biennis/31205108.jpg,i
80,species/fungi/abortiporus_biennis/33123409.jpeg,i
81,species/fungi/agaricus_augustus/11884562.jpg,i
82,species/fungi/amanita_flavorubens/7101601.jpeg,i
83,species/fungi/amanita_parcivolvata/55732596.jpeg,i
84,species/fungi/aseroe_rubra/17725464.jpeg,i
85,species/fungi/aseroe_rubra/5602741.jpg,i
86,species/fungi/astraeus_hygrometricus/10350482.jpeg,i
87,species/fungi/astraeus_hygrometricus/21584390.jpeg,i
88,species/fungi/bjerkandera_adusta/20063256.jpg,i
89,species/fungi/bondarzewia_berkeleyi/33162337.jpeg,i
90,species/fungi/calocera_viscosa/31117877.jpeg,i
91,species/fungi/calvatia_cyathiformis/36166145.jpg,i
92,species/fungi/calycina_citrina/18134004.jpg,i
93,species/fungi/cantharellus_lateritius/17011373.jpg,i
94,species/fungi/chlorociboria_aeruginascens/10940292.jpg,i
95,species/fungi/chondrostereum_purpureum/20382924.jpg,i
96,species/fungi/chondrostereum_purpureum/9005983.jpeg,i
97,species/fungi/cladonia_furcata/44372813.jpg,o
98,species/fungi/cladonia_stellaris/9343984.jpg,o
99,species/fungi/clavaria_fragilis/2562099.JPG,i
100,species/fungi/clitocybe_nebularis/30985569.jpg,i
101,species/fungi/coprinopsis_picacea/12300442.jpeg,i
102,species/fungi/coprinopsis_variegata/14139728.jpg,i
103,species/fungi/crepidotus_applanatus/53406298.jpeg,i
104,species/fungi/crepidotus_mollis/28848164.jpg,i
105,species/fungi/crucibulum_laeve/19451234.jpg,i
106,species/fungi/crucibulum_laeve/3591545.jpg,i
107,species/fungi/cryptoporus_volvatus/11078259.jpeg,i
108,species/fungi/dacrymyces_stillatus/33890071.jpg,i
109,species/fungi/daedalea_quercina/10235229.jpg,i
110,species/fungi/daedalea_quercina/12785342.jpeg,i
111,species/fungi/entoloma_abortivum/33037745.jpg,i
112,species/fungi/evernia_mesomorpha/27994111.jpeg,o
113,species/fungi/exidia_glandulosa/18982575.jpg,i
114,species/fungi/favolaschia_calocera/16526682.jpg,i
