index,image_location,decision
0,datasets/imagenet-o/n01443537/benthos_0.9994893.JPEG,i
1,datasets/imagenet-o/n01443537/cardinal_tetra_Paracheirodon_axelrodi_0.99767953.JPEG,o
5,datasets/imagenet-o/n01443537/crucian_carp_Carassius_carassius_Carassius_vulgaris_0.99940515.JPEG,o
19,datasets/imagenet-o/n01704323/tooth_0.9914603.JPEG,o
22,datasets/imagenet-o/n01770081/bug_0.99997497.JPEG,o
24,datasets/imagenet-o/n01770081/herb_Paris_Paris_quadrifolia_0.998555.JPEG,o
25,datasets/imagenet-o/n01770081/mosquito_0.9998282.JPEG,o
26,datasets/imagenet-o/n01770081/nopal_0.99954504.JPEG,o
37,datasets/imagenet-o/n01784675/sea_feather_0.99974567.JPEG,o
40,datasets/imagenet-o/n01819313/cattle_egret_Bubulcus_ibis_0.9999479.JPEG,o
44,datasets/imagenet-o/n01819313/young_bird_0.99993026.JPEG,o
52,datasets/imagenet-o/n01910747/arthrogram_0.99541736.JPEG,o
57,datasets/imagenet-o/n01910747/dendrite_0.99721164.JPEG,o
77,datasets/imagenet-o/n01968897/millstone_0.9948225.JPEG,o
79,datasets/imagenet-o/n01968897/radicchio_0.9999163.JPEG,o
90,datasets/imagenet-o/n02074367/dolphin_0.9996773.JPEG,o
92,datasets/imagenet-o/n02074367/pachyderm_0.99975795.JPEG,i
94,datasets/imagenet-o/n02074367/walrus_seahorse_sea_horse_0.9985207.JPEG,o
95,datasets/imagenet-o/n02317335/Chinese_anise_star_anise_star_aniseed_0.99981314.JPEG,i
96,datasets/imagenet-o/n02317335/acorn_barnacle_rock_barnacle_Balanus_balanoides_0.9901484.JPEG,o
99,datasets/imagenet-o/n02317335/echinoderm_0.9997055.JPEG,i
106,datasets/imagenet-o/n02319095/burdock_clotbur_0.9990656.JPEG,o
116,datasets/imagenet-o/n02454379/cockle_0.9976369.JPEG,o
118,datasets/imagenet-o/n02454379/giant_tortoise_0.9998708.JPEG,o
122,datasets/imagenet-o/n02606052/Blackburn_Blackburnian_warbler_Dendroica_fusca_0.99973696.JPEG,o
124,datasets/imagenet-o/n02606052/angelfish_0.99775153.JPEG,o
131,datasets/imagenet-o/n02606052/flame_fish_flamefish_Apogon_maculatus_0.99478614.JPEG,i
138,datasets/imagenet-o/n02655020/archerfish_Toxotes_jaculatrix_0.9968875.JPEG,o
139,datasets/imagenet-o/n02655020/gurnard_0.9999795.JPEG,o
141,datasets/imagenet-o/n02655020/rockfish_0.9999442.JPEG,u
143,datasets/imagenet-o/n02666196/backgammon_board_0.9865346.JPEG,o
146,datasets/imagenet-o/n02666196/bobbin_spool_reel_0.9999988.JPEG,o
149,datasets/imagenet-o/n02666196/candy_egg_0.99729973.JPEG,o
151,datasets/imagenet-o/n02666196/dental_implant_0.9944031.JPEG,i
152,datasets/imagenet-o/n02666196/electrical_system_0.99885225.JPEG,o
155,datasets/imagenet-o/n02666196/olive_green_olive-green_0.9997032.JPEG,o
156,datasets/imagenet-o/n02666196/quadrate_0.9992036.JPEG,o
160,datasets/imagenet-o/n02672831/bellows_0.9995734.JPEG,o
161,datasets/imagenet-o/n02672831/bristle_brush_0.99351454.JPEG,o
169,datasets/imagenet-o/n02777292/ballet_dancer_0.99952316.JPEG,o
173,datasets/imagenet-o/n02777292/water_jump_0.99898094.JPEG,o
176,datasets/imagenet-o/n02783161/crayon_wax_crayon_0.9873827.JPEG,o
187,datasets/imagenet-o/n02786058/paint_pigment_0.99983203.JPEG,i
190,datasets/imagenet-o/n02786058/queen_0.9982761.JPEG,o
196,datasets/imagenet-o/n02786058/vitamin_B2_vitamin_G_riboflavin_lactoflavin_ovoflavin_hepatoflavin_0.99961925.JPEG,o
198,datasets/imagenet-o/n02786058/wrinkle_furrow_crease_crinkle_seam_line_0.99770325.JPEG,o
205,datasets/imagenet-o/n02791270/banner_streamer_0.99871886.JPEG,o
213,datasets/imagenet-o/n02808304/compress_0.9980375.JPEG,o
216,datasets/imagenet-o/n02808304/wrist_pad_0.9944752.JPEG,o
228,datasets/imagenet-o/n02841315/pitch_pipe_0.97990453.JPEG,o
235,datasets/imagenet-o/n02865351/rapier_tuck_0.9987374.JPEG,o
250,datasets/imagenet-o/n02877765/nonpareil_0.9414754.JPEG,o
251,datasets/imagenet-o/n02877765/plate_collection_plate_0.999995.JPEG,i
253,datasets/imagenet-o/n02877765/table_knife_0.9989674.JPEG,i
254,datasets/imagenet-o/n02877765/triskelion_triskele_0.98953617.JPEG,i
255,datasets/imagenet-o/n02892767/foundation_garment_foundation_0.99996674.JPEG,o
256,datasets/imagenet-o/n02892767/panty_girdle_0.9997009.JPEG,o
260,datasets/imagenet-o/n02906734/barley_barleycorn_0.99880195.JPEG,i
266,datasets/imagenet-o/n02910353/bling_bling_bling_0.9999219.JPEG,o
269,datasets/imagenet-o/n02910353/enamel_0.99201655.JPEG,o
270,datasets/imagenet-o/n02910353/gold_plate_0.9990402.JPEG,o
275,datasets/imagenet-o/n02916936/camouflage_0.9996209.JPEG,i
281,datasets/imagenet-o/n02948072/caramel_0.99517065.JPEG,o
287,datasets/imagenet-o/n02965783/headscarf_0.99691904.JPEG,u
290,datasets/imagenet-o/n02965783/sights_0.99095786.JPEG,o
