index,image_location,decision
12,textures/images/banded/banded_0021.jpg,o
15,textures/images/banded/banded_0024.jpg,o
30,textures/images/banded/banded_0049.jpg,o
50,textures/images/banded/banded_0076.jpg,o
98,textures/images/banded/banded_0130.jpg,o
129,textures/images/blotchy/blotchy_0022.jpg,u
145,textures/images/blotchy/blotchy_0042.jpg,o
147,textures/images/blotchy/blotchy_0045.jpg,o
151,textures/images/blotchy/blotchy_0049.jpg,o
159,textures/images/blotchy/blotchy_0058.jpg,o
169,textures/images/blotchy/blotchy_0068.jpg,o
177,textures/images/blotchy/blotchy_0077.jpg,o
194,textures/images/blotchy/blotchy_0096.jpg,o
196,textures/images/blotchy/blotchy_0098.jpg,o
198,textures/images/blotchy/blotchy_0100.jpg,o
207,textures/images/blotchy/blotchy_0109.jpg,o
223,textures/images/blotchy/blotchy_0125.jpg,i
224,textures/images/blotchy/blotchy_0126.jpg,o
272,textures/images/braided/braided_0110.jpg,o
281,textures/images/braided/braided_0119.jpg,i
293,textures/images/braided/braided_0131.jpg,o
309,textures/images/braided/braided_0147.jpg,o
314,textures/images/braided/braided_0152.jpg,i
327,textures/images/braided/braided_0165.jpg,o
330,textures/images/braided/braided_0168.jpg,i
379,textures/images/bubbly/bubbly_0064.jpg,i
403,textures/images/bubbly/bubbly_0095.jpg,i
416,textures/images/bubbly/bubbly_0110.jpg,i
437,textures/images/bubbly/bubbly_0131.jpg,i
467,textures/images/bubbly/bubbly_0161.jpg,i
542,textures/images/bumpy/bumpy_0146.jpg,o
543,textures/images/bumpy/bumpy_0147.jpg,i
547,textures/images/bumpy/bumpy_0151.jpg,o
558,textures/images/bumpy/bumpy_0162.jpg,o
588,textures/images/bumpy/bumpy_0192.jpg,i
591,textures/images/bumpy/bumpy_0195.jpg,o
599,textures/images/bumpy/bumpy_0203.jpg,o
607,textures/images/chequered/chequered_0049.jpg,o
618,textures/images/chequered/chequered_0069.jpg,o
620,textures/images/chequered/chequered_0079.jpg,o
646,textures/images/chequered/chequered_0122.jpg,o
695,textures/images/chequered/chequered_0191.jpg,u
699,textures/images/chequered/chequered_0195.jpg,o
711,textures/images/chequered/chequered_0207.jpg,o
727,textures/images/cobwebbed/cobwebbed_0048.jpg,i
743,textures/images/cobwebbed/cobwebbed_0064.jpg,i
767,textures/images/cobwebbed/cobwebbed_0089.jpg,i
