id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
303423,2013-06-17,2013-06-17,,Central Time (US & Canada),9434,taogirl,Judith Ellen Lopez,2013-06-18 13:36:41 UTC,2019-09-21 02:09:56 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/303423,https://inaturalist-open-data.s3.amazonaws.com/photos/376471/medium.JPG,,"","think this is a Fiery but wondered if it could be a Sachem... it was visiting my beets, glad to see its caterpillar doesn't like to eat their leaves",1,0,false,,"River Birch Rd, Fort worth,TX",32.881294,-97.303245,,,,,,,,false,,,Fiery Skipper,Hylephila phyleus,Fiery Skipper,Insecta,50340
516234,2006-04-24 15:03:43,2006-04-24,2006-04-24 19:03:43 UTC,Eastern Time (US & Canada),3773,anita363,Anita,2014-01-31 05:33:40 UTC,2021-06-24 17:17:08 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/516234,https://inaturalist-open-data.s3.amazonaws.com/photos/657992/medium.jpg,,"","Check me on the ID.  Think it's a male(?) Wild Indigo rather than Juvenal's or Horace's.  The clear white spots are small, it only has the 5, &amp; it doesn't have the extra one inside the row of them (at the end of the FW cell).  The pale marginal spots are kinda indistinct (consistent with a male), but at least they're present; ditto the pale bar in the center of the HW (at the end of the cell).  And it certainly has a dark inner FW &amp; lighter brown patch beyond the FW cell.

Exactly 36 mm wingspan -- struck me when I first saw it as a very small duskywing.  But then, butterflies always seem smaller when I see them in person -- I forget how tiny they are when I'm looking at macro photos all the time!  Wild Indigo is supposed to be 35-41 mm, which puts this one towards the bottom of this relatively narrow size range.  Juvenal's is supposed to be 32-49 mm, &amp; Horace's 36-49, so in both cases that would put this one near or at the lower extreme of a much broader size range.

Here, by the way, is <a href=""http://www.flickr.com/photos/anitagould/25630246/in/set-254943/"">Wild Indigo</a>, this butterfly's namesake native caterpillar-stage host.  But it is thriving because it can also live on <a href=""http://www.flickr.com/photos/anitagould/18618920/in/set-254943/"">Crown Vetch</a>, an invasive import that is becoming increasingly abundant along roadsides and such.

This is the same site where I saw this species last August: <a href=""http://www.flickr.com/photos/anitagould/35645858/in/set-544414/"">www.flickr.com/photos/anitagould/35645858/in/set-544414/</a>",1,0,false,,"Highland Park, New Jersey, United States",40.499752,-74.438048,,,,,,,,false,,"",Wild Indigo Duskywing,Erynnis baptisiae,Wild Indigo Duskywing,Insecta,58478
516235,2005-08-19 11:40:45,2005-08-19,2005-08-19 15:40:45 UTC,Eastern Time (US & Canada),3773,anita363,Anita,2014-01-31 05:33:43 UTC,2021-06-24 17:17:06 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/516235,https://inaturalist-open-data.s3.amazonaws.com/photos/657993/medium.jpg,,"","Not the best background, but I suppose it's not an accident that they choose surfaces where they're well-camoflaged!  Anyway, this is a new species for me, so I was happy to get it.  Wingspan ~4 cm.   Here, by the way, is <a href=""http://www.flickr.com/photos/anitagould/25630246/in/set-254943/"">Wild Indigo</a>, this butterfly's namesake native caterpillar-stage host.  But it is thriving because it can also live on <a href=""http://www.flickr.com/photos/anitagould/18618920/in/set-254943/"">Crown Vetch</a>, an invasive import that is becoming increasingly abundant along roadsides and such.",1,0,false,,"Highland Park, New Jersey, United States",40.499752,-74.438048,,,,,,,,false,,"",Wild Indigo Duskywing,Erynnis baptisiae,Wild Indigo Duskywing,Insecta,58478
1614339,2015-06-09 19:50:01,2015-06-09,2015-06-10 00:50:01 UTC,Central Time (US & Canada),22417,krancmm,Monica Krancevic,2015-06-10 13:06:10 UTC,2021-12-13 08:25:57 UTC,research,CC0,http://www.inaturalist.org/observations/1614339,https://inaturalist-open-data.s3.amazonaws.com/photos/1983884/medium.jpg,,"Butterfly, Skipper, Brazilian Skipper, Calpodes ethlius, Lake Jackson, Brazoria County, Pecan Lake, Caterpillar: Canna Leafroller",,2,0,false,,"Brazoria, Texas, United States",29.0425,-95.4197216667,25,,,,25,,,false,,,Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
1947218,2015-09-08,2015-09-08,,Eastern Time (US & Canada),8977,bendingtree,"",2015-09-14 23:55:08 UTC,2022-10-11 15:59:44 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1947218,https://inaturalist-open-data.s3.amazonaws.com/photos/2385220/medium.JPG,,"wild indigo duskywing, Erynnia baptisiae, caterpillar, native, prairie, Kitty Todd, ohio, Lepidoptera",Single individual on Baptisia tinctoria.,1,0,false,,"Kitty Todd, Holland, Ohio",41.621718,-83.711604,1973,,,,1973,,,false,,,Wild Indigo Duskywing,Erynnis baptisiae,Wild Indigo Duskywing,Insecta,58478
2400162,2015-11-07 5:06:20 PM CST,2015-11-07,2015-11-07 23:06:20 UTC,Central Time (US & Canada),27884,l3af,Andrew Hudson,2015-11-19 20:47:13 UTC,2018-09-22 05:31:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2400162,https://inaturalist-open-data.s3.amazonaws.com/photos/2675876/medium.jpeg,,"",Empty cocoon on underside of leaf. White powder-like substances and cob web associated with cocoon. Plant is tall with large red bonds in summer. Leaves have been readily eaten. Empty cocoon might be from caterpillar/butterfly. Species?,2,0,false,2,"Texas, US",33.1969476313,-96.631007403,258,,,,29012,obscured,,true,gps,gps,Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
3643054,Fri Jul 08 2016 10:39:19 GMT-0500 (CDT),2016-07-08,2016-07-08 15:39:19 UTC,Central Time (US & Canada),185532,will_underwood,"",2016-07-08 17:06:44 UTC,2018-10-28 02:33:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3643054,https://inaturalist-open-data.s3.amazonaws.com/photos/4213532/medium.jpg,,"",Multiple caterpillars on Thalia (fire flag) in constructed wetland at Weeks Bay NERR in Baldwin Co AL. Caterpillars were under cut and rolled segments of leaf margin. ID based on host plant and internet search.,3,0,false,3,"11422–11424 US Highway 98, Fairhope, AL, US",30.4189235531,-87.8307942209,10,,,,10,,,false,,,Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
4043538,2016/09/05 4:03 PM MST,2016-09-05,2016-09-05 22:03:00 UTC,Mountain Time (US & Canada),53395,fg2hummingbirds,Sheri L. Williamson,2016-09-05 23:13:06 UTC,2018-07-19 23:06:24 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/4043538,http://static.inaturalist.org/photos/4784939/medium.png,,"",It's rare to catch a Canna Leaf Roller (Brazilian Skipper caterpillar) in the open. This large one was on an heirloom Canna x generalis with dusky lavender tepals; its foliage has been thoroughly shredded by the caterpillars. A yellow-tepaled variety that grows next to this plant shows very little damage and may be less palatable. ,1,0,false,,United States,31.4198880338,-109.8018373004,5,,,,29226,obscured,,true,gps,gps,Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
4139997,2016-09-18,2016-09-18,,Hawaii,16952,hugoalvarezg,Hugo Álvarez-García,2016-09-18 16:55:45 UTC,2017-01-20 23:47:32 UTC,research,,http://conabio.inaturalist.org/observations/4139997,http://static.inaturalist.org/photos/4927169/medium.png,,"","Oruga en 
Panicum maximum

Daniel Janzen registra esta especie en Panicum maximum.

http://janzen.sas.upenn.edu/caterpillars/database.lasso
",1,0,false,,"Chetumal, Q.R., México",18.5001889,-88.296146,7038,,,,7038,,,false,,,Lerema liris,Lerema liris,Liris Skipper,Insecta,148766
4573626,Mon Nov 14 2016 09:03:52 GMT-0600 (CST),2016-11-14,2016-11-14 15:03:52 UTC,Central Time (US & Canada),221489,flowerfreak,"",2016-11-15 01:41:42 UTC,2022-02-03 17:41:58 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4573626,https://inaturalist-open-data.s3.amazonaws.com/photos/5521526/medium.jpg,,,"After numerous tries, these are the best pics I could get.  I think this is a skipper but not sure which one.  It's larger than the others that visit my yard but just as skittish.

Update:  A suggested ID of Brazilian Skipper seems correct.  The larval form is the Canna Leaf Roller caterpillar.  I don't currently have any cannas in the garden but plenty of neighbors do.",2,0,false,3,"Texas, US",33.1256613926,-97.0752466813,,,,,28998,obscured,,true,,,Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
